Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Luis Castillo,30,SP,3.4,14,9,.609,3.34,33,33,0,0,0,0,197.0,160,81,73,28,56,0,219,5,0,3,802,118,3.81,1.096,7.3,1.3,2.6,10.0,3.91,"AS,CYA-5"
2,George Kirby,25,SP,3.9,13,10,.565,3.35,31,31,0,1,0,0,190.2,179,74,71,22,19,1,172,6,0,1,757,118,3.34,1.038,8.4,1.0,0.9,8.1,9.05,"AS,CYA-8"
3,Logan Gilbert,26,SP,3.0,13,7,.650,3.73,32,32,0,1,1,0,190.2,169,82,79,29,36,1,189,2,0,6,770,106,3.85,1.075,8.0,1.4,1.7,8.9,5.25,
4,Bryce Miller,24,SP,1.2,8,7,.533,4.32,25,25,0,0,0,0,131.1,124,64,63,18,26,0,119,7,0,2,537,91,3.98,1.142,8.5,1.2,1.8,8.2,4.58,
5,Bryan Woo,23,SP,0.6,4,5,.444,4.21,18,18,0,0,0,0,87.2,75,44,41,13,31,1,93,7,0,1,371,94,4.36,1.209,7.7,1.3,3.2,9.5,3.00,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
6,Paul Sewald,33,CL,0.8,3,1,.750,2.93,45,0,31,0,0,21,43.0,30,15,14,5,14,1,60,0,0,1,169,136,2.95,1.023,6.3,1.0,2.9,12.6,4.29,
7,Matt Brash,25,RP,1.3,9,4,.692,3.06,78,0,7,0,0,4,70.2,65,26,24,3,29,0,107,6,0,11,308,130,2.26,1.330,8.3,0.4,3.7,13.6,3.69,
8,Justin Topa,32,RP,1.7,5,4,.556,2.61,75,0,14,0,0,3,69.0,61,26,20,4,18,4,61,3,0,0,279,152,3.15,1.145,8.0,0.5,2.3,8.0,3.39,
9,Gabe Speier*,28,RP,0.6,2,2,.500,3.79,69,0,8,0,0,1,54.2,47,24,23,7,11,4,64,3,0,2,216,105,3.35,1.061,7.7,1.2,1.8,10.5,5.82,
10,Andrés Muñoz,24,RP,0.7,4,7,.364,2.94,52,0,21,0,0,13,49.0,40,20,16,2,22,3,67,5,2,4,211,135,2.70,1.265,7.3,0.4,4.0,12.3,3.05,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
11,Marco Gonzales*,31,,-0.4,4,1,.800,5.22,10,10,0,0,0,0,50.0,55,32,29,5,18,0,34,0,0,0,215,76,4.28,1.460,9.9,0.9,3.2,6.1,1.89,
12,Tayler Saucedo*,30,,0.7,3,2,.600,3.59,52,0,17,0,0,1,47.2,41,20,19,2,23,1,43,6,0,1,207,111,3.82,1.343,7.7,0.4,4.3,8.1,1.87,
13,Chris Flexen,28,,-0.9,0,4,.000,7.71,17,4,9,0,0,0,42.0,59,36,36,11,19,0,29,0,0,2,196,52,6.64,1.857,12.6,2.4,4.1,6.2,1.53,
14,Trevor Gott,30,,-0.3,0,3,.000,4.03,30,0,4,0,0,0,29.0,33,19,13,2,8,1,32,2,0,0,129,99,2.98,1.414,10.2,0.6,2.5,9.9,4.00,
15,Isaiah Campbell,25,,0.5,4,1,.800,2.83,27,0,9,0,0,1,28.2,22,9,9,2,13,1,33,1,1,2,120,141,3.32,1.221,6.9,0.6,4.1,10.4,2.54,
16,Trent Thornton,29,,0.4,1,2,.333,2.08,23,1,6,0,0,0,26.0,23,11,6,5,5,0,21,0,0,0,103,192,4.72,1.077,8.0,1.7,1.7,7.3,4.20,
17,Ty Adcock,26,,0.1,0,0,,3.45,12,0,4,0,0,0,15.2,11,7,6,4,0,0,11,0,0,0,58,117,5.17,0.702,6.3,2.3,0.0,6.3,,
18,Penn Murfee,29,,0.3,1,2,.333,1.29,16,0,3,0,0,0,14.0,5,5,2,1,10,3,16,1,1,0,58,315,4.26,1.071,3.2,0.6,6.4,10.3,1.60,
