Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Miles Mikolas,34,SP,1.9,9,13,.409,4.78,35,35,0,0,0,0,201.1,226,110,107,26,39,0,137,8,0,4,860,92,4.27,1.316,10.1,1.2,1.7,6.1,3.51,
2,Jordan Montgomery*,30,SP,2.1,6,9,.400,3.42,21,21,0,0,0,0,121.0,116,54,46,12,35,0,108,4,0,3,509,128,3.73,1.248,8.6,0.9,2.6,8.0,3.09,
3,Jack Flaherty,27,SP,1.4,7,6,.538,4.43,20,20,0,0,0,0,109.2,116,56,54,10,54,0,106,8,0,6,485,99,4.20,1.550,9.5,0.8,4.4,8.7,1.96,
4,Steven Matz*,32,SP,1.9,4,7,.364,3.86,25,17,2,0,0,0,105.0,108,48,45,11,32,0,98,3,2,2,449,114,3.75,1.333,9.3,0.9,2.7,8.4,3.06,
5,Adam Wainwright,41,SP,-2.0,5,11,.313,7.40,21,21,0,0,0,0,101.0,151,89,83,20,41,0,55,1,0,1,484,59,5.99,1.901,13.5,1.8,3.7,4.9,1.34,
6,Dakota Hudson,28,SP,0.5,6,3,.667,4.98,18,12,1,0,0,0,81.1,88,46,45,9,34,0,45,6,0,5,354,88,5.06,1.500,9.7,1.0,3.8,5.0,1.32,
7,Ryan Helsley,28,CL,1.4,3,4,.429,2.45,33,0,25,0,0,14,36.2,22,11,10,1,17,1,52,1,1,3,146,180,2.25,1.064,5.4,0.2,4.2,12.8,3.06,
8,Andre Pallante,24,RP,0.1,4,1,.800,4.76,62,0,9,0,0,0,68.0,76,37,36,6,30,0,43,3,1,6,302,92,4.59,1.559,10.1,0.8,4.0,5.7,1.43,
9,Drew VerHagen,32,RP,0.5,5,1,.833,3.98,60,0,15,0,0,0,61.0,52,30,27,9,26,2,60,9,1,3,268,111,4.93,1.279,7.7,1.3,3.8,8.9,2.31,
10,Giovanny Gallegos,31,RP,0.4,2,4,.333,4.42,56,0,16,0,0,10,55.0,54,28,27,11,12,0,59,0,1,3,229,100,4.36,1.200,8.8,1.8,2.0,9.7,4.92,
11,Chris Stratton,32,RP,0.1,1,1,.500,4.19,42,0,19,0,0,1,53.2,45,28,25,4,17,0,59,1,0,4,221,105,3.03,1.155,7.5,0.7,2.9,9.9,3.47,
12,Zack Thompson*,25,,0.6,5,7,.417,4.48,25,9,1,0,0,0,66.1,69,35,33,8,25,0,72,2,0,3,287,98,3.87,1.417,9.4,1.1,3.4,9.8,2.88,
13,Matthew Liberatore*,23,,-0.4,3,6,.333,5.25,22,11,3,0,0,0,61.2,66,42,36,5,25,1,46,5,0,4,275,84,4.28,1.476,9.6,0.7,3.6,6.7,1.84,
14,Jake Woodford,26,,-0.4,2,3,.400,6.23,15,8,1,0,0,0,47.2,61,34,33,11,22,0,29,3,0,3,222,71,6.61,1.741,11.5,2.1,4.2,5.5,1.32,
15,Jordan Hicks,26,,0.3,1,6,.143,3.67,40,0,16,0,0,8,41.2,39,21,17,2,24,0,59,3,0,7,189,120,2.99,1.512,8.4,0.4,5.2,12.7,2.46,
16,JoJo Romero*,26,,0.6,4,2,.667,3.68,27,0,13,0,0,3,36.2,29,17,15,1,10,0,42,1,0,2,147,120,2.22,1.064,7.1,0.2,2.5,10.3,4.20,
17,Drew Rom*,23,,-1.0,1,4,.200,8.02,8,8,0,0,0,0,33.2,51,34,30,7,19,0,32,0,0,1,170,55,5.75,2.079,13.6,1.9,5.1,8.6,1.68,
18,Génesis Cabrera*,26,,0.0,1,1,.500,5.06,32,0,10,0,0,0,32.0,32,18,18,6,18,0,38,0,1,0,143,88,5.01,1.563,9.0,1.7,5.1,10.7,2.11,
19,Andrew Suárez*,30,,-0.6,0,0,,7.16,13,0,6,0,0,0,27.2,33,27,22,7,15,0,17,0,0,2,130,62,6.94,1.735,10.7,2.3,4.9,5.5,1.13,
20,Casey Lawrence,35,,-0.4,1,0,1.000,6.59,15,0,7,0,0,0,27.1,32,20,20,7,10,2,20,2,0,0,122,67,6.44,1.537,10.5,2.3,3.3,6.6,2.00,
21,John King*,28,,0.9,1,0,1.000,1.45,20,0,1,0,0,0,18.2,19,3,3,1,6,0,10,0,0,0,76,309,3.84,1.339,9.2,0.5,2.9,4.8,1.67,
22,James Naile,30,,-0.6,0,0,,8.80,10,0,6,0,0,0,15.1,27,19,15,1,9,0,7,0,0,0,80,51,4.95,2.348,15.8,0.6,5.3,4.1,0.78,
23,Jacob Barnes,33,,-0.2,0,1,.000,5.93,13,0,5,0,0,0,13.2,18,11,9,1,3,0,8,1,0,0,61,76,3.91,1.537,11.9,0.7,2.0,5.3,2.67,
24,Packy Naughton*,27,,0.2,0,0,,0.00,4,0,2,0,0,0,5.0,2,0,0,0,1,0,5,0,0,0,17,,1.86,0.600,3.6,0.0,1.8,9.0,5.00,
25,Guillo Zuñiga,24,,0.0,0,0,,4.50,2,0,2,0,0,0,2.0,2,1,1,0,0,0,4,0,0,0,8,114,-0.75,1.000,9.0,0.0,0.0,18.0,,
26,Ryan Tepera,35,,-0.1,0,0,,9.00,2,0,0,0,0,0,2.0,3,2,2,1,1,0,1,1,0,0,11,57,11.76,2.000,13.5,4.5,4.5,4.5,1.00,
27,Kyle Leahy,26,,-0.3,0,1,.000,21.60,3,0,0,0,0,0,1.2,4,4,4,1,5,0,2,1,0,0,15,25,19.46,5.400,21.6,5.4,27.0,10.8,0.40,
28,Alec Burleson*,24,,-0.1,0,0,,21.60,2,0,2,0,0,0,1.2,8,4,4,1,0,0,1,0,0,0,13,25,9.86,4.800,43.2,5.4,0.0,5.4,,
