Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Gunnar Henderson*,23.0,2,9,7,0,0,0,0,0,0,0,0,2,4,0.0,0.222,0.0,0.222,0,0.0,0,0,0.0,0,/*6,
2.0,Jordan Westburg,25.0,2,8,6,0,1,0,0,0,0,0,0,1,1,0.167,0.375,0.167,0.542,1,0.0,1,0,0.0,0,/*4,
3.0,Anthony Santander#,29.0,2,8,8,0,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,1,0.0,0,0,0.0,0,*/9,
4.0,Adley Rutschman#,26.0,2,8,8,0,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,1,0.0,0,0,0.0,0,/*2D,
5.0,Cedric Mullins*,29.0,2,7,7,1,3,1,0,1,1,0,0,0,1,0.429,0.429,1.0,1.429,7,0.0,0,0,0.0,0,*/8,
6.0,Ramón Urías,30.0,2,7,7,0,2,1,0,0,0,0,0,0,1,0.286,0.286,0.429,0.714,3,0.0,0,0,0.0,0,/*5,
7.0,Ryan Mountcastle,27.0,2,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,/*3,
8.0,Colton Cowser*,24.0,2,7,7,0,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,1,0.0,0,0,0.0,0,*/7,
9.0,Ryan O'Hearn*,30.0,2,3,2,0,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167,1,0.0,0,0,0.0,0,/DH,
10.0,Heston Kjerstad*,25.0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,/7H,
11.0,James McCann,34.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,/2,
12.0,Austin Slater,31.0,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,1,0.0,0,0,0.0,0,/DH,
13.0,Emmanuel Rivera,28.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,/H,
14.0,Zach Eflin,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
15.0,Seranthony Domínguez,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/*1,
16.0,Keegan Akin*,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/1,
17.0,Cionel Pérez,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
18.0,Danny Coulombe*,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
19.0,Gregory Soto*,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
20.0,Yennier Cano,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
21.0,Jacob Webb,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
22.0,Corbin Burnes,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/1,
,Team Totals,,2,71,66,1,11,2,0,1,1,0,0,4,22,0.167,0.225,0.242,0.468,16,0.0,1,0,0.0,0,,
