Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Spencer Steer,26,LF,1.5,158,656,574,74,129,34,4,20,92,25,3,72,137,0.225,0.319,0.402,0.721,96,0.331,99,231,5,8,0,2,1,73/4D9H6,0
Elly De La Cruz#,22,SS,5.2,160,696,618,105,160,36,10,25,76,67,16,69,218,0.259,0.339,0.471,0.809,119,0.367,122,291,12,6,2,1,2,*6/H,"AS,MVP-8"
Tyler Stephenson,27,C,2.4,138,515,457,69,118,26,1,19,66,1,0,48,117,0.258,0.338,0.444,0.782,112,0.345,114,203,9,8,0,2,2,*2HD,0
Jonathan India,27,2B,1.7,151,637,533,84,132,28,2,15,58,13,2,80,125,0.248,0.357,0.392,0.75,105,0.34,108,209,16,15,2,7,0,*4D/H,0
Jeimer Candelario#,30,DH,-0.7,112,463,427,47,96,23,2,20,56,4,3,27,114,0.225,0.279,0.429,0.707,90,0.306,87,183,7,6,0,3,1,53D/H,0
TJ Friedl*,28,CF,0.5,85,341,297,35,67,5,1,13,55,9,1,26,52,0.226,0.31,0.38,0.69,88,0.313,88,113,1,12,2,4,0,8/HD,0
Santiago Espinal,29,3B,-0.4,118,391,357,32,88,12,0,9,45,11,1,24,54,0.246,0.295,0.356,0.65,77,0.294,73,127,7,2,4,4,1,54HD/679,0
Will Benson*,26,OF,-1.4,128,388,343,41,64,19,2,14,43,16,7,40,154,0.187,0.274,0.376,0.65,76,0.285,70,129,3,2,1,2,0,*798H/D,0
Stuart Fairchild,28,CF,1.0,94,233,209,33,45,8,0,8,30,13,1,17,60,0.215,0.286,0.368,0.654,77,0.314,83,77,1,4,2,1,0,8H97/D,0
Jake Fraley*,29,RF,0.3,116,382,350,44,97,19,2,5,26,20,5,26,70,0.277,0.33,0.386,0.716,95,0.319,92,135,6,3,0,3,0,9H/D78,0
Nick Martini*,34,DH,-0.4,52,163,146,23,31,4,2,5,24,1,3,9,38,0.212,0.272,0.37,0.641,73,0.293,82,54,1,4,0,3,0,D9/7H,0
Ty France,29,1B,-0.4,52,195,179,18,45,10,0,5,20,1,0,10,31,0.251,0.292,0.391,0.683,85,0.302,83,70,5,2,0,4,0,3/DH,0
Noelvi Marté,22,3B,-1.8,66,242,229,24,48,9,0,4,18,9,3,9,75,0.21,0.248,0.301,0.549,49,0.244,40,69,1,3,0,1,0,5D/H4,0
Christian Encarnacion-Strand,24,1B,-1.0,29,123,116,13,22,6,0,2,16,0,0,4,35,0.19,0.22,0.293,0.513,39,0.222,25,34,4,1,0,2,0,3,0
Rece Hinds,23,RF,0.7,24,51,46,9,12,4,1,5,11,2,0,4,16,0.261,0.333,0.717,1.051,176,0.435,173,33,0,1,0,0,0,9/H78D,0
Luke Maile,33,C,-0.4,53,154,135,8,24,4,0,2,8,2,0,13,52,0.178,0.268,0.252,0.52,44,0.25,43,34,4,4,1,1,0,2/1HD,0
