Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Ezequiel Tovar,22,SS,3.8,157,695,655,83,176,45,4,26,78,6,5,23,200,0.269,0.295,0.469,0.763,103,0.325,99,307,16,4,5,7,1,*6,"MVP-19,GG"
Brenton Doyle,26,CF,4.0,149,603,542,82,141,24,4,23,72,30,5,46,153,0.26,0.317,0.446,0.764,104,0.338,102,242,13,3,4,8,1,*8/DH,GG
Ryan McMahon*,29,3B,2.5,153,645,567,68,137,28,0,20,65,4,6,69,185,0.242,0.325,0.397,0.722,95,0.311,90,225,9,3,0,4,4,*5/DH,AS
Michael Toglia#,25,1B,2.2,116,458,399,62,87,14,3,25,55,10,1,54,147,0.218,0.311,0.456,0.767,105,0.334,102,182,7,1,0,3,2,39/7,0
Brendan Rodgers,27,2B,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,0.267,0.314,0.407,0.721,94,0.317,92,204,12,4,1,2,1,*4/DH,0
Charlie Blackmon*,37,DH,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,0.256,0.329,0.412,0.741,100,0.329,100,185,4,6,0,1,2,D9H/8,0
Jake Cave*,31,RF,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,0.251,0.29,0.396,0.686,84,0.297,77,128,6,1,1,3,1,*97H/8D,0
Elias Díaz,33,C,1.2,84,327,304,26,82,18,0,5,36,0,0,17,64,0.27,0.315,0.378,0.693,87,0.306,84,115,13,4,0,2,2,2D/H,0
Jacob Stallings,34,C,1.8,82,281,243,31,64,17,1,9,36,0,0,27,65,0.263,0.357,0.453,0.81,118,0.355,119,110,10,9,1,1,1,2/HD,0
Hunter Goodman,24,UT,-0.8,70,224,211,24,40,9,0,13,36,1,1,8,64,0.19,0.228,0.417,0.645,70,0.27,59,88,5,3,0,2,0,92DH/73,0
Nolan Jones*,26,LF,-0.7,79,297,256,28,58,13,1,3,28,5,4,36,91,0.227,0.321,0.32,0.641,75,0.289,73,82,7,1,1,3,2,7/DH,0
Elehuris Montero,25,1B,-1.7,67,247,224,23,46,10,0,4,28,0,0,20,56,0.205,0.267,0.304,0.571,55,0.265,54,68,7,0,0,3,0,3D/H,0
Sam Hilliard*,30,OF,0.5,58,158,138,26,33,5,1,10,27,5,2,14,56,0.239,0.305,0.507,0.812,115,0.347,113,70,3,0,4,2,1,789/HD,0
Kris Bryant,32,UT,-0.7,37,155,133,9,29,5,0,2,15,0,0,13,48,0.218,0.323,0.301,0.623,71,0.292,74,40,6,8,0,1,0,D93,0
Jordan Beck,23,LF,-0.8,55,184,170,14,32,6,0,3,13,7,1,12,65,0.188,0.245,0.276,0.521,41,0.246,36,47,3,1,0,1,1,79/8H,0
Sean Bouchard,28,OF,-0.6,31,108,91,14,17,7,0,1,8,4,0,12,33,0.187,0.29,0.297,0.586,60,0.299,73,27,0,2,1,2,0,97/DH,0
Aaron Schunk,26,IF,0.2,39,98,94,14,22,3,0,2,7,0,1,4,31,0.234,0.265,0.33,0.595,60,0.26,55,31,0,0,0,0,1,45/H6D,0
Drew Romo#,22,C,-0.2,16,53,51,4,9,3,0,0,6,0,1,2,18,0.176,0.208,0.235,0.443,20,0.186,5,12,2,0,0,0,0,2/DH,0
Alan Trejo,28,2B,-0.8,28,67,63,4,9,0,0,0,1,0,0,2,15,0.143,0.182,0.143,0.325,-10,0.154,-27,9,2,1,1,0,0,4/5H6D,0
Greg Jones#,26,RF,0.1,6,6,5,1,1,0,0,1,1,0,0,1,4,0.2,0.333,0.8,1.133,194,0.451,188,4,0,0,0,0,0,/9H,0
Adael Amador#,21,2B,-0.4,10,36,35,1,6,1,0,0,0,1,0,1,6,0.171,0.194,0.2,0.394,8,0.21,10,7,1,0,0,0,0,4,0
Nick Mears,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Justin Lawrence,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Peter Lambert,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Matt Koch*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Tyler Kinley,33,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Seth Halvorsen,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Kyle Freeland*,31,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1/H,0
Jeff Criswell,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Jalen Beeks*,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Victor Vodnik,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
