Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Luis Arráez*,27.0,7,31,31,4,7,0,0,0,0,0,0,0,1,0.226,0.226,0.226,0.452,7,2.0,0,0,0.0,0,/3D,
2.0,Fernando Tatis Jr.,25.0,7,30,26,8,11,3,0,4,7,0,0,3,2,0.423,0.5,1.0,1.5,26,1.0,1,0,0.0,0,*/9,
3.0,Manny Machado,31.0,7,28,28,4,5,1,0,1,4,0,0,0,9,0.179,0.179,0.321,0.5,9,2.0,0,0,0.0,0,/*5,
4.0,Jurickson Profar#,31.0,7,28,25,1,5,0,0,0,1,0,0,3,4,0.2,0.286,0.2,0.486,5,0.0,0,0,0.0,0,*/7,
5.0,Jackson Merrill*,21.0,7,27,24,4,6,1,1,1,5,0,0,3,6,0.25,0.333,0.5,0.833,12,0.0,0,0,0.0,1,*/8,
6.0,Xander Bogaerts,31.0,7,26,24,2,4,1,0,1,4,0,0,2,3,0.167,0.231,0.333,0.564,8,0.0,0,0,0.0,0,/*6,
7.0,Jake Cronenworth*,30.0,7,25,22,2,3,0,1,0,0,0,0,2,9,0.136,0.24,0.227,0.467,5,0.0,1,0,0.0,0,/*4,
8.0,Kyle Higashioka,34.0,7,22,19,3,5,1,0,3,5,0,0,1,3,0.263,0.273,0.789,1.062,15,0.0,0,0,2.0,0,/*2,
9.0,Donovan Solano,36.0,5,14,14,0,1,0,0,0,0,0,0,0,4,0.071,0.071,0.071,0.143,1,0.0,0,0,0.0,0,/3HD,
10.0,David Peralta*,36.0,5,13,13,2,4,1,0,1,4,0,0,0,1,0.308,0.308,0.615,0.923,8,0.0,0,0,0.0,0,/*DH,
11.0,Elias Díaz,33.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,/2,
12.0,Tyler Wade*,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/6,
13.0,Robert Suarez,33.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
14.0,Tanner Scott,29.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/*1,
15.0,Dylan Cease,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
16.0,Wandy Peralta*,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
17.0,Joe Musgrove,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
18.0,Adrián Morejón*,25.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
19.0,Yuki Matsui*,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
20.0,Jason Adam,32.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/*1,
21.0,Brandon Lockridge,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/H7,
22.0,Michael King,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
23.0,Alek Jacob*,26.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
24.0,Bryan Hoeing,27.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
25.0,Jeremiah Estrada#,25.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
26.0,Yu Darvish,37.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0,/1,
,Team Totals,,7,245,227,30,51,8,2,11,30,0,0,14,43,0.225,0.273,0.423,0.696,96,5.0,2,0,2.0,1,,
