Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jason Kipnis*,29.0,15,64,61,9,14,3,0,4,8,0,0,2,16,0.23,0.266,0.475,0.741,29,1,1,0,0,0,*4,
2.0,Francisco Lindor#,22.0,15,62,58,5,18,3,0,2,6,1,3,4,16,0.31,0.355,0.466,0.82,27,1,0,0,0,0,*6,
3.0,Carlos Santana#,30.0,15,61,52,6,10,1,0,3,4,0,0,8,11,0.192,0.311,0.385,0.696,20,0,1,0,0,0,*D/37,
4.0,José Ramírez#,23.0,15,59,56,6,15,2,0,1,3,0,1,3,8,0.268,0.305,0.357,0.662,20,1,0,0,0,1,*5,
5.0,Mike Napoli,34.0,15,56,52,3,9,3,0,1,3,1,0,4,21,0.173,0.232,0.288,0.521,15,0,0,0,0,0,*3/D,
6.0,Roberto Pérez,27.0,15,52,43,5,8,1,0,3,7,0,0,7,15,0.186,0.3,0.419,0.719,18,1,0,2,0,0,*2,
7.0,Lonnie Chisenhall*,27.0,14,47,42,4,9,0,0,1,5,0,0,2,13,0.214,0.261,0.286,0.547,12,1,1,1,1,0,*9,
8.0,Rajai Davis,35.0,15,37,34,4,5,1,0,1,4,4,0,1,9,0.147,0.189,0.265,0.454,9,1,1,0,1,0,*8/7H,
9.0,Coco Crisp#,36.0,12,32,26,5,7,2,0,2,4,1,0,3,3,0.269,0.345,0.577,0.922,15,0,0,3,0,0,/7H,
10.0,Tyler Naquin*,25.0,11,25,23,0,4,2,0,0,2,0,0,1,14,0.174,0.208,0.261,0.469,6,0,0,1,0,1,8/9H,
11.0,Brandon Guyer,30.0,10,24,18,6,6,1,0,0,3,0,0,4,5,0.333,0.5,0.389,0.889,7,0,2,0,0,0,/7H9,
12.0,Yan Gomes,28.0,4,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,/2H,
13.0,Michael Martínez#,33.0,7,4,4,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/89H5,
14.0,Josh Tomlin,31.0,4,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,/1,
15.0,Corey Kluber,30.0,6,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,1,0,0,0,0,0,/1,
16.0,Trevor Bauer,25.0,5,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/1,
17.0,Ryan Merritt*,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Andrew Miller*,31.0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,ALCS MVP
19.0,Zach McAllister,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Jeff Manship,31.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
21.0,Dan Otero,31.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Mike Clevinger,25.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,Danny Salazar,26.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
24.0,Bryan Shaw#,28.0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,*1,
25.0,Cody Allen,27.0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,
