Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Miguel Cabrera,33,1B,5.1,158,679,595,92,188,31,1,38,108,0,0,75,116,0.316,0.393,0.563,0.956,155,0.402,156,335,26,4,0,5,15,*3/DH5,"AS,MVP-9,SS",Right,No,No,No,No,No,No,No,
Justin Upton,28,LF,1.7,153,626,570,81,140,28,2,31,87,9,4,50,179,0.246,0.31,0.465,0.775,106,0.335,105,265,15,4,0,2,3,*7/8HD,0,Right,No,No,No,No,No,No,No,
Victor Martinez#,37,DH,1.5,154,610,553,65,160,22,0,27,86,0,0,50,90,0.289,0.351,0.476,0.826,121,0.354,120,263,19,4,0,3,8,*DH/3,0,Both,No,No,No,No,No,No,No,
Ian Kinsler,34,2B,5.6,153,679,618,117,178,29,4,28,83,14,6,45,115,0.288,0.348,0.484,0.831,122,0.359,123,299,5,13,0,3,0,*4/HD,GG,Right,No,No,No,No,No,No,No,
J.D. Martinez,28,RF,1.7,120,517,460,69,141,35,2,22,68,1,2,49,128,0.307,0.373,0.535,0.908,142,0.39,147,246,13,3,0,5,2,*9/DH,0,Right,No,No,No,No,No,No,No,
Nick Castellanos,24,3B,2.3,110,447,411,54,117,25,4,18,58,1,1,28,111,0.285,0.331,0.496,0.827,120,0.348,115,204,4,3,0,5,1,*5/HD,0,Right,No,No,No,No,No,No,No,
James McCann,26,C,0.9,105,373,344,31,76,9,1,12,48,0,1,23,109,0.221,0.272,0.358,0.629,69,0.272,61,123,12,2,1,3,0,2/DH,0,Right,No,No,No,No,No,No,No,
Cameron Maybin,29,CF,1.7,94,391,349,65,110,14,5,4,43,15,6,36,69,0.315,0.383,0.418,0.801,118,0.359,122,146,8,3,2,1,0,8/HD,0,Right,No,No,No,No,No,No,No,
Jarrod Saltalamacchia#,31,C,-0.5,92,292,246,30,42,5,1,12,38,0,0,41,104,0.171,0.284,0.346,0.63,70,0.283,67,85,1,0,0,5,1,2H3/D,0,Both,No,No,No,No,No,No,No,
Jose Iglesias,26,SS,2.5,137,513,467,57,119,26,0,4,32,7,4,28,50,0.255,0.306,0.336,0.643,74,0.293,75,157,12,8,7,3,1,*6/H,0,Right,No,No,No,No,No,No,No,
Andrew Romine#,30,UT,0.5,108,194,174,21,41,5,2,2,16,8,0,13,38,0.236,0.304,0.322,0.626,70,0.303,74,56,5,4,3,0,0,58H364/D917,0,Both,No,No,No,No,No,No,No,
Tyler Collins*,26,CF,-0.4,56,151,136,14,32,2,3,4,15,1,1,13,38,0.235,0.305,0.382,0.687,85,0.296,78,52,1,1,0,1,0,8H7/9D,0,Left,No,No,No,No,No,No,No,
Steven Moya*,24,OF,-0.5,31,100,94,9,24,4,2,5,11,0,1,5,38,0.255,0.29,0.5,0.79,108,0.324,101,47,0,0,0,1,0,9/7HD,0,Left,No,No,No,No,No,No,No,
