Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Adrián González*,34,1B,1.9,156,633,568,69,162,31,0,18,90,0,2,55,117,0.285,0.349,0.435,0.784,111,0.343,111,247,16,4,0,6,9,*3/HD,0,Left,No,No,No,No,No,No,No,
Justin Turner,31,3B,5.0,151,622,556,79,153,34,3,27,90,4,1,48,107,0.275,0.339,0.493,0.832,121,0.368,127,274,16,10,0,8,1,*5H/D3,MVP-9,Right,No,No,No,No,No,No,No,
Yasmani Grandal#,27,C,3.0,126,457,390,49,89,14,1,27,72,1,3,64,116,0.228,0.339,0.477,0.816,118,0.355,121,186,11,2,0,1,1,*2H/3,MVP-22,Both,No,No,No,No,No,No,No,
Corey Seager*,22,SS,5.2,157,687,627,105,193,40,5,26,72,3,3,54,133,0.308,0.365,0.512,0.877,134,0.379,137,321,12,4,0,2,5,*6/H,"AS,MVP-3,ROY-1,SS",Left,No,No,No,No,No,No,No,
Joc Pederson*,24,CF,3.4,137,476,406,64,100,26,0,25,68,6,2,63,130,0.246,0.352,0.495,0.847,126,0.367,127,201,5,4,1,2,4,*8H,0,Left,No,No,No,No,No,No,No,
Chase Utley*,37,2B,1.2,138,565,512,79,129,26,3,14,52,2,2,40,115,0.252,0.319,0.396,0.716,92,0.324,97,203,0,11,1,1,1,*4H/5,0,Left,No,No,No,No,No,No,No,
Yasiel Puig,25,RF,1.3,104,368,334,45,88,14,2,11,45,5,2,24,74,0.263,0.323,0.416,0.74,98,0.325,96,139,10,7,0,3,0,9H/78,0,Right,No,No,No,No,No,No,No,
Howie Kendrick,32,LF,0.6,146,543,487,65,124,26,2,8,40,10,2,50,96,0.255,0.326,0.366,0.691,87,0.319,90,178,20,3,0,3,2,74H53/D,0,Right,No,No,No,No,No,No,No,
Trayce Thompson,25,OF,0.7,80,262,236,31,53,11,0,13,32,5,1,26,66,0.225,0.302,0.436,0.738,96,0.321,92,103,3,0,0,0,0,897H,0,Right,No,No,No,No,No,No,No,
Kiké Hernández,24,OF,-0.1,109,244,216,25,41,8,0,7,18,2,0,28,64,0.19,0.283,0.324,0.607,64,0.289,69,70,3,0,0,0,1,H784/956D,0,Right,No,No,No,No,No,No,No,
Andrew Toles*,24,LF,1.4,48,115,105,19,33,9,1,3,16,1,1,8,25,0.314,0.365,0.505,0.87,132,0.364,127,53,1,1,0,1,2,H7/89,0,Left,No,No,No,No,No,No,No,
A.J. Ellis,35,C,-0.2,53,161,139,8,27,5,0,1,13,1,1,16,24,0.194,0.285,0.252,0.537,47,0.255,45,35,5,2,3,1,2,2/H,0,Right,No,No,No,No,No,No,No,
Rob Segedin,27,UT,0.0,40,83,73,9,17,2,1,2,12,0,0,6,22,0.233,0.301,0.37,0.671,80,0.292,73,27,1,2,0,2,0,H/3795,0,Right,No,No,No,No,No,No,No,
Josh Reddick*,29,RF,0.0,47,167,155,20,40,6,0,2,9,3,3,11,22,0.258,0.307,0.335,0.643,74,0.286,72,52,1,0,0,0,0,9/H,0,Left,No,No,No,No,No,No,No,
Scott Van Slyke,29,UT,-0.4,52,113,102,10,23,6,0,1,7,1,2,5,24,0.225,0.292,0.314,0.606,64,0.271,62,32,3,5,0,1,1,H79/38,0,Right,No,No,No,No,No,No,No,
Chris Taylor,25,IF,0.1,34,62,58,8,12,2,2,1,7,0,0,4,13,0.207,0.258,0.362,0.62,65,0.276,61,21,3,0,0,0,1,H5/46,0,Right,No,No,No,No,No,No,No,
Charlie Culberson,27,UT,0.4,34,68,67,6,20,3,0,1,7,1,0,1,13,0.299,0.309,0.388,0.697,87,0.316,88,26,2,0,0,0,0,H64/57,0,Right,No,No,No,No,No,No,No,
Carl Crawford*,34,LF,-1.0,30,87,81,8,15,2,1,0,6,0,1,4,11,0.185,0.23,0.235,0.464,26,0.213,20,19,3,1,0,1,0,7/HD,0,Left,No,No,No,No,No,No,No,
Kenta Maeda,28,P,0.0,34,66,57,5,7,1,0,1,4,0,0,1,16,0.123,0.138,0.193,0.331,-12,0.174,-28,11,1,0,8,0,0,1/H,ROY-3,Right,No,No,No,No,No,No,No,
Clayton Kershaw*,28,P,0.2,21,50,46,2,8,1,0,0,3,0,0,1,12,0.174,0.191,0.196,0.387,5,0.231,24,9,0,0,3,0,0,1/H,"AS,CYA-5",Left,No,No,No,No,No,No,No,
Carlos Ruiz,37,C,0.2,14,40,36,3,10,2,0,0,3,0,0,3,5,0.278,0.35,0.333,0.683,87,0.31,86,12,1,1,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,
Austin Barnes,26,UT,-0.1,21,37,32,3,5,1,0,0,2,0,0,5,9,0.156,0.27,0.188,0.458,28,0.22,21,6,0,0,0,0,0,/2H45,0,Right,No,No,No,No,No,No,No,
Andre Ethier*,34,LF,-0.2,16,26,24,2,5,1,0,1,2,0,0,2,6,0.208,0.269,0.375,0.644,72,0.266,53,9,1,0,0,0,1,H/7D,0,Left,No,No,No,No,No,No,No,
Alex Wood,25,P,0.2,14,19,16,2,4,0,0,0,2,0,0,1,9,0.25,0.294,0.25,0.544,50,0.253,38,4,0,0,2,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Julio Urías*,19,P,-0.1,17,26,22,0,3,0,0,0,2,0,0,0,9,0.136,0.136,0.136,0.273,-26,0.164,-42,3,1,0,4,0,0,1,0,Left,No,No,No,No,No,No,No,
Scott Kazmir*,32,P,-0.2,26,50,43,3,5,0,0,0,2,0,0,1,24,0.116,0.136,0.116,0.253,-30,0.116,-75,5,1,0,6,0,0,1/H,0,Left,No,No,No,No,No,No,No,
Ross Stripling,26,P,0.1,19,27,24,2,2,0,0,0,1,0,0,2,12,0.083,0.154,0.083,0.237,-33,0.158,-29,2,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,
