Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Asdrúbal Cabrera#,30.0,1,4,3,0,1,0,0,0,0,0,0,1,0,0.333,0.5,0.333,0.833,1,0.0,0,0,0.0,0.0,/*6,
2.0,Yoenis Céspedes,30.0,1,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/7,
3.0,Curtis Granderson*,35.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/8,
4.0,José Reyes#,33.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*5,
5.0,T.J. Rivera,27.0,1,4,4,0,1,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,2,0.0,0,0,0.0,0.0,/*4,
6.0,Jay Bruce*,29.0,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,*/9,
7.0,René Rivera,32.0,1,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1,0.0,0,0,0.0,0.0,/*2,
8.0,James Loney*,32.0,1,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,1.0,0,0,0.0,1.0,/*3,
9.0,Noah Syndergaard*,23.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*1,
10.0,Eric Campbell,29.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/*3H,
11.0,Ty Kelly#,27.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,/*H,
12.0,Jeurys Familia,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
13.0,Addison Reed*,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/*1,
