Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Khris Davis,28,LF,2.5,150,610,555,85,137,24,2,42,102,1,2,42,166,0.247,0.307,0.524,0.831,123,0.35,122,291,19,8,0,5,0,7D/H,0,Right,No
Marcus Semien,25,SS,3.5,159,621,568,72,135,27,2,27,75,10,2,51,139,0.238,0.3,0.435,0.735,99,0.327,103,247,12,0,1,1,1,*6,0,Right,No
Stephen Vogt*,31,C,2.1,137,532,490,54,123,30,2,14,56,0,0,35,83,0.251,0.305,0.406,0.711,94,0.316,96,199,6,4,0,3,3,*2DH/3,AS,Left,No
Yonder Alonso*,29,1B,-0.2,156,532,482,52,122,34,0,7,56,3,1,45,74,0.253,0.316,0.367,0.683,88,0.305,88,177,15,1,0,4,1,*3H/5D,0,Left,No
Danny Valencia,31,UT,1.4,130,517,471,72,135,22,1,17,51,1,1,41,115,0.287,0.346,0.446,0.792,116,0.351,122,210,11,3,0,2,1,593/DH7,0,Right,No
Coco Crisp#,36,OF,0.2,102,434,393,45,92,24,4,11,47,7,5,37,65,0.234,0.299,0.399,0.698,90,0.312,94,157,6,0,2,2,2,78D/H,0,Both,No
Ryon Healy,24,3B,2.4,72,283,269,36,82,20,0,13,37,0,0,12,60,0.305,0.337,0.524,0.861,132,0.373,138,141,7,1,1,0,1,5,0,Right,No
Billy Butler,30,DH,0.0,85,242,221,24,61,16,0,4,31,0,0,19,34,0.276,0.331,0.403,0.733,101,0.325,103,89,13,0,0,2,1,DH3,0,Right,No
Josh Reddick*,29,RF,2.3,68,272,243,33,72,11,1,8,28,5,0,28,34,0.296,0.368,0.449,0.816,124,0.379,139,109,7,0,0,1,5,9/DH,0,Left,No
Jed Lowrie#,32,2B,-0.4,87,369,338,30,89,12,1,2,27,0,0,26,65,0.263,0.314,0.322,0.637,77,0.282,71,109,10,1,0,4,0,4/DH6,0,Both,No
Jake Smolinski,27,OF,-0.6,99,319,290,28,69,6,2,7,27,1,2,19,44,0.238,0.299,0.345,0.644,77,0.284,74,100,11,7,1,2,0,897H/D,0,Right,No
Bruce Maxwell*,25,C,0.5,33,101,92,8,26,6,1,1,14,0,0,8,24,0.283,0.337,0.402,0.739,103,0.32,99,37,2,0,0,1,0,2/HD,0,Left,No
