Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Gregory Polanco*,24,RF,1.7,144,587,527,79,136,34,4,22,86,17,6,53,119,0.258,0.323,0.463,0.786,107,0.343,107,244,13,0,1,6,6,*97/H8D,0,Left,No,No,No,No,No,No,No,No,No
Andrew McCutchen,29,CF,-0.4,153,675,598,81,153,26,3,24,79,6,7,69,143,0.256,0.336,0.43,0.766,104,0.339,107,257,15,5,0,3,7,*8/H,0,Right,No,No,No,No,No,No,No,No,No
Jung Ho Kang,29,3B,2.2,103,370,318,45,81,19,0,21,62,3,1,36,79,0.255,0.354,0.513,0.867,129,0.384,137,163,11,14,0,2,1,5H/D,0,Right,No,No,No,No,No,No,No,No,No
Jordy Mercer,29,SS,1.2,149,584,519,66,133,22,3,11,59,1,1,51,83,0.256,0.328,0.374,0.701,88,0.318,90,194,11,5,7,2,8,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Josh Harrison,28,2B,1.9,131,522,487,57,138,25,7,4,59,19,4,18,76,0.283,0.311,0.388,0.699,86,0.316,84,189,10,5,4,8,0,*4/H9,0,Right,No,No,No,No,No,No,No,No,No
Sean Rodríguez,31,UT,1.7,140,342,300,49,81,16,1,18,56,2,1,33,102,0.27,0.349,0.51,0.859,127,0.365,124,153,6,5,1,3,2,3H46957/8,0,Right,No,No,No,No,No,No,No,No,No
David Freese,33,CI,1.8,141,492,437,63,118,23,0,13,55,0,0,45,142,0.27,0.352,0.412,0.764,104,0.344,109,180,15,10,0,0,2,53H/4,0,Right,No,No,No,No,No,No,No,No,No
Starling Marte,27,LF,4.7,129,529,489,71,152,34,5,9,46,47,12,23,104,0.311,0.362,0.456,0.818,118,0.373,122,223,8,16,1,0,5,*78/H,"AS,GG",Right,No,No,No,No,No,No,No,No,No
John Jaso*,32,1B,0.6,132,432,380,45,102,25,3,8,42,0,4,45,74,0.268,0.353,0.413,0.766,105,0.342,111,157,8,5,1,1,0,3H/9,0,Left,No,No,No,No,No,No,No,No,No
Matt Joyce*,31,OF,1.7,140,293,231,45,56,10,1,13,42,1,1,59,67,0.242,0.403,0.463,0.866,132,0.386,140,107,9,3,0,0,4,H97/D,0,Left,No,No,No,No,No,No,No,No,No
Francisco Cervelli,30,C,1.6,101,393,326,42,86,14,1,1,33,6,2,56,72,0.264,0.377,0.322,0.699,91,0.334,100,105,14,6,0,5,1,2/H3D,0,Right,No,No,No,No,No,No,No,No,No
Josh Bell#,23,UT,-0.8,45,152,128,18,35,8,0,3,19,0,1,21,19,0.273,0.368,0.406,0.775,108,0.344,111,52,4,0,0,3,0,39H,0,Both,No,No,No,No,No,No,No,No,No
Adam Frazier*,24,UT,0.4,66,160,146,21,44,8,1,2,11,4,1,12,26,0.301,0.356,0.411,0.767,105,0.345,107,60,0,1,0,1,0,H749/58,0,Left,No,No,No,No,No,No,No,No,No
Eric Fryer,30,C,-0.3,36,92,78,12,17,2,1,0,8,0,2,10,18,0.218,0.3,0.269,0.569,55,0.268,61,21,1,0,2,2,0,2/H,0,Right,No,No,No,No,No,No,No,No,No
Chris Stewart,34,C,-0.3,34,113,98,10,21,4,0,1,7,0,0,12,15,0.214,0.319,0.286,0.604,64,0.291,69,28,2,3,0,0,2,2/H3,0,Right,No,No,No,No,No,No,No,No,No
Francisco Liriano*,32,P,0.5,21,42,42,2,12,1,0,1,5,0,0,0,16,0.286,0.286,0.381,0.667,77,0.311,85,16,0,0,0,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
Erik Kratz,36,C,-0.6,18,57,56,3,6,1,0,1,4,0,0,0,18,0.107,0.107,0.179,0.286,-25,0.137,-44,10,2,0,1,0,0,2/13,0,Right,No,No,No,No,No,No,No,No,No
Pedro Florimón#,29,MI,-0.1,18,25,24,4,5,1,1,0,4,0,1,1,12,0.208,0.24,0.333,0.573,52,0.225,37,8,0,0,0,0,0,/H46,0,Both,No,No,No,No,No,No,No,No,No
Cole Figueroa*,29,IF,-0.3,23,27,26,0,4,0,0,0,3,1,0,1,2,0.154,0.185,0.154,0.339,-7,0.168,-25,4,0,0,0,0,0,H/456,0,Left,No,No,No,No,No,No,No,No,No
Gerrit Cole,25,P,0.2,21,43,40,3,8,1,0,1,3,0,0,0,19,0.2,0.22,0.3,0.52,38,0.227,20,12,0,1,2,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Jameson Taillon,24,P,-0.3,17,36,32,0,3,0,0,0,2,0,0,0,17,0.094,0.094,0.094,0.188,-49,0.084,-102,3,2,0,4,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Jacob Stallings,26,C,0.2,5,15,15,0,6,1,0,0,2,1,0,0,4,0.4,0.4,0.467,0.867,132,0.393,132,7,0,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,No,No
Jason Rogers,28,CI,-0.1,23,33,25,2,2,0,1,0,2,0,0,7,9,0.08,0.303,0.16,0.463,30,0.245,37,4,1,1,0,0,0,H/35,0,Right,No,No,No,No,No,No,No,No,No
Trevor Williams,24,P,0.1,7,3,1,1,0,0,0,0,1,0,0,2,1,0.0,0.667,0.0,0.667,103,0.465,197,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Elias Díaz,25,C,-0.1,1,4,4,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,No,No
Alen Hanson#,23,2B,-0.3,27,33,31,5,7,1,0,0,1,2,1,2,5,0.226,0.273,0.258,0.531,44,0.251,40,8,0,0,0,0,1,H/4,0,Both,No,No,No,No,No,No,No,No,No
Jon Niese*,29,P,-0.1,21,33,30,1,3,1,0,0,1,0,0,2,14,0.1,0.156,0.133,0.29,-21,0.139,-44,4,1,0,1,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
Juan Nicasio,29,P,-0.1,49,20,19,1,3,0,0,0,1,0,0,0,7,0.158,0.158,0.158,0.316,-15,0.132,-52,3,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Wilfredo Boscán,26,P,0.0,5,3,3,0,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,80,0.3,76,1,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Ryan Vogelsong,38,P,-0.1,24,23,19,1,1,0,0,0,1,0,0,1,13,0.053,0.143,0.053,0.195,-44,0.111,-76,1,0,1,2,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Mike Morse,34,DH,-0.2,6,8,8,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,/H3D,0,Right,No,No,No,No,No,No,No,No,No
Iván Nova,29,P,0.0,11,24,22,1,3,0,0,0,0,0,0,0,15,0.136,0.136,0.136,0.273,-26,0.164,-33,3,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Chad Kuhl,23,P,-0.1,14,26,23,0,2,0,0,0,0,0,0,1,9,0.087,0.125,0.087,0.212,-41,0.1,-82,2,0,0,2,0,0,1/H,0,Right,No,No,No,No,No,No,No,No,No
Max Moroff#,23,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,/H,0,Both,No,No,No,No,No,No,No,No,No
Jeff Locke*,28,P,-0.1,30,39,32,0,4,0,0,0,0,0,0,1,17,0.125,0.152,0.125,0.277,-24,0.124,-78,4,0,0,6,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
Tyler Glasnow*,22,P,0.0,7,7,7,0,1,0,0,0,0,0,0,0,4,0.143,0.143,0.143,0.286,-23,0.129,-48,1,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Steven Brault*,24,P,0.1,8,9,8,1,2,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,35,0.225,13,2,0,0,1,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
A.J. Schugel,27,P,0.0,32,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-261,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Arquimedes Caminero,29,P,0.0,37,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Kyle Lobstein*,26,P,0.0,13,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Rob Scahill*,29,P,0.0,13,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Tony Watson*,31,P,0.0,65,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Wade LeBlanc*,31,P,0.0,8,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Drew Hutchison*,25,P,0.0,6,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
