Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Wil Myers,25,1B,3.4,157,676,599,99,155,29,4,28,94,28,6,68,160,0.259,0.336,0.461,0.797,115,0.358,119,276,12,4,0,5,1,*3/97H5,AS,Right,No,Yes,No,No,No,No,No,No,No
Yangervis Solarte#,28,3B,2.9,109,443,405,55,116,26,1,15,71,1,1,30,63,0.286,0.341,0.467,0.808,118,0.35,117,189,7,5,0,3,1,54/H3,0,Both,No,No,No,No,No,No,No,No,No
Matt Kemp,31,RF,0.3,100,431,409,54,107,24,0,23,69,0,0,16,100,0.262,0.285,0.489,0.774,106,0.327,100,200,8,0,0,6,3,9/DH,0,Right,No,No,No,No,No,No,No,No,No
Ryan Schimpf*,28,2B,2.6,89,330,276,48,60,17,5,20,51,1,1,42,105,0.217,0.336,0.533,0.869,132,0.369,132,147,3,9,0,3,3,45/H7,0,Left,No,No,No,No,No,No,No,No,No
B.J. Upton,31,LF,1.8,92,374,344,46,88,11,2,16,45,20,5,23,106,0.256,0.304,0.439,0.743,99,0.334,101,151,5,2,1,3,1,78/H9,0,Right,No,No,No,No,No,No,No,No,No
Derek Norris,27,C,0.4,125,458,415,50,77,17,0,14,42,9,2,36,139,0.186,0.255,0.328,0.583,58,0.264,52,136,9,4,0,3,5,*2/H3,0,Right,No,No,No,No,No,No,No,No,No
Alexei Ramírez,34,SS,-1.7,128,444,421,33,101,19,2,5,41,6,9,17,56,0.24,0.275,0.33,0.605,64,0.267,62,139,7,4,0,2,3,*6H/9D,0,Right,No,No,No,No,No,No,No,No,No
Alex Dickerson*,26,LF,1.0,84,285,253,39,65,16,2,10,37,5,1,26,44,0.257,0.333,0.455,0.788,112,0.351,116,115,5,4,0,2,2,7H/D,0,Left,No,No,No,No,No,No,No,No,No
Adam Rosales,33,IF,2.3,105,248,214,37,49,12,3,13,35,4,0,29,88,0.229,0.319,0.495,0.814,118,0.345,111,106,2,1,0,4,2,54H6/739D,0,Right,No,No,No,No,No,No,No,No,No
Jon Jay*,31,CF,1.2,90,374,347,49,101,26,1,2,26,2,0,19,78,0.291,0.339,0.389,0.728,98,0.337,107,135,5,6,1,0,0,8/97H,0,Left,No,No,No,No,No,No,No,No,No
Christian Bethancourt,24,C,-0.1,73,204,193,20,44,9,0,6,25,1,2,10,56,0.228,0.265,0.368,0.633,70,0.279,68,71,9,0,0,1,0,2H/791D4,0,Right,No,No,No,No,No,No,No,No,No
Brett Wallace*,29,3B,-0.8,119,256,217,19,41,10,0,6,20,0,0,29,83,0.189,0.309,0.318,0.627,72,0.29,73,69,2,9,0,1,3,H53/D,0,Left,No,No,No,No,No,No,No,No,No
Hunter Renfroe,24,RF,0.4,11,36,35,8,13,3,0,4,14,0,0,1,5,0.371,0.389,0.8,1.189,213,0.492,223,28,1,0,0,0,1,/9H,0,Right,No,No,No,No,No,No,No,No,No
Luis Sardiñas#,23,SS,0.2,34,120,108,13,31,6,1,2,13,3,1,11,23,0.287,0.353,0.417,0.77,109,0.338,107,45,0,0,1,0,3,6/4H,0,Both,No,No,No,No,No,No,No,No,No
Travis Jankowski*,25,CF,1.3,131,383,335,53,82,13,2,2,12,30,12,42,100,0.245,0.332,0.313,0.646,78,0.298,77,105,5,2,3,0,0,*8H9/7,0,Left,No,No,No,No,No,No,No,No,No
