Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Adrian Beltré,37,3B,6.7,153,640,583,89,175,31,1,32,104,1,1,48,66,0.3,0.358,0.521,0.879,128,0.38,133,304,10,6,0,3,6,*5D,"MVP-7,GG",Right,No,No,No,No,No,No,No
Rougned Odor*,22,2B,2.7,150,632,605,89,164,33,4,33,88,14,7,19,135,0.271,0.296,0.502,0.798,105,0.342,104,304,6,4,0,4,0,*4/DH,0,Left,No,No,No,No,No,No,No
Ian Desmond,30,CF,2.2,156,677,625,107,178,29,3,22,86,21,6,44,160,0.285,0.335,0.446,0.782,104,0.342,102,279,11,5,0,3,2,*87,AS,Right,No,Yes,No,No,No,No,No
Elvis Andrus,27,SS,2.9,147,568,506,75,153,31,7,8,69,24,8,47,70,0.302,0.362,0.439,0.8,110,0.362,117,222,18,4,4,7,2,*6,0,Right,No,No,No,No,No,No,No
Nomar Mazara*,21,RF,0.3,145,568,516,59,137,13,3,20,64,0,2,39,112,0.266,0.32,0.419,0.739,93,0.327,95,216,12,6,0,7,1,*97H/D,ROY-5,Left,No,No,No,No,No,No,No
Mitch Moreland*,30,1B,1.0,147,503,460,49,107,21,0,22,60,1,0,35,118,0.233,0.298,0.422,0.72,87,0.31,80,194,8,8,0,0,5,*3H/D,GG,Left,No,No,No,No,No,No,No
Prince Fielder*,32,DH,-1.6,89,370,326,29,69,16,0,8,44,0,0,32,63,0.212,0.292,0.334,0.626,65,0.289,65,109,12,7,0,5,1,D/3H,0,Left,No,No,No,No,No,No,No
Jonathan Lucroy,30,C,1.5,47,168,152,19,42,7,0,11,31,0,0,14,30,0.276,0.345,0.539,0.885,128,0.386,137,82,4,2,0,0,2,2/H,AS,Right,No,No,No,No,No,No,No
Carlos Beltrán#,39,DH,0.3,52,206,193,23,54,12,0,7,29,1,0,13,31,0.28,0.325,0.451,0.776,102,0.336,99,87,6,0,0,0,1,D/9H,AS,Both,No,No,No,No,No,No,No
Carlos Gómez,30,LF,0.8,33,130,116,18,33,6,0,8,24,5,3,13,36,0.284,0.362,0.543,0.905,134,0.392,142,63,0,1,0,0,0,7/89H,0,Right,No,No,No,No,No,No,No
