Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Daniel Murphy*,31,2B,4.7,142,582,531,88,184,47,5,25,104,5,3,35,57,0.347,0.39,0.595,0.985,155,0.411,154,316,4,8,0,8,10,*43/H5D,"AS,MVP-2,SS",Left,No,No,No,No,No,No,No,No,No
Bryce Harper*,23,RF,1.6,147,627,506,84,123,24,2,24,86,21,10,108,117,0.243,0.373,0.441,0.814,114,0.352,110,223,11,3,0,10,20,*9/H,AS,Left,No,Yes,No,No,No,No,No,No,No
Anthony Rendon,26,3B,4.3,156,647,567,91,153,38,2,20,85,12,6,65,117,0.27,0.348,0.45,0.797,108,0.35,109,255,5,7,0,8,2,*5/H,0,Right,No,No,No,No,No,No,No,No,No
Wilson Ramos,28,C,3.1,131,523,482,58,148,25,0,22,80,0,0,35,79,0.307,0.354,0.496,0.85,121,0.373,125,239,17,2,0,4,2,*2/H,"AS,MVP-17,SS",Right,No,No,No,No,No,No,No,No,No
Danny Espinosa#,29,SS,1.7,157,601,516,66,108,15,0,24,72,9,2,54,174,0.209,0.306,0.378,0.684,79,0.299,70,195,4,20,7,4,12,*6/H,0,Both,No,No,No,No,No,No,No,No,No
Jayson Werth,37,LF,0.3,143,606,525,84,128,28,0,21,69,5,1,71,139,0.244,0.335,0.417,0.752,97,0.336,98,219,17,4,0,6,0,*7/DH9,0,Right,No,No,No,No,No,No,No,No,No
Ryan Zimmerman,31,1B,-0.5,115,467,427,60,93,18,1,15,46,4,1,29,104,0.218,0.272,0.37,0.642,67,0.289,64,158,12,5,0,6,1,*3/D,0,Right,No,No,No,No,No,No,No,No,No
Trea Turner,23,UT,3.3,73,324,307,53,105,14,8,13,40,33,6,14,59,0.342,0.37,0.567,0.937,142,0.422,150,174,1,1,0,2,0,84/6H,ROY-2,Right,No,No,No,No,No,No,No,No,No
Clint Robinson*,31,1B,-0.6,104,224,196,16,46,4,0,5,26,0,0,20,38,0.235,0.305,0.332,0.637,68,0.297,71,65,4,2,1,5,0,H3/7D,0,Left,No,No,No,No,No,No,No,No,No
Ben Revere*,28,CF,-1.0,103,375,350,44,76,9,7,2,24,14,5,18,34,0.217,0.26,0.3,0.56,47,0.258,40,105,12,3,2,2,0,87H,0,Left,No,No,No,No,No,No,No,No,No
