Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Joey Votto*,33,1B,8.1,162,707,559,106,179,34,1,36,100,5,1,134,83,0.32,0.454,0.578,1.032,167,0.436,172,323,16,8,0,6,20,*3,"AS,MVP-2",Left,No
Adam Duvall,28,LF,2.0,157,647,587,78,146,37,3,31,99,5,3,39,170,0.249,0.301,0.48,0.782,99,0.336,99,282,11,10,0,11,1,*7/H3D,0,Right,No
Scooter Gennett*,27,2B,2.0,141,497,461,80,136,22,3,27,97,3,2,30,114,0.295,0.342,0.531,0.874,123,0.376,128,245,15,4,0,2,1,4H5/79D1,0,Left,No
Eugenio Suárez,25,3B,3.5,156,632,534,87,139,25,2,26,82,4,5,84,147,0.26,0.367,0.461,0.828,115,0.364,121,246,16,9,0,5,1,*5/H6,0,Right,No
Scott Schebler*,26,RF,1.2,141,531,473,63,110,25,2,30,67,5,3,39,125,0.233,0.307,0.484,0.791,102,0.332,97,229,7,14,0,5,5,*98H,0,Left,No
Zack Cozart,31,SS,5.2,122,507,438,80,130,24,7,24,63,3,0,62,78,0.297,0.385,0.548,0.933,140,0.405,147,240,5,3,0,4,0,*6/HD,AS,Right,No
Tucker Barnhart*,26,C,3.6,121,423,370,26,100,24,2,7,44,4,0,42,68,0.27,0.347,0.403,0.75,95,0.326,89,149,12,3,5,3,11,*2H,GG,Left,No
Billy Hamilton,26,CF,1.3,139,633,582,85,144,17,11,4,38,59,13,44,133,0.247,0.299,0.335,0.634,66,0.296,61,195,5,0,5,2,0,*8/H,0,Right,No
José Peraza,23,MI,-0.6,143,518,487,50,126,9,4,5,37,23,8,20,70,0.259,0.297,0.324,0.622,63,0.286,60,158,7,7,3,1,1,46H/8,0,Right,No
Patrick Kivlehan,27,OF,0.0,115,204,178,23,37,5,1,9,26,1,2,22,61,0.208,0.304,0.399,0.703,82,0.313,85,71,2,3,0,1,1,H937/58,0,Right,No
Jesse Winker*,23,RF,0.4,47,137,121,21,36,7,0,7,15,1,1,15,24,0.298,0.375,0.529,0.904,132,0.389,139,64,2,0,1,0,0,9H/7D,0,Left,No
Devin Mesoraco,29,C,0.2,56,165,141,17,30,5,1,6,14,1,0,18,38,0.213,0.321,0.39,0.711,85,0.315,82,55,4,5,0,1,0,2H/D,0,Right,No
Phil Ervin,24,OF,0.1,28,64,58,8,15,2,0,3,10,4,1,4,15,0.259,0.317,0.448,0.766,97,0.362,113,26,1,1,1,0,0,H/879,0,Right,No
Arismendy Alcántara#,25,UT,-0.5,70,108,105,13,18,3,1,1,7,2,0,2,38,0.171,0.187,0.248,0.435,12,0.191,-10,26,2,0,1,0,0,H4/89657,0,Both,No
Stuart Turner,25,C,-1.2,37,89,82,4,11,3,0,2,7,0,0,5,22,0.134,0.182,0.244,0.426,10,0.187,-10,20,5,0,1,1,0,2H,0,Right,No
Tim Adleman,29,P,-0.1,27,32,29,0,3,1,0,0,2,0,0,0,10,0.103,0.103,0.138,0.241,-38,0.104,-85,4,0,0,3,0,0,1,0,Right,No
Jackson Stephens,23,P,0.1,7,6,6,1,2,0,0,0,2,0,0,0,2,0.333,0.333,0.333,0.667,75,0.299,72,2,0,0,0,0,0,/1,0,Right,No
