Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Edwin Encarnación,34,DH,2.8,157,669,554,96,143,20,1,38,107,2,0,104,133,0.258,0.377,0.504,0.881,128,0.382,132,279,18,5,0,5,5,*D3/H,MVP-20,Right,No,No,No,No,No,No,No
Francisco Lindor#,23,SS,5.7,159,723,651,99,178,44,4,33,89,15,3,60,93,0.273,0.337,0.505,0.842,116,0.361,115,329,11,4,5,3,6,*6/D,"AS,MVP-5,SS",Both,No,No,No,No,No,No,No
José Ramírez#,24,3B,7.0,152,645,585,107,186,56,6,29,83,17,5,52,69,0.318,0.374,0.583,0.957,145,0.405,147,341,13,3,0,5,5,54/H,"AS,MVP-3,SS",Both,No,No,No,No,No,No,No
Carlos Santana#,31,1B,3.3,154,667,571,90,148,37,3,23,79,5,1,88,94,0.259,0.363,0.455,0.818,112,0.356,112,260,11,6,0,2,6,*3/9DH,0,Both,No,No,No,No,No,No,No
Yan Gomes,29,C,1.3,105,383,341,43,79,15,0,14,56,0,0,31,99,0.232,0.309,0.399,0.708,83,0.314,83,136,9,8,1,2,0,2/H,0,Right,No,No,No,No,No,No,No
Lonnie Chisenhall*,28,OF,1.3,82,270,236,34,68,17,1,12,53,2,2,25,55,0.288,0.36,0.521,0.881,126,0.369,124,123,6,3,3,3,2,98H7/3,0,Left,No,No,No,No,No,No,No
Michael Brantley*,30,LF,2.4,90,375,338,47,101,20,1,9,52,11,1,31,50,0.299,0.357,0.444,0.801,108,0.357,110,150,8,2,0,4,3,7/HD,AS,Left,No,No,No,No,No,No,No
Bradley Zimmer*,24,CF,1.6,101,332,299,41,72,15,2,8,39,18,1,26,99,0.241,0.307,0.385,0.692,80,0.319,78,115,5,4,0,3,1,8H,0,Left,No,No,No,No,No,No,No
Roberto Pérez,28,C,0.9,73,248,217,22,45,12,0,8,38,0,1,26,71,0.207,0.291,0.373,0.664,72,0.291,67,81,4,0,4,1,0,2/DH,0,Right,No,No,No,No,No,No,No
Jason Kipnis*,30,2B,0.4,90,373,336,43,78,25,0,12,35,6,2,28,71,0.232,0.291,0.414,0.705,81,0.31,79,139,0,2,2,5,0,48/HD,0,Left,No,No,No,No,No,No,No
Austin Jackson,30,OF,1.9,85,318,280,46,89,19,3,7,35,3,1,33,64,0.318,0.387,0.482,0.869,126,0.38,130,135,13,1,0,4,0,789/H,0,Right,No,No,No,No,No,No,No
Jay Bruce*,30,RF,0.3,43,169,149,21,37,9,2,7,26,1,0,18,37,0.248,0.331,0.477,0.808,108,0.349,107,71,2,1,0,1,0,9/H3D,0,Left,No,No,No,No,No,No,No
Brandon Guyer,31,OF,-0.2,70,192,165,23,39,7,1,2,20,2,0,15,43,0.236,0.326,0.327,0.654,72,0.304,74,54,4,8,2,2,0,97H/D,0,Right,No,No,No,No,No,No,No
Gio Urshela,25,3B,-0.5,67,165,156,14,35,7,0,1,15,0,0,8,22,0.224,0.262,0.288,0.551,44,0.252,38,45,6,0,1,0,0,5/46H3,0,Right,No,No,No,No,No,No,No
Abraham Almonte#,28,RF,0.1,69,195,172,26,40,8,3,3,14,2,1,20,46,0.233,0.314,0.366,0.681,78,0.307,77,63,2,1,1,1,0,97H/8D,0,Both,No,No,No,No,No,No,No
Yandy Díaz,25,3B,0.3,49,179,156,25,41,8,1,0,13,2,0,21,35,0.263,0.352,0.327,0.679,80,0.319,85,51,5,1,0,1,0,5/D7H,0,Right,No,No,No,No,No,No,No
Erik González,25,2B,0.1,60,115,110,18,28,6,0,4,11,1,2,3,37,0.255,0.272,0.418,0.69,77,0.28,63,46,1,0,1,1,0,46H/57D,0,Right,No,No,No,No,No,No,No
Daniel Robertson,31,OF,0.0,32,88,80,9,18,4,1,1,7,0,1,7,3,0.225,0.287,0.338,0.625,63,0.28,62,27,6,0,1,0,1,97/H8D,0,Right,No,No,No,No,No,No,No
Greg Allen#,24,OF,-0.2,25,39,35,7,8,1,0,1,6,1,0,2,8,0.229,0.282,0.343,0.625,63,0.272,48,12,0,1,0,1,0,8/H7,0,Both,No,No,No,No,No,No,No
Tyler Naquin*,26,OF,0.1,19,40,37,4,8,2,0,0,1,0,1,2,9,0.216,0.25,0.27,0.52,37,0.238,37,10,1,0,0,1,0,8/9H,0,Left,No,No,No,No,No,No,No
Francisco Mejia#,21,DH,-0.2,11,14,13,1,2,0,0,0,1,0,0,1,3,0.154,0.214,0.154,0.368,-1,0.137,-55,2,0,0,0,0,1,/HD2,0,Both,No,No,No,No,No,No,No
Michael Martínez#,34,UT,-0.1,14,14,11,1,4,1,0,0,0,0,1,2,5,0.364,0.462,0.455,0.916,142,0.369,154,5,0,0,1,0,0,/54H816,0,Both,No,No,No,No,No,No,No
Josh Tomlin,32,P,0.0,3,7,7,0,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,-25,0.127,-51,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Carlos Carrasco,30,P,0.0,2,5,4,1,0,0,0,0,0,0,0,1,1,0.0,0.2,0.0,0.2,-40,0.139,-42,0,0,0,0,0,0,1,CYA-4,Right,No,No,No,No,No,No,No
Trevor Bauer,26,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-142,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Mike Clevinger,26,P,0.0,2,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-263,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
