Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Nolan Arenado,26,3B,6.7,159,680,606,100,187,43,7,37,130,3,2,62,106,0.309,0.373,0.586,0.959,130,0.403,134,355,21,4,1,6,9,*5/H,"AS,MVP-4,GG,SS",Right,No
Charlie Blackmon*,30,CF,5.5,159,725,644,137,213,35,14,37,104,14,10,65,135,0.331,0.399,0.601,1.0,141,0.425,152,387,4,10,3,3,9,*8/H,"AS,MVP-5,SS",Left,No
Mark Reynolds,33,1B,0.6,148,593,520,82,139,22,1,30,97,2,1,69,175,0.267,0.352,0.487,0.839,103,0.366,107,253,12,1,0,3,0,*3/HD7,0,Right,No
Trevor Story,24,SS,2.6,145,555,503,68,120,32,3,24,82,7,2,49,191,0.239,0.308,0.457,0.765,84,0.336,85,230,12,2,0,1,4,*6/H,0,Right,No
Gerardo Parra*,30,LF,0.7,115,425,392,56,121,24,1,10,71,2,5,20,67,0.309,0.341,0.452,0.793,93,0.34,91,177,13,4,0,9,0,79H/38D,0,Left,No
DJ LeMahieu,28,2B,3.4,155,682,609,95,189,28,4,8,64,6,5,59,90,0.31,0.374,0.409,0.783,93,0.35,96,249,24,6,3,5,1,*4/H,"AS,GG",Right,No
Carlos González*,31,RF,-0.2,136,534,470,72,123,34,0,14,57,3,0,56,119,0.262,0.339,0.423,0.762,86,0.334,82,199,9,2,0,6,3,*9/HD,0,Left,No
Ian Desmond,31,UT,-1.0,95,373,339,47,93,11,1,7,40,15,4,24,87,0.274,0.326,0.375,0.701,72,0.31,63,127,13,4,2,4,1,73/H68,0,Right,No
Pat Valaika,24,IF,0.6,110,195,182,28,47,11,0,13,40,0,0,7,53,0.258,0.284,0.533,0.817,94,0.344,91,97,1,0,5,1,0,H65/437D,0,Right,No
Alexi Amarista*,28,UT,-1.3,96,176,168,22,40,10,0,3,19,1,0,7,38,0.238,0.269,0.351,0.62,51,0.271,37,59,5,0,1,0,0,H46/8975,0,Left,No
Tony Wolters*,25,C,-0.4,83,266,229,30,55,8,1,0,16,0,1,33,55,0.24,0.341,0.284,0.625,57,0.28,44,65,9,2,2,0,9,2H/45,0,Left,No
Raimel Tapia*,23,OF,-0.6,70,171,160,27,46,12,2,2,16,5,2,8,36,0.288,0.329,0.425,0.754,84,0.328,79,68,3,2,1,0,1,H97/8D,0,Left,No
Jonathan Lucroy,31,C,0.8,46,175,142,18,44,6,3,2,13,0,0,27,19,0.31,0.429,0.437,0.865,114,0.378,116,62,6,4,0,2,6,2/H,0,Right,No
Ryan Hanigan,36,C,-0.1,33,112,101,9,27,2,0,2,12,0,0,8,26,0.267,0.324,0.347,0.671,65,0.292,52,35,5,1,1,1,2,2/H,0,Right,No
Dustin Garneau,29,C,0.2,22,74,68,5,14,7,0,1,6,0,0,4,24,0.206,0.26,0.353,0.613,49,0.279,44,24,1,1,1,0,0,2/H,0,Right,No
