Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Nick Castellanos,25,3B,0.1,157,665,614,73,167,36,10,26,101,4,5,41,142,0.272,0.32,0.49,0.811,112,0.345,112,301,12,5,0,5,0,*59/DH,0,Right,No,No,No,No,No,No,No
Justin Upton,29,LF,5.2,125,520,459,81,128,37,0,28,94,10,5,57,147,0.279,0.362,0.542,0.904,137,0.387,140,249,6,3,0,1,2,*7/H,"AS,MVP-16,SS",Right,No,No,No,No,No,No,No
Miguel Cabrera,34,1B,-0.9,130,529,469,50,117,22,0,16,60,0,1,54,110,0.249,0.329,0.399,0.728,93,0.321,93,187,15,3,0,3,6,*3D/H,0,Right,No,No,No,No,No,No,No
Jose Iglesias,27,SS,0.6,130,489,463,56,118,33,1,6,54,7,4,21,65,0.255,0.288,0.369,0.657,74,0.288,69,171,6,1,3,1,0,*6,0,Right,No,No,No,No,No,No,No
Ian Kinsler,35,2B,2.0,139,613,551,90,130,25,3,22,52,14,5,55,86,0.236,0.313,0.412,0.725,92,0.315,87,227,9,7,0,0,2,*4/DH,0,Right,No,No,No,No,No,No,No
James McCann,27,C,1.4,106,391,352,39,89,14,2,13,49,1,0,26,89,0.253,0.318,0.415,0.733,94,0.331,99,146,8,9,1,3,0,2/HD,0,Right,No,No,No,No,No,No,No
Victor Martinez#,38,DH,-0.5,107,435,392,38,100,16,0,10,47,0,0,36,63,0.255,0.324,0.372,0.697,86,0.312,86,146,15,5,0,2,3,D/H,0,Both,No,No,No,No,No,No,No
J.D. Martinez,29,RF,1.5,57,232,200,38,61,13,2,16,39,2,0,29,54,0.305,0.388,0.63,1.018,165,0.425,167,126,10,0,0,3,5,9/DH,MVP-14,Right,No,No,No,No,No,No,No
Mikie Mahtook,27,CF,0.1,109,379,348,50,96,15,6,12,38,6,0,23,79,0.276,0.33,0.457,0.787,107,0.353,113,159,4,6,0,2,0,897H/D,0,Right,No,No,No,No,No,No,No
Alex Avila*,30,C,2.1,77,264,219,30,60,11,0,11,32,0,1,43,80,0.274,0.394,0.475,0.869,131,0.375,133,104,6,1,0,1,2,23H/D,0,Left,No,No,No,No,No,No,No
Andrew Romine#,31,UT,-1.1,124,348,318,45,74,17,2,4,25,6,4,22,67,0.233,0.289,0.336,0.625,67,0.283,66,107,7,4,2,2,0,4853H796/D12,0,Both,No,No,No,No,No,No,No
John Hicks,27,UT,0.4,60,190,173,25,46,12,0,6,22,2,1,13,51,0.266,0.326,0.439,0.766,102,0.328,98,76,5,3,0,1,0,32DH,0,Right,No,No,No,No,No,No,No
Alex Presley*,31,OF,0.1,71,264,245,30,77,10,3,3,20,5,0,15,49,0.314,0.354,0.416,0.77,105,0.343,105,102,5,0,3,0,0,987/HD,0,Left,No,No,No,No,No,No,No
Tyler Collins*,27,OF,-0.1,49,169,150,18,29,4,1,5,14,0,4,18,55,0.193,0.278,0.333,0.611,63,0.263,59,50,2,0,0,1,0,89/H7,0,Left,No,No,No,No,No,No,No
JaCoby Jones,25,CF,-0.3,56,154,141,14,24,3,1,3,13,6,2,9,65,0.17,0.24,0.27,0.51,36,0.238,31,38,5,4,0,0,0,8H/D9,0,Right,No,No,No,No,No,No,No
Jeimer Candelario#,23,3B,0.2,27,106,94,16,31,7,0,2,13,0,0,12,18,0.33,0.406,0.468,0.874,133,0.386,139,44,2,0,0,0,0,5/H,0,Both,No,No,No,No,No,No,No
Dixon Machado,25,SS,-0.8,73,181,166,17,43,5,1,1,11,1,0,10,32,0.259,0.302,0.319,0.621,67,0.29,69,53,6,1,2,2,0,64H/D5,0,Right,No,No,No,No,No,No,No
Jim Adduci*,32,RF,0.3,29,93,83,14,20,6,2,1,10,1,1,10,27,0.241,0.323,0.398,0.72,91,0.328,100,33,1,0,0,0,0,9/HD,0,Left,No,No,No,No,No,No,No
Efren Navarro*,31,1B,0.2,23,69,61,9,14,1,1,2,2,0,1,8,21,0.23,0.319,0.377,0.696,85,0.317,95,23,1,0,0,0,1,3/HD,0,Left,No,No,No,No,No,No,No
Bryan Holaday,29,C,-0.3,13,29,29,1,7,2,0,0,2,0,0,0,1,0.241,0.241,0.31,0.552,46,0.235,31,9,2,0,0,0,0,2/H4D,0,Right,No,No,No,No,No,No,No
Justin Verlander,34,P,0.0,2,6,6,0,1,0,0,0,1,0,0,0,4,0.167,0.167,0.167,0.333,-10,0.149,-31,1,0,0,0,0,0,1,CYA-5,Right,No,No,No,No,No,No,No
Matt den Dekker*,29,OF,0.0,4,8,7,1,1,0,0,0,0,0,0,1,4,0.143,0.25,0.143,0.393,10,0.199,5,1,0,0,0,0,0,/9H7,0,Left,No,No,No,No,No,No,No
Jordan Zimmermann,31,P,0.0,3,6,6,0,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,-10,0.149,-31,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Michael Fulmer,24,P,-0.1,2,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-137,0,1,0,0,0,0,1,AS,Right,No,No,No,No,No,No,No
Matthew Boyd*,26,P,0.0,2,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,80,0.266,53,1,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Aníbal Sánchez,33,P,0.0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-138,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Edward Mujica,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
