Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Travis Shaw*,27,3B,3.5,144,606,538,84,147,34,1,31,101,10,0,60,138,0.273,0.349,0.513,0.862,121,0.37,120,276,20,4,1,3,6,*5/3DH,0,Left,No,No,No,No,No,No,No,No,No
Domingo Santana,24,RF,2.6,151,607,525,88,146,29,0,30,85,15,4,73,178,0.278,0.371,0.505,0.875,126,0.381,129,265,12,6,0,3,2,*9/H,0,Right,No,No,No,No,No,No,No,No,No
Eric Thames*,30,1B,1.0,138,551,469,83,116,26,4,31,63,4,2,75,163,0.247,0.359,0.518,0.877,125,0.373,126,243,6,7,0,0,5,37H/9D,0,Left,No,No,No,No,No,No,No,No,No
Orlando Arcia,22,SS,2.3,153,548,506,56,140,17,2,15,53,14,7,36,100,0.277,0.324,0.407,0.731,90,0.324,90,206,10,1,2,3,9,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Jesús Aguilar,27,1B,0.9,133,311,279,40,74,15,2,16,52,0,0,25,94,0.265,0.331,0.505,0.837,114,0.358,114,141,8,4,0,3,1,3H/D5,0,Right,No,No,No,No,No,No,No,No,No
Ryan Braun,33,LF,0.9,104,425,380,58,102,28,2,17,52,12,4,38,76,0.268,0.336,0.487,0.823,111,0.355,111,185,15,3,0,4,2,7/HD,0,Right,No,No,No,No,No,No,No,No,No
Hernán Pérez,26,UT,0.7,136,458,432,47,112,19,3,14,51,13,4,20,79,0.259,0.289,0.414,0.704,81,0.306,75,179,8,0,2,4,1,759H84/631,0,Right,No,No,No,No,No,No,No,No,No
Keon Broxton,27,CF,0.5,143,463,414,66,91,15,4,20,49,21,7,40,175,0.22,0.299,0.42,0.719,85,0.319,84,174,3,7,1,1,1,*8H,0,Right,No,Yes,No,No,No,No,No,No,No
Manny Piña,30,C,2.6,107,359,330,45,92,21,0,9,43,2,0,20,79,0.279,0.327,0.424,0.751,94,0.328,92,140,8,5,1,3,0,2H,0,Right,No,No,No,No,No,No,No,No,No
Jonathan Villar#,26,2B,0.2,122,436,403,49,97,18,1,11,40,23,8,30,132,0.241,0.293,0.372,0.665,72,0.302,72,150,4,0,2,1,1,4H/8D,0,Both,No,No,No,No,No,No,No,No,No
Stephen Vogt*,32,C,0.2,45,129,122,13,31,7,0,8,20,0,0,5,25,0.254,0.281,0.508,0.789,100,0.344,104,62,1,0,1,1,0,2H,0,Left,No,No,No,No,No,No,No,No,No
Eric Sogard*,31,MI,1.9,94,299,249,37,68,15,1,3,18,3,3,45,37,0.273,0.393,0.378,0.77,103,0.345,107,94,7,4,1,0,2,46H/57,0,Left,No,No,No,No,No,No,No,No,No
Jett Bandy,27,C,-0.8,60,188,169,14,35,6,0,6,18,1,0,15,51,0.207,0.287,0.349,0.636,65,0.288,63,59,5,4,0,0,0,2H,0,Right,No,No,No,No,No,No,No,No,No
Neil Walker#,31,2B,0.4,38,149,120,19,32,8,0,4,13,0,1,28,30,0.267,0.409,0.433,0.843,121,0.376,130,52,5,1,0,0,1,43/H5,0,Both,No,No,No,No,No,No,No,No,No
Brett Phillips*,23,CF,1.3,37,98,87,9,24,3,0,4,12,5,0,9,34,0.276,0.351,0.448,0.799,107,0.363,109,39,0,1,1,0,2,8/9H7,0,Left,No,No,No,No,No,No,No,No,No
Nick Franklin#,26,UT,-0.1,53,89,82,7,16,2,1,2,10,2,0,5,19,0.195,0.258,0.317,0.576,49,0.279,54,26,1,2,0,0,0,H7/946,0,Both,No,No,No,No,No,No,No,No,No
Lewis Brinson,23,OF,-0.4,21,55,47,2,5,0,1,2,3,1,0,7,17,0.106,0.236,0.277,0.513,34,0.227,16,13,0,1,0,0,1,/78H,0,Right,No,No,No,No,No,No,No,No,No
Zach Davies,24,P,0.4,32,69,48,7,6,2,0,0,3,0,0,7,15,0.125,0.236,0.167,0.403,9,0.231,4,8,1,0,14,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Chase Anderson,29,P,-0.1,24,55,52,1,7,1,0,0,3,0,0,0,29,0.135,0.135,0.154,0.288,-25,0.139,-51,8,1,0,3,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Jimmy Nelson,28,P,-0.2,27,60,57,0,6,0,0,0,2,0,0,1,35,0.105,0.121,0.105,0.226,-40,0.117,-64,6,0,0,2,0,0,1,CYA-9,Right,No,No,No,No,No,No,No,No,No
Kirk Nieuwenhuis*,29,OF,-0.2,16,31,26,3,3,1,0,1,1,0,0,4,15,0.115,0.258,0.269,0.527,38,0.246,34,7,0,1,0,0,0,/H87,0,Left,No,No,No,No,No,No,No,No,No
Matt Garza,33,P,-0.1,23,37,35,1,3,0,0,0,1,0,0,0,13,0.086,0.111,0.086,0.197,-47,0.095,-80,3,0,1,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Wily Peralta,28,P,0.1,18,15,13,0,3,0,0,0,1,0,0,1,4,0.231,0.286,0.231,0.516,38,0.235,21,3,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Brent Suter*,27,P,0.0,21,21,18,1,3,0,0,0,1,0,0,0,8,0.167,0.211,0.167,0.377,1,0.175,-30,3,0,1,2,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
