Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Khris Davis,29,LF,2.7,153,652,566,91,140,28,1,43,110,4,0,73,195,0.247,0.336,0.528,0.864,131,0.371,134,299,20,6,0,7,1,*7D/H,MVP-22,Right,No,No,No,No,No,No,No
Ryon Healy,25,DH,0.7,149,605,576,66,156,29,0,25,78,0,1,23,142,0.271,0.302,0.451,0.754,103,0.331,106,260,16,4,0,2,0,D35/H,0,Right,No,No,No,No,No,No,No
Jed Lowrie#,33,2B,3.6,153,645,567,86,157,49,3,14,69,0,1,73,100,0.277,0.36,0.448,0.808,120,0.353,122,254,10,2,0,3,2,*4D/H5,0,Both,No,No,No,No,No,No,No
Matt Joyce*,32,RF,2.0,141,544,469,78,114,33,0,25,68,4,1,66,113,0.243,0.335,0.473,0.808,118,0.343,114,222,10,2,0,7,0,*97H/D8,0,Left,No,No,No,No,No,No,No
Yonder Alonso*,30,1B,1.7,100,371,319,52,85,17,0,22,49,1,0,50,88,0.266,0.369,0.527,0.896,141,0.381,142,168,6,2,0,0,6,3/HD,AS,Left,No,No,No,No,No,No,No
Matt Olson*,23,1B,2.9,59,216,189,33,49,2,0,24,45,0,0,22,60,0.259,0.352,0.651,1.003,166,0.41,163,123,6,5,0,0,1,39/H,ROY-4,Left,No,No,No,No,No,No,No
Chad Pinder,25,UT,0.9,87,309,282,36,67,15,1,15,42,2,1,18,92,0.238,0.292,0.457,0.75,101,0.329,105,129,7,5,0,3,0,964H/8D7,0,Right,No,No,No,No,No,No,No
Marcus Semien,26,SS,1.8,85,386,342,53,85,19,1,10,40,12,1,38,85,0.249,0.325,0.398,0.722,97,0.327,99,136,3,2,1,3,0,6,0,Right,No,No,No,No,No,No,No
Matt Chapman,24,3B,3.2,84,326,290,39,68,23,2,14,40,0,3,32,92,0.234,0.313,0.472,0.785,111,0.335,112,137,2,2,0,2,0,5,0,Right,No,No,No,No,No,No,No
Adam Rosales,34,SS,0.2,71,223,205,15,48,11,0,4,27,1,1,10,66,0.234,0.273,0.346,0.619,68,0.278,68,71,2,2,3,3,0,6/4H57D,0,Right,No,No,No,No,No,No,No
Bruce Maxwell*,26,C,0.1,76,253,219,21,52,12,0,3,22,0,0,31,63,0.237,0.329,0.333,0.663,83,0.298,82,73,10,0,1,2,0,2H,0,Left,No,No,No,No,No,No,No
Stephen Vogt*,32,C,-0.6,54,174,157,12,34,8,1,4,20,0,1,16,31,0.217,0.287,0.357,0.644,75,0.279,71,56,1,0,0,1,1,2/DH7,0,Left,No,No,No,No,No,No,No
Rajai Davis,36,CF,0.4,100,328,300,49,70,17,2,5,18,26,6,26,70,0.233,0.294,0.353,0.647,76,0.294,72,106,10,0,1,1,1,87H/9,0,Right,No,No,No,No,No,No,No
Trevor Plouffe,31,3B,0.0,58,199,182,22,39,5,0,7,14,1,1,16,58,0.214,0.276,0.357,0.634,72,0.281,71,65,10,0,0,1,1,5/DH,0,Right,No,No,No,No,No,No,No
Mark Canha,28,OF,-0.8,57,187,173,16,36,13,1,5,14,2,0,7,56,0.208,0.262,0.382,0.644,73,0.282,69,66,5,6,0,1,0,978/H3D,0,Right,No,No,No,No,No,No,No
Jaycob Brugman*,25,CF,-0.4,48,162,143,12,38,2,0,3,12,1,2,18,38,0.266,0.346,0.343,0.688,90,0.317,99,49,1,0,0,1,1,8/H79,0,Left,No,No,No,No,No,No,No
Josh Phegley,29,C,0.0,57,161,149,14,30,11,0,3,10,0,1,9,26,0.201,0.255,0.336,0.59,60,0.258,55,50,4,2,0,1,0,2/H,0,Right,No,No,No,No,No,No,No
Boog Powell*,24,CF,1.1,29,92,81,18,26,5,0,3,10,0,1,9,21,0.321,0.38,0.494,0.874,137,0.376,142,40,1,0,0,2,0,8/H,0,Left,No,No,No,No,No,No,No
Franklin Barreto,21,MI,-0.1,25,76,71,10,14,1,2,2,6,2,0,5,33,0.197,0.25,0.352,0.602,62,0.286,69,25,1,0,0,0,0,64/HD,0,Right,No,No,No,No,No,No,No
Joey Wendle*,27,2B,0.1,8,14,13,3,4,1,0,1,5,0,0,1,3,0.308,0.357,0.615,0.973,159,0.375,141,8,0,0,0,0,1,/4H,0,Left,No,No,No,No,No,No,No
Renato Núñez,23,UT,0.0,8,16,15,1,3,0,0,1,3,0,0,1,8,0.2,0.25,0.4,0.65,74,0.278,68,6,0,0,0,0,0,/7HD5,0,Right,No,No,No,No,No,No,No
Dustin Garneau,29,C,0.3,19,52,44,5,7,1,0,1,3,0,0,8,12,0.159,0.288,0.25,0.538,50,0.254,51,11,2,0,0,0,0,2/H,0,Right,No,No,No,No,No,No,No
Ryan Lavarnway,29,C,0.0,6,13,11,0,3,1,0,0,2,0,0,1,3,0.273,0.385,0.364,0.748,108,0.341,113,4,1,1,0,0,0,/2H,0,Right,No,No,No,No,No,No,No
Jaff Decker*,27,OF,-0.3,17,62,50,4,10,1,1,0,1,1,1,8,17,0.2,0.322,0.26,0.582,63,0.27,64,13,1,1,3,0,0,8/9H7,0,Left,No,No,No,No,No,No,No
Jake Smolinski,28,CF,-0.1,16,29,27,1,7,1,0,0,0,0,0,1,6,0.259,0.31,0.296,0.607,68,0.269,62,8,0,1,0,0,0,/8HD79,0,Right,No,No,No,No,No,No,No
Ryan LaMarre,28,CF,-0.1,3,8,7,0,0,0,0,0,0,0,0,1,3,0.0,0.125,0.0,0.125,-61,0.087,-69,0,0,0,0,0,0,/8H,0,Right,No,No,No,No,No,No,No
Daniel Gossett,24,P,0.0,3,7,5,1,1,0,0,0,0,0,0,0,4,0.2,0.2,0.2,0.4,10,0.16,-63,1,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No
Sean Manaea,25,P,0.0,2,5,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-21,0.174,-33,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
Daniel Mengden,24,P,0.1,1,4,2,1,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167,229,0.499,267,1,0,0,1,0,0,/1,0,Right,No,No,No,No,No,No,No
Paul Blackburn,23,P,0.0,1,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Jharel Cotton,25,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
