Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Wil Myers,26,1B,2.1,155,649,567,80,138,29,3,30,74,20,6,70,180,0.243,0.328,0.464,0.792,109,0.349,112,263,15,5,0,7,3,*3/4DH,0,Right,No,Yes,No,No,No,No,No
Yangervis Solarte#,29,IF,1.1,128,512,466,49,119,21,0,18,64,3,0,37,61,0.255,0.314,0.416,0.731,94,0.321,93,194,18,5,0,4,4,465/3HD,0,Both,No,No,No,No,No,No,No
Hunter Renfroe,25,RF,0.7,122,479,445,51,103,25,1,26,58,3,0,27,140,0.231,0.284,0.467,0.751,96,0.327,98,208,4,6,0,1,1,*9/HD,0,Right,No,No,No,No,No,No,No
Austin Hedges,24,C,0.9,120,417,387,36,83,17,0,18,55,4,1,23,122,0.214,0.262,0.398,0.66,73,0.281,65,154,10,3,1,3,3,*2/HD,0,Right,No,No,No,No,No,No,No
Cory Spangenberg*,26,3B,0.4,129,486,444,57,117,18,2,13,46,11,3,34,128,0.264,0.322,0.401,0.723,92,0.322,93,178,2,5,2,1,1,57/H4,0,Left,No,No,No,No,No,No,No
José Pirela,27,LF,2.1,83,344,312,43,90,25,4,10,40,4,3,27,71,0.288,0.347,0.49,0.837,121,0.36,124,153,8,2,1,2,0,7/439HD5,0,Right,No,No,No,No,No,No,No
Manuel Margot,22,CF,2.4,126,529,487,53,128,18,7,13,39,17,7,35,106,0.263,0.313,0.409,0.721,91,0.322,94,199,6,2,1,4,0,*8/H,ROY-6,Right,No,No,No,No,No,No,No
Ryan Schimpf*,29,3B,0.6,53,197,165,24,26,2,0,14,25,0,0,27,70,0.158,0.284,0.424,0.709,86,0.308,85,70,0,3,0,2,0,5/HD,0,Left,No,No,No,No,No,No,No
Héctor Sánchez#,27,C,-0.5,75,143,137,14,30,4,0,8,25,0,0,5,41,0.219,0.245,0.423,0.668,74,0.279,64,58,4,0,0,1,1,H2/3D,0,Both,No,No,No,No,No,No,No
Erick Aybar#,33,SS,-0.3,108,370,333,37,78,15,1,7,22,11,4,28,57,0.234,0.3,0.348,0.648,73,0.294,73,116,5,4,3,2,2,6H/1,0,Both,No,No,No,No,No,No,No
Carlos Asuaje*,25,2B,0.7,89,343,307,28,83,14,1,4,21,0,1,28,76,0.27,0.334,0.362,0.696,87,0.311,88,111,6,2,5,1,0,4/H3,0,Left,No,No,No,No,No,No,No
Jabari Blash,27,RF,-0.2,61,195,164,24,35,6,0,5,16,1,2,28,66,0.213,0.333,0.341,0.675,82,0.308,88,56,5,2,0,1,0,97H,0,Right,No,No,No,No,No,No,No
Matt Szczur,27,OF,0.4,104,214,176,26,40,11,2,3,15,0,2,32,40,0.227,0.358,0.364,0.722,95,0.323,99,64,2,4,2,0,0,7H89,0,Right,No,No,No,No,No,No,No
Allen Córdoba,21,UT,-0.6,100,227,202,17,42,2,2,4,15,2,2,18,54,0.208,0.282,0.297,0.579,56,0.256,49,60,2,4,0,3,1,7H6/8594,0,Right,No,No,No,No,No,No,No
Franchy Cordero*,22,CF,0.2,30,99,92,15,21,3,3,3,9,1,1,6,44,0.228,0.276,0.424,0.699,83,0.294,76,39,0,0,1,0,0,8/H7,0,Left,No,No,No,No,No,No,No
Dusty Coleman,30,SS,0.6,27,71,66,6,15,3,0,4,9,1,0,2,33,0.227,0.268,0.455,0.722,88,0.307,81,30,1,2,0,1,0,6/H,0,Right,No,No,No,No,No,No,No
Luis Torrens,21,C,-1.2,56,139,123,7,20,3,1,0,7,0,0,12,30,0.163,0.243,0.203,0.446,22,0.205,7,25,4,1,3,0,3,2/H,0,Right,No,No,No,No,No,No,No
Christian Villanueva,26,3B,0.6,12,32,32,5,11,1,0,4,7,0,0,0,10,0.344,0.344,0.75,1.094,181,0.501,224,24,0,0,0,0,0,/5H,0,Right,No,No,No,No,No,No,No
Travis Wood,30,P,0.3,11,17,17,3,4,0,0,2,6,0,0,0,7,0.235,0.235,0.588,0.824,110,0.391,144,10,0,0,0,0,0,1/H,0,Right,No,No,No,No,No,No,No
Jhoulys Chacín,29,P,0.3,33,61,54,0,12,2,0,0,4,1,0,0,11,0.222,0.222,0.259,0.481,29,0.231,17,14,2,0,7,0,0,1/H,0,Right,No,No,No,No,No,No,No
Clayton Richard*,33,P,0.1,31,68,57,2,7,1,0,1,4,0,0,1,31,0.123,0.167,0.193,0.36,-4,0.164,-34,11,0,2,8,0,0,1,0,Left,No,No,No,No,No,No,No
Luis Perdomo,24,P,0.1,27,53,46,3,5,1,4,0,3,0,0,1,20,0.109,0.128,0.304,0.432,10,0.173,-26,14,1,0,6,0,0,1,0,Right,No,No,No,No,No,No,No
Chase d'Arnaud,30,IF,-0.5,22,51,49,5,7,2,0,1,3,5,1,2,17,0.143,0.176,0.245,0.421,11,0.188,-13,12,0,0,0,0,1,6/H4539,0,Right,No,No,No,No,No,No,No
Jordan Lyles,26,P,0.1,5,9,8,1,2,0,0,0,3,0,0,1,3,0.25,0.333,0.25,0.583,61,0.277,62,2,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Trevor Cahill,29,P,0.3,9,17,13,1,4,1,0,0,2,0,0,1,3,0.308,0.357,0.385,0.742,99,0.33,101,5,0,0,3,0,0,1,0,Right,No,No,No,No,No,No,No
Rocky Gale,29,C,-0.1,3,10,10,1,1,0,0,1,2,0,0,0,2,0.1,0.1,0.4,0.5,24,0.198,5,4,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No
Luis Sardiñas#,24,IF,-0.4,29,53,49,3,8,0,0,0,1,1,0,4,11,0.163,0.226,0.163,0.39,7,0.202,6,8,1,0,0,0,0,H/4651,0,Both,No,No,No,No,No,No,No
Travis Jankowski*,26,LF,-0.2,27,87,75,10,14,2,0,0,1,4,0,9,28,0.187,0.282,0.213,0.496,36,0.248,32,16,2,1,2,0,0,7/89H,0,Left,No,No,No,No,No,No,No
Dinelson Lamet,24,P,-0.2,19,38,35,0,3,0,0,0,0,0,0,0,22,0.086,0.086,0.086,0.171,-54,0.077,-97,3,0,0,3,0,0,1,0,Right,No,No,No,No,No,No,No
Jered Weaver,34,P,-0.2,8,10,10,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0.0,-136,0,1,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Craig Stammen,33,P,0.3,57,8,6,2,3,1,0,0,0,0,0,2,2,0.5,0.625,0.667,1.292,247,0.541,253,4,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Christian Bethancourt,25,P,-0.1,8,7,7,0,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,-23,0.114,-54,1,0,0,0,0,0,/H14,0,Right,No,No,No,No,No,No,No
Jarred Cosart,27,P,-0.1,7,6,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-257,0,0,0,2,0,0,/1,0,Right,No,No,No,No,No,No,No
Miguel Díaz,22,P,-0.1,31,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-220,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
Zach Lee,25,P,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-140,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Brad Hand*,27,P,0.1,66,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.898,908,0,0,0,1,0,0,1,AS,Left,No,No,No,No,No,No,No
José Torres*,23,P,0.1,57,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,440,0.896,500,1,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Dillon Overton*,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No
Kyle Lloyd,26,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Kevin Quackenbush,28,P,0.0,18,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
José Váldez,27,P,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Kirby Yates*,30,P,0.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
José Ruiz,22,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Tim Melville,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
