Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Manny Machado,25,SS,3.6,96,413,365,48,115,21,1,24,65,8,1,45,51,0.315,0.387,0.575,0.963,162,0.403,158,210,14,0,0,3,12,6,AS,Right,No
Adam Jones,32,CF,0.6,145,613,580,54,163,35,0,15,63,7,1,24,93,0.281,0.313,0.419,0.732,101,0.328,103,243,21,5,0,4,1,*89/D7,0,Right,No
Trey Mancini,26,LF,0.8,156,636,582,69,141,23,3,24,58,0,1,44,153,0.242,0.299,0.416,0.715,95,0.313,94,242,17,5,0,5,1,73D/H,0,Right,No
Chris Davis*,32,1B,-3.3,128,522,470,40,79,12,0,16,49,2,0,41,192,0.168,0.243,0.296,0.539,49,0.248,47,139,5,7,0,4,2,*3D/H,0,Left,Yes
Mark Trumbo,32,DH,0.4,90,358,330,41,86,12,0,17,44,0,0,24,87,0.261,0.313,0.452,0.764,108,0.331,107,149,10,2,0,2,0,D9/3H,0,Right,No
Jonathan Schoop,26,2B,2.4,85,367,349,45,85,18,1,17,40,0,1,12,74,0.244,0.273,0.447,0.72,95,0.309,92,156,8,3,1,2,1,4/6,0,Right,No
Tim Beckham,28,IF,0.4,96,402,369,45,85,17,0,12,35,1,2,27,100,0.23,0.287,0.374,0.661,81,0.293,81,138,10,3,1,2,0,65/D4,0,Right,No
Jace Peterson*,28,UT,0.0,93,235,200,21,39,13,2,3,28,13,2,30,55,0.195,0.308,0.325,0.633,76,0.294,74,65,8,3,1,1,0,57H49/61D,0,Left,No
Danny Valencia,33,UT,0.2,78,282,255,28,67,8,1,9,28,1,1,22,53,0.263,0.316,0.408,0.723,99,0.321,101,104,8,0,0,5,2,59D/H31,0,Right,No
Jonathan Villar#,27,MI,1.6,54,236,209,28,54,4,0,8,24,21,3,22,58,0.258,0.336,0.392,0.729,101,0.338,101,82,4,3,1,1,0,46,0,Both,No
Joey Rickard,27,RF,0.5,79,230,213,27,52,10,1,8,23,4,2,15,55,0.244,0.3,0.413,0.713,95,0.306,89,88,3,2,0,0,0,97/8H,0,Right,No
Renato Núñez,24,3B,1.6,60,220,200,26,55,13,0,7,20,0,0,16,50,0.275,0.336,0.445,0.781,114,0.343,116,89,4,3,0,1,0,5/HD,0,Right,No
Pedro Álvarez*,31,DH,-0.2,45,127,111,18,20,2,0,8,18,0,0,16,36,0.18,0.283,0.414,0.698,90,0.309,91,46,2,0,0,0,0,DH/53,0,Left,No
Caleb Joseph,32,C,0.3,82,280,265,28,58,14,2,3,17,2,1,10,68,0.219,0.254,0.321,0.575,58,0.259,56,85,3,3,1,1,0,2/3,0,Right,No
