Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Javier Báez,25,2B,6.4,160,645,606,101,176,40,9,34,111,21,9,29,167,0.29,0.326,0.554,0.881,129,0.385,136,336,10,5,1,4,8,465/H3,"AS,MVP-2,SS",Right,No,Yes,No,No,No,No,No,
Anthony Rizzo*,28,1B,3.1,153,665,566,74,160,29,1,25,101,6,4,70,80,0.283,0.376,0.47,0.846,124,0.367,124,266,11,20,0,9,15,*3/H14,"MVP-17,GG",Left,No,No,No,No,No,No,No,
Kyle Schwarber*,25,LF,2.1,137,510,428,64,102,14,3,26,61,4,3,78,140,0.238,0.356,0.467,0.823,117,0.346,109,200,6,1,1,2,20,*7H/D,0,Left,No,No,No,No,No,No,No,
Ben Zobrist#,37,UT,3.5,139,520,455,67,139,28,3,9,58,3,4,55,60,0.305,0.378,0.44,0.817,117,0.361,120,200,8,2,1,7,1,497H/3D,0,Both,No,No,No,No,No,No,No,
Jason Heyward*,28,RF,2.1,127,489,440,67,119,23,4,8,57,1,1,42,60,0.27,0.335,0.395,0.731,94,0.326,93,174,7,2,2,2,1,*98/H,0,Left,No,No,No,No,No,No,No,
Willson Contreras,26,C,3.1,138,544,474,50,118,27,5,10,54,4,1,53,121,0.249,0.339,0.39,0.73,94,0.33,95,185,14,13,2,2,2,*2H/73,AS,Right,No,No,No,No,No,No,No,
Kris Bryant,26,3B,2.3,102,457,389,59,106,28,3,13,52,2,4,48,107,0.272,0.374,0.46,0.834,121,0.362,122,179,5,17,0,3,6,597/3H,0,Right,No,No,No,No,No,No,No,
Ian Happ#,23,OF,0.8,142,462,387,56,90,19,2,15,44,8,4,70,167,0.233,0.353,0.408,0.761,102,0.342,105,158,6,3,0,2,9,*87H95/341,0,Both,No,No,No,No,No,No,No,
Albert Almora,24,CF,2.2,152,479,444,62,127,24,1,5,41,1,3,24,83,0.286,0.323,0.378,0.701,86,0.312,85,168,12,3,2,6,1,*8H/7,0,Right,No,No,No,No,No,No,No,
Addison Russell,24,SS,2.4,130,465,420,52,105,21,1,5,38,4,0,40,99,0.25,0.317,0.34,0.657,76,0.303,75,143,7,2,1,2,2,*6/H,0,Right,No,No,No,No,No,No,No,
David Bote,25,3B,1.8,74,210,184,23,44,9,2,6,33,3,4,19,60,0.239,0.319,0.408,0.727,92,0.321,94,75,3,4,0,3,1,5H4/367,0,Right,No,No,No,No,No,No,No,
Victor Caratini#,24,C,0.1,76,200,181,21,42,7,0,2,21,0,0,12,42,0.232,0.293,0.304,0.597,60,0.282,60,55,5,4,2,1,0,2H3/51,0,Both,No,No,No,No,No,No,No,
Tommy La Stella*,29,IF,0.1,123,192,169,23,45,8,0,1,19,0,1,17,27,0.266,0.34,0.331,0.672,81,0.304,79,56,5,2,0,0,1,H54/D1,0,Left,No,No,No,No,No,No,No,
Daniel Murphy*,33,2B,0.5,35,146,138,23,41,6,0,6,13,2,0,7,23,0.297,0.329,0.471,0.8,110,0.353,111,65,1,0,0,1,0,4/HD,0,Left,No,No,No,No,No,No,No,
Jon Lester*,34,P,0.0,31,65,59,4,7,0,0,1,9,0,0,0,22,0.119,0.119,0.169,0.288,-24,0.157,-44,10,1,0,6,0,0,1/H,"AS,CYA-9",Left,No,No,No,No,No,No,No,
Taylor Davis,28,UT,0.0,5,6,5,0,2,0,0,0,2,0,0,0,1,0.4,0.333,0.4,0.733,95,0.3,75,2,0,0,0,1,0,/2H3,0,Right,No,No,No,No,No,No,No,
Tyler Chatwood,28,P,0.0,23,32,25,3,4,0,0,0,2,0,0,1,6,0.16,0.192,0.16,0.352,-4,0.165,-53,4,0,0,6,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Chris Gimenez,35,C,-0.1,12,32,28,1,4,0,0,0,1,1,0,3,7,0.143,0.219,0.143,0.362,0,0.235,21,4,1,0,0,1,0,2/H1,0,Right,No,No,No,No,No,No,No,
Cole Hamels*,34,P,0.1,11,25,23,1,3,0,0,1,1,0,0,1,12,0.13,0.167,0.261,0.428,12,0.185,-15,6,0,0,1,0,0,1,0,Left,No,No,No,No,No,No,No,
Mark Zagunis,25,RF,0.1,5,6,5,0,2,1,0,0,1,0,0,1,1,0.4,0.5,0.6,1.1,192,0.474,201,3,0,0,0,0,0,/H9,0,Right,No,No,No,No,No,No,No,
Mike Montgomery*,28,P,-0.2,37,35,33,1,3,0,0,0,1,0,0,1,20,0.091,0.118,0.091,0.209,-43,0.1,-77,3,0,0,1,0,0,1/H,0,Left,No,No,No,No,No,No,No,
Kyle Hendricks,28,P,-0.4,31,66,60,1,4,1,0,0,1,0,0,2,31,0.067,0.097,0.083,0.18,-51,0.086,-94,5,0,0,4,0,0,1,0,Right,No,No,No,No,No,No,No,
Randy Rosario*,24,P,0.1,43,2,1,1,1,0,0,0,1,0,0,1,0,1.0,1.0,1.0,2.0,437,0.796,441,1,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Efren Navarro*,32,1B,-0.1,4,6,6,0,1,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,-11,0.134,-46,1,0,0,0,0,0,/3H,0,Left,No,No,No,No,No,No,No,
Terrance Gore,27,LF,0.3,14,5,5,5,1,0,0,0,0,6,0,0,1,0.2,0.2,0.2,0.4,7,0.478,-13,1,0,0,0,0,0,H/7D,0,Right,No,No,No,No,No,No,No,
Mike Freeman*,30,2B,-0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,/4,0,Left,No,No,No,No,No,No,No,
Yu Darvish,31,P,-0.1,8,14,12,0,1,1,0,0,0,0,0,0,7,0.083,0.083,0.167,0.25,-36,0.104,-97,2,0,0,2,0,0,/1,0,Right,No,No,No,No,No,No,No,
Steve Cishek,32,P,0.0,76,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-11,0.134,-46,1,0,0,0,0,0,1/7,0,Right,No,No,No,No,No,No,No,
Luke Farrell*,27,P,-0.1,19,5,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-209,0,0,0,1,0,0,1,0,Left,No,No,No,No,No,No,No,
Alec Mills,26,P,0.0,7,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,7,0.18,-15,1,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
James Norwood,24,P,-0.1,10,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-148,0,1,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Eddie Butler,27,P,0.0,8,3,2,0,0,0,0,0,0,0,0,1,0,0.0,0.333,0.0,0.333,0,0.231,24,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Justin Hancock,27,P,0.0,10,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-145,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jose Quintana,29,P,-0.5,30,58,52,0,4,0,0,0,0,0,0,0,26,0.077,0.077,0.077,0.154,-59,0.069,-117,4,3,0,6,0,0,1,0,Right,No,No,No,No,No,No,No,
Brian Duensing*,35,P,0.0,47,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,51,0.346,109,0,0,0,0,0,0,1/7,0,Left,No,No,No,No,No,No,No,
Pedro Strop,33,P,-0.1,57,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-145,0,1,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Brandon Morrow,33,P,0.0,35,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-145,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Brandon Kintzler,33,P,0.0,23,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-145,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Justin Wilson*,30,P,0.0,67,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-145,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Duane Underwood Jr.,23,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-145,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Jesse Chavez,34,P,0.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jorge De La Rosa*,37,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Rob Zastryzny,26,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Allen Webster,28,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Jen-Ho Tseng*,23,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,
Carl Edwards Jr.,26,P,0.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Cory Mazzoni,28,P,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Anthony Bass,30,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
