Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
José Abreu,31,1B,2.0,128,553,499,68,132,36,1,22,78,2,0,37,109,0.265,0.325,0.473,0.798,117,0.34,113,236,14,11,0,6,7,*3D/H,"AS,SS",Right,No,No,No,No,No,No,No,
Daniel Palka*,26,OF,0.6,124,449,417,56,100,15,3,27,67,2,1,30,153,0.24,0.294,0.484,0.778,110,0.338,112,202,7,2,0,0,3,D97H,ROY-5,Left,No,No,No,No,No,No,No,
Tim Anderson,25,SS,3.7,153,606,567,77,136,28,3,20,64,26,8,30,149,0.24,0.281,0.406,0.687,87,0.308,88,230,15,4,2,3,2,*6/HD,0,Right,No,Yes,No,No,No,No,No,
Matt Davidson,27,DH,0.6,123,496,434,51,99,23,0,20,62,0,0,52,165,0.228,0.319,0.419,0.738,102,0.326,103,182,8,7,0,3,0,D35/H1,0,Right,No,No,No,No,No,No,No,
Yoán Moncada#,23,2B,1.4,149,650,578,73,136,32,6,17,61,12,6,67,217,0.235,0.315,0.4,0.714,96,0.315,96,231,4,1,2,2,1,*4/H,0,Both,No,No,No,No,No,No,No,
Yolmer Sánchez#,26,3B,2.5,155,662,600,62,145,34,10,8,55,14,6,49,138,0.242,0.306,0.372,0.678,87,0.306,89,223,9,8,2,3,0,*5/4H6D,0,Both,No,No,No,No,No,No,No,
Avisaíl García,27,RF,0.5,93,385,356,47,84,11,2,19,49,3,1,20,102,0.236,0.281,0.438,0.719,95,0.317,97,156,9,4,0,5,2,9/D,0,Right,No,No,No,No,No,No,No,
Leury García#,27,OF,0.9,82,275,258,23,70,7,4,4,32,12,1,9,69,0.271,0.303,0.376,0.679,87,0.312,87,97,2,3,4,1,0,789H/465,0,Both,No,No,No,No,No,No,No,
Omar Narváez*,26,C,1.8,97,322,280,30,77,14,1,9,30,0,2,38,65,0.275,0.366,0.429,0.794,119,0.354,126,120,5,2,2,0,1,2/HD,0,Left,No,No,No,No,No,No,No,
Adam Engel,26,CF,1.2,143,463,429,49,101,17,4,6,29,16,8,18,129,0.235,0.279,0.336,0.614,69,0.274,66,144,1,8,7,1,0,*8/HD,0,Right,No,No,No,No,No,No,No,
Nicky Delmonico*,25,LF,-1.0,88,318,284,31,61,11,5,8,25,1,2,27,80,0.215,0.296,0.373,0.669,84,0.291,80,106,7,6,0,1,1,7/H3D,0,Left,No,No,No,No,No,No,No,
