Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Edwin Encarnación,35,DH,1.9,137,579,500,74,123,16,1,32,107,3,0,63,132,0.246,0.336,0.474,0.81,116,0.355,118,237,14,8,0,7,2,*D3,0,Right,No
José Ramírez#,25,3B,7.5,157,698,578,110,156,38,4,39,105,34,6,106,80,0.27,0.387,0.552,0.939,151,0.403,149,319,2,8,0,6,15,*54/D,"AS,MVP-3,SS",Both,No
Francisco Lindor#,24,SS,7.2,158,745,661,129,183,42,2,38,92,25,10,70,107,0.277,0.352,0.519,0.871,132,0.375,133,343,5,8,3,3,7,*6/D,"AS,MVP-6,SS",Both,No
Yonder Alonso*,31,1B,1.5,145,574,516,64,129,19,0,23,83,0,0,51,123,0.25,0.317,0.421,0.738,98,0.323,96,217,10,2,0,5,1,*3/HD,0,Left,No
Michael Brantley*,31,LF,3.8,143,631,570,89,176,36,2,17,76,12,3,48,60,0.309,0.364,0.468,0.832,124,0.368,127,267,15,5,1,6,0,*7/DH,AS,Left,No
Jason Kipnis*,31,2B,1.2,147,601,530,65,122,28,1,18,75,7,1,60,112,0.23,0.315,0.389,0.704,90,0.317,91,206,5,7,1,3,1,*48/HD,0,Left,No
Yan Gomes,30,C,2.7,112,435,403,52,107,26,0,16,48,0,0,21,119,0.266,0.313,0.449,0.762,103,0.335,105,181,4,8,0,3,2,*2/HD,AS,Right,No
Melky Cabrera#,33,RF,-0.1,78,278,250,28,70,17,0,6,39,1,1,20,38,0.28,0.335,0.42,0.755,103,0.335,106,105,10,3,0,5,0,9/H7D,0,Both,No
Brandon Guyer,32,RF,-0.2,103,221,194,25,40,11,0,7,27,1,1,15,48,0.206,0.3,0.371,0.671,81,0.303,83,72,5,11,1,0,0,9H7/81D,0,Right,No
Tyler Naquin*,27,RF,0.5,61,183,174,22,46,7,0,3,23,1,1,6,42,0.264,0.295,0.356,0.651,76,0.294,76,62,1,2,0,1,1,98H/7D,0,Left,No
Greg Allen#,25,CF,0.4,91,291,265,36,68,11,3,2,20,21,4,14,58,0.257,0.31,0.343,0.654,77,0.307,77,91,5,7,4,1,1,89H/7D,0,Both,No
Roberto Pérez,29,C,-0.5,62,210,179,16,30,9,1,2,19,1,0,21,70,0.168,0.256,0.263,0.519,42,0.25,41,47,6,1,7,2,0,2/HD,0,Right,No
