Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Nolan Arenado,27,3B,6.4,156,673,590,104,175,38,2,38,110,2,2,73,122,0.297,0.374,0.561,0.935,133,0.401,138,331,16,3,1,6,10,*5/DH,"AS,MVP-3,GG,SS",Right,No,No,No,No,No,No,No,No,No
Trevor Story,25,SS,6.2,157,656,598,88,174,42,6,37,108,27,6,47,168,0.291,0.348,0.567,0.914,127,0.401,133,339,12,7,0,4,3,*6/H,"AS,MVP-8,SS",Right,No,Yes,No,No,No,No,No,No,No
Ian Desmond,32,1B,-0.1,160,619,555,82,131,21,8,22,88,20,6,53,146,0.236,0.307,0.422,0.729,83,0.337,88,234,17,6,1,4,0,*37H/68D,0,Right,No,Yes,No,No,No,No,No,No,No
Charlie Blackmon*,31,CF,1.0,156,696,626,119,182,31,7,29,70,12,4,59,134,0.291,0.358,0.502,0.86,115,0.376,118,314,10,8,1,2,2,*8/HD,AS,Left,No,No,No,No,No,No,No,No,No
Carlos González*,32,RF,0.8,132,504,463,71,128,32,4,16,64,5,2,37,113,0.276,0.329,0.467,0.796,99,0.349,99,216,5,1,0,3,4,*9H/D,0,Left,No,No,No,No,No,No,No,No,No
DJ LeMahieu,29,2B,2.9,128,581,533,90,147,32,2,15,62,6,5,37,82,0.276,0.321,0.428,0.749,88,0.334,90,228,14,2,2,7,0,*4/H,GG,Right,No,No,No,No,No,No,No,No,No
Gerardo Parra*,31,LF,0.4,142,443,401,52,114,17,0,6,53,11,4,32,75,0.284,0.342,0.372,0.714,82,0.325,80,149,6,5,2,3,3,*7H9,0,Left,No,No,No,No,No,No,No,No,No
David Dahl*,24,OF,0.7,77,271,249,31,68,11,3,16,48,5,3,19,68,0.273,0.325,0.534,0.859,113,0.363,110,133,4,1,0,2,4,79H/8,0,Left,No,No,No,No,No,No,No,No,No
Chris Iannetta,35,C,-0.6,110,360,299,36,67,13,1,11,36,0,0,50,87,0.224,0.345,0.385,0.73,85,0.325,81,115,13,7,1,3,5,2H/D,0,Right,No,No,No,No,No,No,No,No,No
Tony Wolters*,26,C,0.5,74,216,182,19,31,4,4,3,27,2,0,26,33,0.17,0.292,0.286,0.577,48,0.278,45,52,6,6,0,2,2,2/H475,0,Left,No,No,No,No,No,No,No,No,No
Ryan McMahon*,23,1B,0.4,91,202,181,17,42,9,1,5,19,1,0,18,64,0.232,0.307,0.376,0.683,72,0.304,65,68,0,2,0,1,2,H354,0,Left,No,No,No,No,No,No,No,No,No
Tom Murphy,27,C,-0.3,37,96,93,5,21,7,1,2,11,0,1,3,44,0.226,0.25,0.387,0.637,58,0.265,41,36,2,0,0,0,1,2H/D,0,Right,No,No,No,No,No,No,No,No,No
Noel Cuevas,26,OF,-1.4,75,153,146,16,34,4,1,2,10,1,0,6,24,0.233,0.268,0.315,0.583,48,0.256,30,46,1,1,0,0,1,H97/8,0,Right,No,No,No,No,No,No,No,No,No
Daniel Castro,25,2B,-0.5,18,47,46,2,8,1,0,1,6,0,0,1,7,0.174,0.191,0.261,0.452,13,0.187,-22,12,2,0,0,0,1,4/H6,0,Right,No,No,No,No,No,No,No,No,No
Raimel Tapia*,24,OF,0.0,25,27,25,6,5,2,1,1,6,0,0,2,7,0.2,0.259,0.48,0.739,82,0.312,72,12,0,0,0,0,0,H/879D,0,Left,No,No,No,No,No,No,No,No,No
Germán Márquez,23,P,0.7,31,65,60,4,18,0,0,1,5,0,0,0,11,0.3,0.3,0.35,0.65,65,0.283,47,21,1,0,5,0,0,1,SS,Right,No,No,No,No,No,No,No,No,No
Pat Valaika,25,IF,-1.5,68,133,122,8,19,5,0,2,5,0,0,9,30,0.156,0.214,0.246,0.46,16,0.223,6,30,4,0,2,0,0,H43/56,0,Right,No,No,No,No,No,No,No,No,No
