Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Salvador Perez,28,C,2.3,129,544,510,52,120,23,0,27,80,1,1,17,108,0.235,0.274,0.439,0.713,91,0.311,91,224,19,12,0,5,0,2D/3H,"AS,GG,SS",Right,No,No,No,No,No,No,No,
Mike Moustakas*,29,3B,1.5,98,417,378,46,94,21,1,20,62,3,0,30,63,0.249,0.309,0.468,0.778,109,0.336,107,177,10,5,0,4,3,5D/3H,0,Left,No,No,No,No,No,No,No,
Whit Merrifield,29,2B,4.5,158,707,632,88,192,43,3,12,60,45,10,61,114,0.304,0.367,0.438,0.806,120,0.36,120,277,12,6,2,6,2,48D/937H,MVP-17,Right,No,No,No,No,No,No,No,
Alex Gordon*,34,LF,2.0,141,568,506,56,124,24,0,13,54,12,2,50,124,0.245,0.324,0.37,0.694,90,0.309,87,187,7,10,0,2,4,*78/D9,GG,Left,No,No,No,No,No,No,No,
Lucas Duda*,32,1B,0.5,87,345,310,34,75,12,1,13,48,1,0,24,95,0.242,0.31,0.413,0.723,96,0.314,92,128,4,8,0,3,2,3D/H,0,Left,No,No,No,No,No,No,No,
Adalberto Mondesí#,22,SS,2.2,75,291,275,47,76,13,3,14,37,32,7,11,77,0.276,0.306,0.498,0.804,115,0.366,120,137,2,1,3,1,0,64/HD,0,Both,No,No,No,No,No,No,No,
Alcides Escobar,31,SS,-2.2,140,531,485,54,112,22,3,4,34,8,2,29,74,0.231,0.279,0.313,0.593,63,0.275,63,152,14,5,8,4,1,65/84,0,Right,No,No,No,No,No,No,No,
Hunter Dozier,26,CI,-2.0,102,388,362,36,83,19,4,11,34,2,3,24,109,0.229,0.278,0.395,0.673,82,0.29,77,143,12,1,0,1,0,35/DH9,0,Right,No,No,No,No,No,No,No,
Ryan O'Hearn*,24,DH,0.8,44,170,149,23,39,10,2,12,30,0,0,20,45,0.262,0.353,0.597,0.95,154,0.395,151,89,0,1,0,0,0,3D/H7,0,Left,No,No,No,No,No,No,No,
Jorge Soler,26,RF,0.2,61,257,223,27,59,18,0,9,28,3,1,28,69,0.265,0.354,0.466,0.82,123,0.37,132,104,6,4,0,2,0,9/D,0,Right,No,No,No,No,No,No,No,
Jorge Bonifacio,25,RF,-0.3,69,270,236,31,53,16,2,4,23,0,1,29,71,0.225,0.312,0.36,0.672,84,0.3,84,85,3,2,1,2,1,9/7DH,0,Right,No,No,No,No,No,No,No,
Rosell Herrera#,25,UT,0.5,75,289,265,25,63,14,3,1,20,3,4,19,52,0.238,0.292,0.325,0.616,69,0.28,72,86,6,2,1,2,0,948/DH5,0,Both,No,No,No,No,No,No,No,
Jon Jay*,33,OF,0.7,59,266,238,28,73,9,2,1,18,3,2,19,39,0.307,0.363,0.374,0.737,104,0.329,105,89,4,3,4,2,0,78/9DH,0,Left,No,No,No,No,No,No,No,
Drew Butera,34,C,-0.7,51,166,149,11,28,9,0,2,18,0,0,13,37,0.188,0.259,0.289,0.548,51,0.261,54,43,4,2,0,2,0,2/31D,0,Right,No,No,No,No,No,No,No,
Brian Goodwin*,27,CF,0.1,27,101,94,11,25,5,0,3,13,1,1,6,31,0.266,0.317,0.415,0.732,99,0.331,107,39,0,1,0,0,0,8/H7,0,Left,No,No,No,No,No,No,No,
Abraham Almonte#,29,CF,-0.7,50,151,134,15,24,1,2,3,9,2,2,15,36,0.179,0.26,0.284,0.544,50,0.247,47,38,6,0,1,1,0,8H/9D7,0,Both,No,No,No,No,No,No,No,
Brett Phillips*,24,CF,0.6,36,123,112,13,21,4,2,2,7,1,1,9,50,0.188,0.252,0.313,0.565,54,0.261,56,35,1,1,0,1,0,8/9DH7,0,Left,No,No,No,No,No,No,No,
Cam Gallagher,25,C,0.0,22,69,63,5,13,3,0,1,7,0,0,3,15,0.206,0.25,0.302,0.552,51,0.255,50,19,1,1,1,1,0,2/D,0,Right,No,No,No,No,No,No,No,
Cheslor Cuthbert,25,CI,-0.3,30,117,103,11,20,2,0,3,7,0,1,11,23,0.194,0.282,0.301,0.583,61,0.259,57,31,5,2,0,1,0,53/DH,0,Right,No,No,No,No,No,No,No,
Ryan Goins*,30,2B,0.3,41,120,115,10,26,8,1,0,6,0,0,4,29,0.226,0.252,0.313,0.565,54,0.245,43,36,2,0,1,0,0,4/H56,0,Left,No,No,No,No,No,No,No,
Paulo Orlando,32,CF,-0.6,25,93,90,6,15,3,0,0,5,0,0,3,25,0.167,0.194,0.2,0.394,9,0.192,5,18,3,0,0,0,0,8/D79,0,Right,No,No,No,No,No,No,No,
Meibrys Viloria*,21,C,0.0,10,29,27,4,7,2,0,0,4,0,0,1,9,0.259,0.286,0.333,0.619,70,0.273,62,9,1,0,1,0,0,2,0,Left,No,No,No,No,No,No,No,
Ramón Torres#,25,IF,-0.2,9,29,28,4,5,1,0,0,1,0,0,1,3,0.179,0.207,0.214,0.421,16,0.187,1,6,1,0,0,0,0,/54,0,Both,No,No,No,No,No,No,No,
Heath Fillmyer,24,P,0.1,2,5,4,0,1,1,0,0,1,0,0,0,3,0.25,0.25,0.5,0.75,98,0.309,87,2,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,
Jason Hammel,35,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-134,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Eric Skoglund*,25,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-134,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Brad Keller,22,P,0.0,3,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,85,0.298,80,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jakob Junis,25,P,0.0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-135,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Danny Duffy*,29,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-135,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Ian Kennedy,33,P,0.1,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,177,0.447,191,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Brian Flynn*,28,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Tim Hill,28,P,0.0,5,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jake Newberry,23,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Ben Lively,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Wily Peralta,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Blaine Boyer,36,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
