Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Justin Upton,30,LF,3.7,145,613,533,80,137,18,1,30,85,8,2,64,176,0.257,0.344,0.463,0.808,121,0.357,125,247,12,10,0,6,1,*7/DH,0,Right,No,No,No,No,No,No,No,No,No
Mike Trout,26,CF,9.9,140,608,471,101,147,24,4,39,79,24,2,122,124,0.312,0.46,0.628,1.088,198,0.455,194,296,5,10,0,4,25,*8D/H,"AS,MVP-2,SS",Right,No,Yes,No,No,No,No,No,No,No
Andrelton Simmons,28,SS,5.5,146,600,554,68,162,26,5,11,75,10,2,35,44,0.292,0.337,0.417,0.754,108,0.337,110,231,17,5,1,5,2,*6/D,"MVP-15,GG",Right,No,No,No,No,No,No,No,No,No
Albert Pujols,38,1B,0.2,117,498,465,50,114,20,0,19,64,1,0,28,65,0.245,0.289,0.411,0.7,91,0.314,95,191,12,2,0,3,3,3D,0,Right,No,No,No,No,No,No,No,No,No
Shohei Ohtani*,23,DH,2.7,104,367,326,59,93,21,2,22,61,10,4,37,102,0.285,0.361,0.564,0.925,151,0.389,148,184,2,2,0,1,2,DH1,ROY-1,Left,No,No,No,No,No,No,No,No,No
Kole Calhoun*,30,RF,0.1,137,552,491,71,102,18,2,19,57,6,2,53,133,0.208,0.283,0.369,0.652,79,0.285,73,181,9,1,0,6,2,*9/H8,0,Left,No,No,No,No,No,No,No,No,No
Luis Valbuena*,32,3B,-1.3,96,288,266,23,53,9,0,9,33,3,0,19,100,0.199,0.253,0.335,0.588,61,0.259,53,89,2,1,0,2,3,53H/4D,0,Left,No,No,No,No,No,No,No,No,No
Martín Maldonado,31,C,0.2,78,290,265,24,59,14,0,5,32,0,1,13,73,0.223,0.284,0.332,0.616,70,0.278,70,88,3,10,1,1,0,2/H,0,Right,No,No,No,No,No,No,No,No,No
Ian Kinsler,36,2B,2.3,91,391,355,49,85,20,0,13,32,9,4,30,40,0.239,0.304,0.406,0.71,94,0.317,96,144,10,4,0,2,0,4/H,GG,Right,No,No,No,No,No,No,No,No,No
David Fletcher,24,IF,1.9,80,307,284,35,78,18,2,1,25,3,0,15,34,0.275,0.316,0.363,0.678,88,0.305,86,103,7,3,3,2,0,45/H69,0,Right,No,No,No,No,No,No,No,No,No
Francisco Arcia*,28,C,0.0,40,106,103,10,21,5,0,6,23,1,0,1,27,0.204,0.226,0.427,0.654,75,0.277,67,44,4,2,0,0,0,2/H13D,0,Left,No,No,No,No,No,No,No,No,No
Jefry Marté,27,1B,-0.2,90,209,194,28,42,7,1,7,22,1,1,13,41,0.216,0.273,0.371,0.644,76,0.285,75,72,6,2,0,0,0,3H5/7D,0,Right,No,No,No,No,No,No,No,No,No
