Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Matt Kemp,33,OF,1.2,146,506,462,62,134,25,0,21,85,0,0,36,115,0.29,0.338,0.481,0.818,121,0.354,120,222,14,1,0,7,2,*79H/D,AS,Right,No,No,No,No,No,No,No
Max Muncy*,27,CI,4.3,137,481,395,75,104,17,2,35,79,3,0,79,131,0.263,0.391,0.582,0.973,161,0.416,164,230,4,5,0,2,6,35H4/7D,MVP-15,Left,No,No,No,No,No,No,No
Cody Bellinger*,22,1B,4.2,162,632,557,84,145,28,7,25,76,14,1,69,151,0.26,0.343,0.47,0.814,120,0.363,123,262,7,3,0,3,9,*38H/97,0,Left,No,No,No,No,No,No,No
Yasmani Grandal#,29,C,3.6,140,518,440,65,106,23,2,24,68,2,1,72,124,0.241,0.349,0.466,0.815,121,0.36,124,205,12,3,0,3,1,*2H/3,0,Both,No,No,No,No,No,No,No
Yasiel Puig,27,RF,2.3,125,444,405,60,108,21,1,23,63,15,5,36,87,0.267,0.327,0.494,0.82,120,0.363,124,200,15,1,0,2,2,*9H,0,Right,No,No,No,No,No,No,No
Chris Taylor,27,SS,4.3,155,604,536,85,136,35,8,17,63,9,6,55,178,0.254,0.331,0.444,0.775,110,0.343,112,238,5,9,0,4,0,687H4,0,Right,No,No,No,No,No,No,No
Joc Pederson*,26,LF,2.2,148,443,395,65,98,27,3,25,56,1,5,40,85,0.248,0.321,0.522,0.843,125,0.355,124,206,6,4,1,3,3,*7H8/9,0,Left,No,No,No,No,No,No,No
Kiké Hernández,26,CF,3.5,145,462,402,67,103,17,3,21,52,3,0,50,78,0.256,0.336,0.47,0.806,117,0.352,117,189,3,1,4,5,5,84H697/531,0,Right,No,No,No,No,No,No,No
Justin Turner,33,3B,4.7,103,426,365,62,114,31,1,14,52,2,1,47,54,0.312,0.406,0.518,0.924,151,0.412,162,189,10,12,0,2,3,5/HD,MVP-14,Right,No,No,No,No,No,No,No
Manny Machado,25,IF,2.5,66,296,267,36,73,14,2,13,42,6,1,25,53,0.273,0.338,0.487,0.825,122,0.356,119,130,12,2,0,2,6,65,AS,Right,No,No,No,No,No,No,No
Brian Dozier,31,2B,0.1,47,170,143,16,26,9,0,5,20,4,0,24,33,0.182,0.3,0.35,0.65,77,0.298,74,50,5,1,0,2,0,4/H,0,Right,No,No,No,No,No,No,No
Austin Barnes,28,C,0.6,100,238,200,32,41,5,0,4,14,4,3,31,67,0.205,0.329,0.29,0.619,72,0.295,77,58,7,6,1,0,4,2H4,0,Right,No,No,No,No,No,No,No
Chase Utley*,39,2B,-0.1,87,187,164,18,35,10,1,1,14,3,1,17,34,0.213,0.305,0.305,0.61,68,0.286,68,50,3,5,0,1,2,4H/3,0,Left,No,No,No,No,No,No,No
Logan Forsythe,31,2B,-0.4,70,211,193,18,40,10,0,2,13,2,0,17,43,0.207,0.27,0.29,0.56,54,0.256,46,56,5,0,0,1,1,45H/3,0,Right,No,No,No,No,No,No,No
Corey Seager*,24,SS,0.5,26,115,101,13,27,5,1,2,13,0,0,11,17,0.267,0.348,0.396,0.744,103,0.344,112,40,2,2,0,1,1,6/H,0,Left,No,No,No,No,No,No,No
Kyle Farmer,27,3B,0.2,39,77,68,1,16,4,1,0,9,0,0,5,15,0.235,0.312,0.324,0.635,74,0.293,74,22,1,3,0,1,1,5H/23,0,Right,No,No,No,No,No,No,No
David Freese,35,1B,0.5,19,47,39,9,15,2,1,2,9,0,0,6,16,0.385,0.489,0.641,1.13,206,0.502,228,25,0,2,0,0,0,3/H5,0,Right,No,No,No,No,No,No,No
Clayton Kershaw*,30,P,0.7,25,57,46,1,11,2,0,0,7,0,0,7,11,0.239,0.34,0.283,0.622,73,0.29,70,13,0,0,4,0,0,1/H,0,Left,No,No,No,No,No,No,No
