Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
J.T. Realmuto,27,C,4.5,125,531,477,74,132,30,3,21,74,3,2,38,104,0.277,0.34,0.484,0.825,126,0.361,129,231,9,10,0,4,0,*23/HD,"AS,SS",Right,No,No,No,No,No,No,No
Brian Anderson,25,RF,3.0,156,670,590,87,161,34,4,11,65,2,4,62,129,0.273,0.357,0.4,0.757,110,0.346,120,236,18,16,0,2,2,95/H,ROY-4,Right,No,No,No,No,No,No,No
Justin Bour*,30,1B,0.4,112,447,374,43,85,10,1,19,54,1,0,69,111,0.227,0.347,0.412,0.759,110,0.334,109,154,8,1,0,3,6,3/HD,0,Left,No,No,No,No,No,No,No
Starlin Castro,28,2B,1.7,154,647,593,76,165,32,2,12,54,6,4,48,124,0.278,0.329,0.4,0.729,102,0.333,109,237,18,0,0,6,3,*4/H,0,Right,No,No,No,No,No,No,No
Miguel Rojas,29,IF,1.1,153,528,488,44,123,13,0,11,53,6,3,24,69,0.252,0.297,0.346,0.643,79,0.302,85,169,23,9,2,4,2,635H4,0,Right,No,No,No,No,No,No,No
Derek Dietrich*,28,LF,-0.3,149,551,499,72,132,26,2,16,45,2,0,29,140,0.265,0.33,0.421,0.751,107,0.335,109,210,5,21,0,2,2,73H/4D59,0,Left,No,No,No,No,No,No,No
Lewis Brinson,24,CF,-1.0,109,406,382,31,76,10,5,11,42,2,1,17,120,0.199,0.24,0.338,0.577,58,0.259,54,129,6,4,0,2,2,8/H,0,Right,No,No,No,No,No,No,No
JT Riddle*,26,SS,1.5,102,332,308,28,71,10,4,9,36,0,3,20,67,0.231,0.277,0.377,0.653,80,0.285,76,116,4,0,3,1,1,6H,0,Left,No,No,No,No,No,No,No
Cameron Maybin,31,OF,0.7,99,287,251,20,63,12,1,3,20,8,5,32,55,0.251,0.338,0.343,0.681,90,0.311,94,86,3,2,0,2,1,7H89,0,Right,No,No,No,No,No,No,No
Martín Prado,34,3B,-0.4,54,209,197,16,48,9,0,1,18,1,1,11,35,0.244,0.287,0.305,0.592,65,0.281,71,60,5,1,0,0,0,5/H3D,0,Right,No,No,No,No,No,No,No
Bryan Holaday,30,C,0.0,61,166,151,7,31,5,0,1,16,0,0,10,29,0.205,0.261,0.258,0.519,45,0.237,37,39,4,2,1,2,2,2H/1,0,Right,No,No,No,No,No,No,No
Austin Dean,24,LF,-0.3,34,122,113,16,25,4,0,4,14,1,0,7,22,0.221,0.279,0.363,0.642,77,0.298,81,41,1,2,0,0,0,7/H,0,Right,No,No,No,No,No,No,No
Peter O'Brien,27,1B,0.5,22,74,66,8,18,5,0,4,10,0,0,7,22,0.273,0.338,0.53,0.868,137,0.369,135,35,2,0,0,1,0,3/H9,0,Right,No,No,No,No,No,No,No
Yadiel Rivera,26,IF,-0.6,111,160,139,13,24,3,0,1,9,2,1,19,51,0.173,0.269,0.216,0.485,37,0.222,26,30,3,0,0,2,3,H564/7389,0,Right,No,No,No,No,No,No,No
Magneuris Sierra*,22,CF,-1.7,54,156,147,10,28,3,0,0,7,3,2,6,39,0.19,0.222,0.211,0.433,22,0.202,12,31,0,0,3,0,1,89/H,0,Left,No,No,No,No,No,No,No
Isaac Galloway,28,OF,0.6,43,74,64,7,13,3,0,3,7,1,1,9,21,0.203,0.301,0.391,0.692,91,0.3,87,25,0,0,1,0,0,7H98,0,Right,No,No,No,No,No,No,No
