Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Christian Yelich*,26,RF,7.3,147,651,574,118,187,34,7,36,110,22,4,68,135,0.326,0.402,0.598,1.0,164,0.437,173,343,14,7,0,2,2,*798/H,"AS,MVP-1,SS",Left,No,Yes,No,No,No,No,No
Jesús Aguilar,28,1B,3.4,149,566,492,80,135,25,0,35,108,0,0,58,143,0.274,0.352,0.539,0.89,135,0.377,133,265,19,6,0,10,3,*3H/5D,"AS,MVP-16",Right,No,No,No,No,No,No,No
Travis Shaw*,28,3B,4.5,152,587,498,73,120,23,0,32,86,5,2,78,108,0.241,0.345,0.48,0.825,119,0.362,122,239,7,4,1,6,6,543/H,0,Left,No,No,No,No,No,No,No
Ryan Braun,34,LF,0.9,125,447,405,59,103,25,1,20,64,11,5,34,85,0.254,0.313,0.469,0.782,107,0.338,103,190,8,2,0,3,5,7H3/D9,0,Right,No,No,No,No,No,No,No
Lorenzo Cain,32,CF,6.9,141,620,539,90,166,25,2,10,38,30,7,71,94,0.308,0.395,0.417,0.813,119,0.379,129,225,10,8,0,2,1,*8/H,"AS,MVP-7",Right,No,No,No,No,No,No,No
Eric Thames*,31,UT,0.4,96,278,247,41,54,10,3,16,37,7,0,29,97,0.219,0.306,0.478,0.783,106,0.345,105,118,3,2,0,0,4,H937,0,Left,No,No,No,No,No,No,No
Mike Moustakas*,29,3B,0.5,54,218,195,20,50,12,0,8,33,1,1,19,40,0.256,0.326,0.441,0.767,104,0.329,98,86,3,2,0,2,2,5/H,0,Left,No,No,No,No,No,No,No
Orlando Arcia,23,SS,0.4,119,366,348,32,82,16,0,3,30,7,4,15,87,0.236,0.268,0.307,0.576,55,0.267,52,107,9,1,1,1,0,*6H,0,Right,No,No,No,No,No,No,No
Hernán Pérez,27,MI,1.7,132,334,316,36,80,11,2,9,29,11,3,17,71,0.253,0.29,0.386,0.676,80,0.317,86,122,6,0,0,1,1,4H9567/318D,0,Right,No,No,No,No,No,No,No
Manny Piña,31,C,1.1,98,337,306,39,77,13,2,9,28,2,0,21,62,0.252,0.307,0.395,0.702,87,0.315,86,121,13,5,1,4,3,2/H3,0,Right,No,No,No,No,No,No,No
Erik Kratz,38,C,0.0,67,219,203,18,48,6,0,6,23,1,0,6,40,0.236,0.28,0.355,0.634,69,0.285,64,72,8,7,1,2,0,2/H13,0,Right,No,No,No,No,No,No,No
Jonathan Villar#,27,2B,1.3,87,279,257,26,67,10,1,6,22,14,2,19,80,0.261,0.315,0.377,0.693,85,0.328,90,97,9,2,0,1,0,4H,0,Both,No,No,No,No,No,No,No
Jonathan Schoop,26,2B,0.0,46,134,124,16,25,4,0,4,21,1,0,7,41,0.202,0.246,0.331,0.577,53,0.257,43,41,3,1,0,2,1,46H,0,Right,No,No,No,No,No,No,No
