Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Eddie Rosario*,26,LF,4.3,138,592,559,87,161,31,2,24,77,8,2,30,104,0.288,0.323,0.479,0.803,116,0.34,110,268,4,0,1,2,5,*7D/98H5,0,Left,No,No,No,No,No,No,No,
Eduardo Escobar#,29,3B,2.6,97,408,368,45,101,37,3,15,63,1,3,34,91,0.274,0.338,0.514,0.852,128,0.356,124,189,7,3,0,3,6,56/H4,0,Both,No,No,No,No,No,No,No,
Max Kepler*,25,RF,3.5,156,611,532,80,119,30,4,20,58,4,5,71,96,0.224,0.319,0.408,0.727,97,0.32,98,217,8,5,0,3,2,*98H/D3,0,Left,No,No,No,No,No,No,No,
Brian Dozier,31,2B,0.9,104,462,410,65,93,21,2,16,52,8,3,46,96,0.227,0.307,0.405,0.712,93,0.315,92,166,7,3,0,3,1,4/H,0,Right,No,No,No,No,No,No,No,
Robbie Grossman#,28,DH,1.5,129,465,396,50,108,27,1,5,48,0,1,60,83,0.273,0.367,0.384,0.751,106,0.347,116,152,2,2,2,5,0,9D7H,0,Both,No,No,No,No,No,No,No,
Joe Mauer*,35,1B,1.4,127,543,486,64,137,27,1,6,48,0,1,51,86,0.282,0.351,0.379,0.729,100,0.322,98,184,9,2,1,3,5,3DH/9,0,Left,No,No,No,No,No,No,No,
Mitch Garver,27,C,1.0,102,335,302,38,81,19,2,7,45,0,0,29,72,0.268,0.335,0.414,0.749,104,0.337,108,125,8,2,1,1,2,2H/D31,0,Right,No,No,No,No,No,No,No,
Jake Cave*,25,CF,1.7,91,309,283,54,75,16,2,13,45,2,1,18,102,0.265,0.313,0.473,0.786,111,0.342,112,134,2,3,2,3,2,89H/7D,0,Left,No,No,No,No,No,No,No,
Jorge Polanco#,24,SS,0.9,77,333,302,38,87,18,3,6,42,7,7,25,62,0.288,0.345,0.427,0.773,110,0.327,105,129,5,2,3,1,0,6/H,0,Both,No,No,No,No,No,No,No,
Miguel Sanó,25,3B,-0.4,71,299,266,32,53,14,0,13,41,0,0,31,115,0.199,0.281,0.398,0.679,83,0.292,76,106,7,0,0,2,0,53/DH,0,Right,No,No,No,No,No,No,No,
Ehire Adrianza#,28,IF,0.0,114,366,335,42,84,23,1,6,39,5,1,24,82,0.251,0.301,0.379,0.68,85,0.299,79,127,4,1,4,2,2,65H3/47D,0,Both,No,No,No,No,No,No,No,
Logan Morrison*,30,1B,-0.2,95,359,318,41,59,13,0,15,39,1,0,34,80,0.186,0.276,0.368,0.644,74,0.285,70,117,3,6,0,1,0,3DH/7,0,Left,No,No,No,No,No,No,No,
Tyler Austin,26,DH,0.3,35,136,123,18,29,4,0,9,24,0,1,11,42,0.236,0.294,0.488,0.782,109,0.333,108,60,1,0,0,2,0,D3/H,0,Right,No,No,No,No,No,No,No,
Willians Astudillo,26,UT,0.8,29,97,93,9,33,4,1,3,21,0,0,2,3,0.355,0.371,0.516,0.887,139,0.379,138,48,4,1,0,1,0,2/5D4178H,0,Right,No,No,No,No,No,No,No,
Bobby Wilson,35,C,0.3,47,151,135,12,24,8,0,2,16,0,0,12,37,0.178,0.242,0.281,0.523,43,0.244,41,38,6,0,2,2,0,2,0,Right,No,No,No,No,No,No,No,
Logan Forsythe,31,2B,0.3,50,205,178,19,46,6,0,0,14,1,0,24,40,0.258,0.356,0.292,0.648,81,0.31,88,52,5,3,0,0,0,4/7DH,0,Right,No,No,No,No,No,No,No,
Ryan LaMarre,29,CF,-0.2,43,109,99,7,26,5,0,0,8,1,1,8,33,0.263,0.321,0.313,0.634,75,0.281,70,31,3,1,0,1,0,8/H719D,0,Right,No,No,No,No,No,No,No,
Johnny Field,26,OF,0.1,21,54,52,8,13,4,0,3,7,0,0,0,14,0.25,0.259,0.5,0.759,101,0.332,104,26,0,1,0,1,0,7/9H8D,0,Right,No,No,No,No,No,No,No,
Chris Gimenez,35,UT,0.1,13,34,29,6,8,1,0,2,6,0,0,3,9,0.276,0.353,0.517,0.87,134,0.365,128,15,1,1,0,1,0,/23H15D,0,Right,No,No,No,No,No,No,No,
Byron Buxton,24,CF,-0.3,28,94,90,8,14,4,0,0,4,5,0,3,28,0.156,0.183,0.2,0.383,5,0.192,-6,18,1,0,1,0,0,8/HD,0,Right,No,No,No,No,No,No,No,
Jason Castro*,31,C,-0.1,19,74,63,4,9,3,0,1,3,0,0,9,26,0.143,0.257,0.238,0.495,37,0.243,40,15,2,1,0,1,0,2,0,Left,No,No,No,No,No,No,No,
Gregorio Petit,33,IF,-0.1,26,67,61,7,15,2,0,0,3,3,1,6,14,0.246,0.313,0.279,0.592,65,0.27,58,17,0,0,0,0,0,4/65H3D,0,Right,No,No,No,No,No,No,No,
Taylor Motter,28,UT,-0.3,9,21,19,0,1,0,0,0,1,1,0,2,3,0.053,0.143,0.053,0.195,-43,0.12,-55,1,0,0,0,0,0,/945H6,0,Right,No,No,No,No,No,No,No,
Juan Graterol,29,C,0.0,3,8,7,2,1,0,0,0,0,0,0,1,0,0.143,0.25,0.143,0.393,12,0.199,10,1,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,
Jake Odorizzi,28,P,-0.1,4,8,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-213,0,0,0,2,0,0,1/H,0,Right,No,No,No,No,No,No,No,
José Berríos,24,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,AS,Right,No,No,No,No,No,No,No,
Fernando Romero,23,P,0.0,1,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-134,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Lance Lynn#,31,P,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Both,No,No,No,No,No,No,No,
Kyle Gibson,30,P,0.1,1,2,2,2,2,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,451,0.894,513,2,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Adalberto Mejía,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Matt Magill,28,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Zach Duke*,35,P,0.0,4,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Matt Belisle,38,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Gabriel Moya*,23,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Taylor Rogers*,27,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Fernando Rodney,41,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Addison Reed*,29,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Ryan Pressly,29,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Trevor Hildenberger,27,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Zack Littell,22,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Phil Hughes,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
