Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Michael Conforto*,25,LF,2.7,153,638,543,78,132,25,1,28,82,3,4,84,159,0.243,0.35,0.448,0.797,122,0.35,125,243,10,7,0,4,8,*789H/D,0,Left,No,No,No,No,No,No,No
Todd Frazier,32,3B,2.5,115,472,408,54,87,18,0,18,59,9,4,48,112,0.213,0.303,0.39,0.693,93,0.318,100,159,10,8,0,8,1,*5/HD,0,Right,No,No,No,No,No,No,No
Asdrúbal Cabrera#,32,2B,1.7,98,407,375,48,104,23,1,18,58,0,0,29,81,0.277,0.329,0.488,0.817,126,0.357,129,183,12,1,0,2,1,4/HD,0,Both,No,No,No,No,No,No,No
Wilmer Flores,26,1B,0.8,126,429,386,43,103,25,0,11,51,0,0,29,42,0.267,0.319,0.417,0.736,105,0.322,103,161,8,5,0,9,1,3H45/D,0,Right,No,No,No,No,No,No,No
Amed Rosario,22,SS,1.1,154,592,554,76,142,26,8,9,51,24,11,29,119,0.256,0.295,0.381,0.676,88,0.301,87,211,9,3,3,3,4,*6/H,0,Right,No,No,No,No,No,No,No
Brandon Nimmo*,25,OF,4.6,140,535,433,77,114,28,8,17,47,9,6,80,140,0.263,0.404,0.483,0.886,148,0.394,157,209,8,22,0,0,2,*987H,0,Left,No,No,No,No,No,No,No
José Bautista,37,RF,1.2,83,302,245,37,50,13,0,9,37,2,2,51,84,0.204,0.351,0.367,0.718,102,0.344,121,90,2,5,0,1,2,9H75/34D,0,Right,No,No,No,No,No,No,No
Jay Bruce*,31,RF,-0.9,94,361,319,31,71,18,1,9,37,2,3,41,75,0.223,0.31,0.37,0.68,90,0.296,85,118,3,0,0,1,4,93/HD,0,Left,No,No,No,No,No,No,No
Devin Mesoraco,30,C,0.8,66,229,203,23,45,8,0,10,30,0,0,23,42,0.222,0.306,0.409,0.715,98,0.312,96,83,7,2,0,1,3,2H/D,0,Right,No,No,No,No,No,No,No
Kevin Plawecki,27,C,1.2,79,277,238,33,50,13,2,7,30,0,1,28,65,0.21,0.315,0.37,0.685,92,0.314,99,88,12,9,1,1,2,2/H3,0,Right,No,No,No,No,No,No,No
Yoenis Céspedes,32,LF,0.8,38,157,141,20,37,6,0,9,29,3,0,13,50,0.262,0.325,0.496,0.821,126,0.357,125,70,1,1,0,2,2,7/HD,0,Right,No,No,No,No,No,No,No
Adrián González*,36,1B,-0.3,54,187,169,15,40,5,0,6,26,0,0,15,34,0.237,0.299,0.373,0.672,88,0.291,80,63,5,1,0,2,3,3/H,0,Left,No,No,No,No,No,No,No
Austin Jackson,31,CF,-0.3,57,210,198,17,49,9,1,3,19,1,2,12,74,0.247,0.29,0.348,0.639,79,0.282,76,69,4,0,0,0,0,8/H,0,Right,No,No,No,No,No,No,No
Jeff McNeil*,26,2B,3.2,63,248,225,35,74,11,6,3,19,7,1,14,24,0.329,0.381,0.471,0.852,138,0.386,147,106,2,5,4,0,1,4/H5,ROY-6,Left,No,No,No,No,No,No,No
José Reyes#,35,IF,-0.3,110,251,228,30,43,12,3,4,16,5,2,22,39,0.189,0.26,0.32,0.58,62,0.264,59,73,5,0,1,0,1,H564/1,0,Both,No,No,No,No,No,No,No
Dominic Smith*,23,1B,-0.5,56,149,143,14,32,11,1,5,11,0,0,4,47,0.224,0.255,0.42,0.675,85,0.303,89,60,2,2,0,0,0,3H7/D,0,Left,No,No,No,No,No,No,No
Tomás Nido,24,C,-0.5,34,90,84,10,14,3,0,1,9,0,0,4,27,0.167,0.2,0.238,0.438,23,0.215,25,20,4,0,0,2,0,2/H,0,Right,No,No,No,No,No,No,No
Juan Lagares,29,CF,1.1,30,64,59,9,20,1,1,0,6,3,1,3,9,0.339,0.375,0.39,0.765,116,0.348,119,23,2,1,0,1,1,8H,0,Right,No,No,No,No,No,No,No
Luis Guillorme*,23,IF,-0.1,35,74,67,4,14,2,0,0,5,1,0,7,3,0.209,0.284,0.239,0.523,49,0.269,62,16,1,0,0,0,0,H5/4,0,Left,No,No,No,No,No,No,No
Jacob deGrom*,30,P,0.5,30,74,67,1,11,1,0,0,5,0,0,4,25,0.164,0.211,0.179,0.39,11,0.193,5,12,1,0,3,0,0,1,"AS,CYA-1,MVP-5",Left,No,No,No,No,No,No,No
Zack Wheeler*,28,P,0.2,27,60,56,4,11,2,0,0,4,0,0,0,21,0.196,0.193,0.232,0.425,19,0.184,-3,13,1,0,3,1,0,1,0,Left,No,No,No,No,No,No,No
Steven Matz,27,P,0.2,29,53,46,2,5,1,0,2,4,0,0,3,13,0.109,0.163,0.261,0.424,17,0.188,-3,12,1,0,4,0,0,1,0,Right,No,No,No,No,No,No,No
Jose Lobaton#,33,C,-0.5,22,57,49,3,7,2,1,0,4,0,0,7,15,0.143,0.246,0.224,0.47,34,0.236,40,11,2,0,0,1,0,2/H,0,Both,No,No,No,No,No,No,No
Travis d'Arnaud,29,C,-0.1,4,16,15,1,3,0,0,1,3,0,0,1,5,0.2,0.25,0.4,0.65,79,0.284,75,6,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No
Noah Syndergaard*,25,P,0.0,23,52,47,0,6,2,0,0,3,0,0,1,32,0.128,0.143,0.17,0.313,-12,0.139,-39,8,0,0,3,1,0,1,0,Left,No,No,No,No,No,No,No
Jerry Blevins*,34,P,0.1,60,2,2,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1.0,183,0.45,195,1,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Phillip Evans,25,UT,-0.3,15,23,21,1,3,0,0,0,1,1,0,2,8,0.143,0.217,0.143,0.36,4,0.188,-3,3,1,0,0,0,0,H/5437,0,Right,No,No,No,No,No,No,No
Matt den Dekker*,30,CF,-0.7,8,21,18,0,0,0,0,0,1,0,0,2,9,0.0,0.095,0.0,0.095,-70,0.109,-53,0,0,0,0,1,0,/8H,0,Left,No,No,No,No,No,No,No
Drew Gagnon,28,P,0.0,4,2,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,1,0,/1,0,Right,No,No,No,No,No,No,No
Jack Reinheimer,25,UT,-0.3,21,35,30,4,5,0,0,0,0,1,1,5,9,0.167,0.286,0.167,0.452,32,0.218,32,5,1,0,0,0,0,H/7564,0,Right,No,No,No,No,No,No,No
Ty Kelly#,29,UT,-0.2,9,12,11,1,1,0,0,0,0,0,0,1,2,0.091,0.167,0.091,0.258,-25,0.133,-36,1,1,0,0,0,0,/H457,0,Both,No,No,No,No,No,No,No
David Wright,35,3B,0.0,2,3,2,0,0,0,0,0,0,0,0,1,0,0.0,0.333,0.0,0.333,5,0.231,36,0,0,0,0,0,0,/5H,0,Right,No,No,No,No,No,No,No
Jason Vargas*,35,P,0.0,20,31,27,2,4,0,0,0,0,0,0,1,8,0.148,0.179,0.148,0.327,-7,0.153,-33,4,0,0,3,0,0,1/H,0,Left,No,No,No,No,No,No,No
Corey Oswalt,24,P,-0.1,15,19,18,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,-100,0.05,-107,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
Matt Harvey,29,P,0.1,8,7,7,0,2,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,61,0.257,55,2,1,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Seth Lugo,28,P,0.0,50,13,11,1,1,0,0,0,0,0,0,1,8,0.091,0.167,0.091,0.258,-25,0.133,-47,1,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
Paul Sewald,28,P,-0.1,44,6,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-182,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
Robert Gsellman,24,P,0.0,64,4,3,1,0,0,0,0,0,0,0,0,2,0.0,0.25,0.0,0.25,-21,0.181,-2,0,0,1,0,0,0,1,0,Right,No,No,No,No,No,No,No
P.J. Conlon*,24,P,0.0,3,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,88,0.267,64,1,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No
Kevin Kaczmarski*,26,RF,-0.1,4,5,4,0,0,0,0,0,0,0,1,1,1,0.0,0.2,0.0,0.2,-37,0.04,-33,0,0,0,0,0,0,/H9,0,Left,No,No,No,No,No,No,No
