Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Rhys Hoskins,25,LF,1.1,153,660,558,89,137,38,0,34,96,5,3,87,150,0.246,0.354,0.496,0.85,125,0.373,129,277,7,9,0,5,2,*73/DH,0,Right,No,No,No,No,No,No,No,
Carlos Santana#,32,1B,2.0,161,679,560,82,128,28,2,24,86,2,1,110,93,0.229,0.352,0.414,0.766,105,0.342,106,232,12,1,0,8,6,*35/H,0,Both,No,No,No,No,No,No,No,
Odúbel Herrera*,26,CF,0.5,148,597,550,64,140,19,3,22,71,5,2,38,122,0.255,0.31,0.42,0.73,94,0.319,90,231,11,7,1,1,3,*8/97H,0,Left,No,No,No,No,No,No,No,
Maikel Franco,25,3B,0.4,131,465,433,48,117,17,1,22,68,1,0,29,62,0.27,0.314,0.467,0.78,106,0.337,103,202,15,0,0,3,7,*5H/D,0,Right,No,No,No,No,No,No,No,
César Hernández#,28,2B,2.1,161,708,605,91,153,15,3,15,60,19,6,95,155,0.253,0.356,0.362,0.718,94,0.335,100,219,12,4,1,3,4,*4/HD,0,Both,No,No,No,No,No,No,No,
Nick Williams*,24,RF,-0.5,140,448,407,53,104,12,3,17,50,3,2,32,111,0.256,0.324,0.425,0.749,99,0.33,98,173,4,9,0,0,2,9H7/D,0,Left,No,No,No,No,No,No,No,
Aaron Altherr,27,RF,-1.0,105,285,243,28,44,11,1,8,38,3,2,36,91,0.181,0.295,0.333,0.628,69,0.285,66,81,13,4,0,2,0,9H8/7,0,Right,No,No,No,No,No,No,No,
Jorge Alfaro,25,C,1.6,108,377,344,35,90,16,2,10,37,3,0,18,138,0.262,0.324,0.407,0.731,95,0.329,96,140,2,14,0,1,6,2/H5,0,Right,No,No,No,No,No,No,No,
Scott Kingery,24,SS,-0.6,147,484,452,55,102,23,2,8,35,10,3,24,126,0.226,0.267,0.338,0.605,61,0.269,52,153,2,3,0,5,1,*6H5/47918,0,Right,No,No,No,No,No,No,No,
Asdrúbal Cabrera#,32,IF,-0.8,49,185,171,20,39,13,0,5,17,0,0,12,38,0.228,0.286,0.392,0.678,80,0.297,74,67,4,2,0,0,0,65/HD4,0,Both,No,No,No,No,No,No,No,
Wilson Ramos,30,C,0.8,33,101,89,9,30,8,1,1,17,0,0,10,19,0.337,0.396,0.483,0.879,135,0.386,139,43,3,0,0,2,1,2H,AS,Right,No,No,No,No,No,No,No,
