Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
C.J. Cron,28,DH,2.3,140,560,501,68,127,28,1,30,74,1,2,37,145,0.253,0.323,0.493,0.816,123,0.347,121,247,11,17,0,5,2,D3H,0,Right,No,No,No,No,No,No,No
Joey Wendle*,28,2B,4.9,139,545,487,62,146,33,6,7,61,16,4,37,96,0.3,0.354,0.435,0.789,118,0.348,118,212,11,9,2,10,4,457H6/9,ROY-4,Left,No,No,No,No,No,No,No
Wilson Ramos,30,C,1.7,78,315,293,30,87,14,0,14,53,0,0,22,61,0.297,0.346,0.488,0.834,129,0.359,128,143,17,0,0,0,1,2/DH,AS,Right,No,No,No,No,No,No,No
Jake Bauers*,22,1B,0.5,96,388,323,48,65,22,2,11,48,6,6,54,104,0.201,0.316,0.384,0.7,94,0.305,92,124,3,3,2,6,0,37/DH9,0,Left,No,No,No,No,No,No,No
Matt Duffy,27,3B,2.9,132,560,503,59,148,22,1,4,44,12,6,47,93,0.294,0.361,0.366,0.727,104,0.331,108,184,12,7,1,2,1,*5/DH6,0,Right,No,No,No,No,No,No,No
Mallex Smith*,25,OF,3.5,141,544,480,65,142,27,10,2,40,40,12,47,98,0.296,0.367,0.406,0.773,115,0.349,117,195,11,8,7,2,0,*897/HD,0,Left,No,No,No,No,No,No,No
Daniel Robertson,24,IF,2.8,87,340,282,46,74,16,0,9,34,2,2,43,77,0.262,0.382,0.415,0.797,122,0.359,129,117,7,13,0,2,0,465/H7D13,0,Right,No,No,No,No,No,No,No
Willy Adames,22,SS,1.1,85,323,288,43,80,7,0,10,34,6,5,31,95,0.278,0.348,0.406,0.754,109,0.323,105,117,6,1,1,2,3,64/H,0,Right,No,No,No,No,No,No,No
Carlos Gómez,32,RF,0.7,118,408,360,42,75,15,2,9,32,12,3,25,103,0.208,0.298,0.336,0.634,76,0.292,77,121,6,21,2,0,0,9H/D814,0,Right,No,No,No,No,No,No,No
Kevin Kiermaier*,28,CF,2.3,88,367,332,44,72,12,9,7,29,10,5,25,91,0.217,0.282,0.37,0.653,80,0.291,79,123,4,6,2,2,2,8/H,0,Left,No,No,No,No,No,No,No
Denard Span*,34,LF,1.0,43,173,143,27,34,7,1,4,28,6,2,28,24,0.238,0.364,0.385,0.749,109,0.342,114,55,5,1,0,1,0,7/HD,0,Left,No,No,No,No,No,No,No
