Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Joey Gallo*,24,LF,2.4,148,577,500,82,103,24,1,40,92,3,4,74,207,0.206,0.312,0.498,0.81,109,0.34,104,249,3,3,0,0,4,7398H/D,0,Left,No,No,No,No,No,No,No,No,No
Nomar Mazara*,23,RF,0.5,128,536,489,61,126,25,1,20,77,1,0,40,116,0.258,0.317,0.436,0.753,96,0.327,92,213,13,4,0,3,2,*9D/7H,0,Left,No,No,No,No,No,No,No,No,No
Jurickson Profar#,25,IF,1.7,146,594,524,82,133,35,6,20,77,10,0,54,88,0.254,0.335,0.458,0.793,107,0.347,104,240,9,12,0,4,1,6534/H7D,0,Both,No,No,No,No,No,No,No,No,No
Adrian Beltré,39,3B,1.5,119,481,433,49,118,23,1,15,65,1,0,34,96,0.273,0.328,0.434,0.763,99,0.336,99,188,13,6,0,8,2,5D/H,0,Right,No,No,No,No,No,No,No,No,No
Robinson Chirinos,34,C,1.7,113,426,360,48,80,15,1,18,65,2,0,45,140,0.222,0.338,0.419,0.757,99,0.342,103,151,7,19,0,2,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
Rougned Odor*,24,2B,2.5,129,535,474,76,120,23,2,18,63,12,12,43,127,0.253,0.326,0.424,0.751,96,0.321,93,201,5,11,2,5,2,*4/DH,0,Left,No,No,No,No,No,No,No,No,No
Shin-Soo Choo*,35,DH,2.7,146,665,560,83,148,30,1,21,62,6,1,92,156,0.264,0.377,0.434,0.81,114,0.368,121,243,11,10,1,2,2,D97/H,AS,Left,No,No,No,No,No,No,No,No,No
Ronald Guzmán*,23,1B,0.8,123,428,387,46,91,18,2,16,58,1,0,33,121,0.235,0.306,0.416,0.722,88,0.317,86,161,8,7,0,1,2,*3/H,0,Left,No,No,No,No,No,No,No,No,No
Isiah Kiner-Falefa,23,UT,1.7,111,396,356,43,93,18,2,4,34,7,5,28,62,0.261,0.325,0.357,0.682,80,0.304,78,127,14,6,5,1,1,524H/6D,0,Right,No,No,No,No,No,No,No,No,No
Elvis Andrus,29,SS,1.7,97,428,395,53,101,20,3,6,33,5,3,28,66,0.256,0.308,0.367,0.675,78,0.315,85,145,8,3,0,2,0,6/H,0,Right,No,No,No,No,No,No,No,No,No
Delino DeShields,25,CF,1.2,106,393,334,52,72,14,1,2,22,20,4,43,83,0.216,0.31,0.281,0.591,58,0.289,59,94,1,3,12,1,0,8/HD,0,Right,No,No,No,No,No,No,No,No,No
Ryan Rua,28,LF,-1.0,61,147,139,17,27,3,1,6,12,3,1,5,53,0.194,0.221,0.36,0.58,49,0.261,44,50,2,0,2,1,0,7H/398D1,0,Right,No,No,No,No,No,No,No,No,No
Willie Calhoun*,23,LF,-0.7,35,108,99,8,22,5,0,2,11,0,0,6,24,0.222,0.269,0.333,0.602,58,0.278,58,33,2,1,0,2,0,7/HD,0,Left,No,No,No,No,No,No,No,No,No
