Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Eduardo Escobar#,30,3B,3.3,158,699,636,94,171,29,10,35,118,5,1,50,130,0.269,0.32,0.511,0.831,111,0.352,110,325,8,3,0,10,3,*54/HD,0
Ketel Marte#,25,CF,6.9,144,628,569,97,187,36,9,32,92,10,2,53,86,0.329,0.389,0.592,0.981,149,0.413,154,337,7,4,0,2,2,846/H,"AS,MVP-4"
Nick Ahmed,29,SS,4.2,158,625,556,79,141,33,6,19,82,8,2,52,113,0.254,0.316,0.437,0.753,93,0.332,96,243,15,4,1,12,2,*6/H,GG
Christian Walker,28,1B,2.8,152,603,529,86,137,26,1,29,73,8,1,67,155,0.259,0.348,0.476,0.825,111,0.354,111,252,11,6,0,1,6,*3H/D,0
Adam Jones,33,RF,-0.8,137,528,485,66,126,25,1,16,67,2,1,31,101,0.26,0.313,0.414,0.728,87,0.319,88,201,15,8,0,3,2,*9H/8,0
David Peralta*,31,LF,1.6,99,423,382,48,105,29,3,12,57,0,0,35,87,0.275,0.343,0.461,0.804,106,0.346,107,176,9,5,0,1,3,7/HD,GG
Carson Kelly,24,C,1.7,111,365,314,46,77,19,0,18,47,0,0,48,79,0.245,0.348,0.478,0.826,112,0.347,107,150,11,2,0,1,10,2H/5,0
Wilmer Flores,27,2B,0.6,89,285,265,31,84,18,0,9,37,0,0,15,31,0.317,0.361,0.487,0.848,118,0.365,121,129,9,4,0,1,0,4H3,0
Jake Lamb*,28,CI,0.2,78,226,187,26,36,8,2,6,30,1,0,32,55,0.193,0.323,0.353,0.676,76,0.308,79,66,4,5,0,2,1,53H/D,0
Jarrod Dyson*,34,OF,1.4,130,452,400,65,92,11,2,7,27,30,4,47,86,0.23,0.313,0.32,0.633,66,0.292,61,128,1,2,1,2,0,*89H7,0
Ildemaro Vargas#,27,2B,0.6,92,211,201,25,54,9,1,6,24,1,0,9,24,0.269,0.299,0.413,0.712,82,0.312,82,83,6,0,0,1,0,4H5/679,0
Alex Avila*,32,C,1.4,63,201,164,22,34,8,0,9,24,1,0,36,68,0.207,0.353,0.421,0.774,100,0.331,95,69,8,1,0,0,7,2/H1,0
Tim Locastro,26,LF,0.5,91,250,212,38,53,12,2,1,17,17,0,14,44,0.25,0.357,0.34,0.697,84,0.334,87,72,1,22,1,1,0,7H98,0
Josh Rojas*,25,LF,-0.1,41,157,138,17,30,7,0,2,16,4,2,18,41,0.217,0.312,0.312,0.624,64,0.287,65,43,3,1,0,0,0,7/9H4,0
Kevin Cron,26,1B,0.1,39,78,71,12,15,4,0,6,16,0,1,4,28,0.211,0.269,0.521,0.79,98,0.328,99,37,2,2,0,1,0,H3/D5,0
Blake Swihart#,27,OF,-0.9,31,70,66,9,9,0,0,3,9,0,0,4,29,0.136,0.186,0.273,0.458,17,0.198,0,18,2,0,0,0,0,H7/93,0
