Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Anthony Rizzo*,29,1B,4.3,146,613,512,89,150,29,3,27,94,5,2,71,86,0.293,0.405,0.52,0.924,139,0.395,143,266,15,27,0,3,3,*3/H,GG,Left,No
Kyle Schwarber*,26,LF,2.3,155,610,529,82,132,29,3,38,92,2,3,70,156,0.25,0.339,0.531,0.871,122,0.362,121,281,6,5,0,6,5,*7H/D2,0,Left,No
Javier Báez,26,SS,6.6,138,561,531,89,149,38,4,29,85,11,7,28,156,0.281,0.316,0.531,0.847,115,0.351,113,282,16,0,0,2,3,*6/HD5,AS,Right,No
Kris Bryant,27,3B,4.4,147,634,543,108,153,35,1,31,77,4,0,74,145,0.282,0.382,0.521,0.903,132,0.389,137,283,10,15,0,2,1,*597/3DH,AS,Right,No
Willson Contreras,27,C,3.2,105,409,360,57,98,18,2,24,64,1,2,38,102,0.272,0.355,0.533,0.888,127,0.369,126,192,4,9,0,2,2,2/H397D,AS,Right,No
Jason Heyward*,29,RF,2.4,147,589,513,78,129,20,4,21,62,8,3,68,110,0.251,0.343,0.429,0.772,100,0.338,102,220,12,5,0,3,5,*98/H,0,Left,No
David Bote,26,IF,2.2,127,356,303,47,78,17,0,11,41,5,1,44,93,0.257,0.362,0.422,0.785,104,0.351,110,128,11,7,0,2,4,54H/69,0,Right,No
Nick Castellanos,27,RF,1.8,51,225,212,43,68,21,0,16,36,0,1,10,47,0.321,0.356,0.646,1.002,153,0.413,158,137,5,2,0,1,0,97,0,Right,No
Victor Caratini#,25,C,0.9,95,279,244,31,65,11,0,11,34,1,0,29,59,0.266,0.348,0.447,0.794,105,0.348,109,109,6,3,0,3,0,23H/15,0,Both,No
Albert Almora,25,CF,-0.7,130,363,339,41,80,11,1,12,32,2,1,16,62,0.236,0.271,0.381,0.651,67,0.286,64,129,8,1,5,2,4,*8H,0,Right,No
Ian Happ#,24,UT,1.3,58,156,140,25,37,7,1,11,30,2,0,15,39,0.264,0.333,0.564,0.898,128,0.377,128,79,1,0,0,1,0,H748/593,0,Both,No
Addison Russell,25,2B,0.6,82,241,215,25,51,4,1,9,23,2,0,20,58,0.237,0.308,0.391,0.699,81,0.299,72,84,7,3,1,2,2,46/H,0,Right,No
Nico Hoerner,22,SS,0.3,20,82,78,13,22,1,1,3,17,0,0,3,11,0.282,0.305,0.436,0.741,90,0.308,81,34,3,0,0,1,1,6/48H,0,Right,No
Ben Zobrist#,38,2B,-0.3,47,176,150,24,39,5,0,1,17,0,0,23,24,0.26,0.358,0.313,0.671,79,0.305,78,47,6,1,0,2,0,49/7H16D,0,Both,No
Daniel Descalso*,32,2B,-0.9,82,194,168,20,29,5,1,2,15,2,1,23,57,0.173,0.271,0.25,0.521,38,0.243,33,42,3,0,1,1,0,4H/5D13,0,Left,No
Tony Kemp*,27,UT,-0.1,44,93,82,8,15,3,2,1,12,0,1,7,18,0.183,0.258,0.305,0.563,46,0.249,42,25,2,2,0,2,0,H4/798,0,Left,No
Robel García#,26,2B,0.0,31,80,72,8,15,2,2,5,11,0,0,7,35,0.208,0.275,0.5,0.775,95,0.317,87,36,2,0,0,1,0,4H/79D,0,Both,No
Jonathan Lucroy,33,C,-0.4,27,60,53,2,10,2,0,1,6,0,0,6,12,0.189,0.283,0.283,0.566,49,0.247,36,15,2,1,0,0,1,2/H3,0,Right,No
Jon Lester*,35,P,0.5,28,53,48,6,9,2,0,1,6,0,0,5,20,0.188,0.264,0.292,0.556,45,0.265,50,14,1,0,0,0,0,1/H,0,Left,No
Mark Zagunis,26,OF,-0.1,30,40,36,2,9,3,0,0,5,0,0,4,16,0.25,0.325,0.333,0.658,73,0.309,81,12,1,0,0,0,0,H/97,0,Right,No
Kyle Hendricks,29,P,0.2,29,64,54,1,8,1,0,0,5,0,0,2,29,0.148,0.193,0.167,0.36,-4,0.183,-22,9,1,1,7,0,0,1/H,0,Right,No
Cole Hamels*,35,P,0.0,24,46,42,1,6,1,0,0,4,0,0,1,15,0.143,0.178,0.167,0.344,-9,0.155,-32,7,2,1,1,1,0,1,0,Left,No
