Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Alex Bregman,25,3B,8.9,156,690,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,0.421,161,328,9,9,0,8,2,56/D,"AS,MVP-2,SS",Right,No,No,No,No,No,No,No
Yuli Gurriel,35,1B,3.9,144,612,564,85,168,40,2,31,104,5,3,37,65,0.298,0.343,0.541,0.884,126,0.37,126,305,12,5,0,6,2,*35/4DH,0,Right,No,No,No,No,No,No,No
George Springer,29,OF,6.4,122,556,479,96,140,20,3,39,96,6,2,67,113,0.292,0.383,0.591,0.974,150,0.407,151,283,12,6,0,4,1,*89D/H,"AS,MVP-7,SS",Right,No,No,No,No,No,No,No
Michael Brantley*,32,LF,4.8,148,637,575,88,179,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,126,0.37,126,289,21,7,0,4,3,*7D/9H,AS,Left,No,No,No,No,No,No,No
Yordan Alvarez*,22,DH,3.7,87,369,313,58,98,26,0,27,78,0,0,52,94,0.313,0.412,0.655,1.067,173,0.436,173,205,9,2,0,2,4,D7/H,ROY-1,Left,No,No,No,No,No,No,No
Jose Altuve,29,2B,3.8,124,548,500,89,149,27,3,31,74,6,5,41,82,0.298,0.353,0.55,0.903,131,0.372,129,275,19,3,1,3,0,*4/DH6,0,Right,No,No,No,No,No,No,No
Carlos Correa,24,SS,3.7,75,321,280,42,78,16,1,21,59,1,0,35,75,0.279,0.358,0.568,0.926,137,0.385,136,159,8,2,0,4,0,6,0,Right,No,No,No,No,No,No,No
Robinson Chirinos,35,C,3.9,114,437,366,57,87,22,1,17,58,1,2,51,125,0.238,0.347,0.443,0.79,105,0.351,114,162,11,13,2,5,1,*2/H,0,Right,No,No,No,No,No,No,No
Josh Reddick*,32,RF,1.3,141,550,501,57,138,19,3,14,56,5,2,36,66,0.275,0.319,0.409,0.728,89,0.315,87,205,9,0,1,9,1,*97H/83D,0,Left,No,No,No,No,No,No,No
Aledmys Díaz,28,IF,1.1,69,247,210,36,57,12,1,9,40,2,0,26,28,0.271,0.356,0.467,0.823,114,0.361,118,98,10,5,0,6,1,345H/67D,0,Right,No,No,No,No,No,No,No
