Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Jorge Soler,27,DH,3.5,162,679,589,95,156,33,1,48,117,3,1,73,178,0.265,0.354,0.569,0.922,137,0.388,139,335,16,10,0,4,3,D9/H,MVP-21,Right,No
Hunter Dozier,27,3B,2.8,139,586,523,75,146,29,10,26,84,2,2,55,148,0.279,0.348,0.522,0.87,124,0.362,122,273,9,3,0,5,2,59D/3H,0,Right,No
Alex Gordon*,35,LF,0.9,150,633,556,77,148,31,1,13,76,5,3,51,100,0.266,0.345,0.396,0.741,95,0.323,94,220,13,19,1,6,4,*7/1DH,GG,Left,No
Whit Merrifield,30,2B,3.6,162,735,681,105,206,41,10,16,74,20,10,45,126,0.302,0.348,0.463,0.811,111,0.349,113,315,8,5,0,4,5,498/D37,AS,Right,No
Adalberto Mondesí#,23,SS,2.1,102,443,415,58,109,20,10,9,62,43,7,19,132,0.263,0.291,0.424,0.715,85,0.321,82,176,6,0,3,6,0,6/DH,0,Both,No
Cheslor Cuthbert,26,CI,-0.9,87,330,309,24,76,14,0,9,40,1,0,19,67,0.246,0.294,0.379,0.673,76,0.293,72,117,14,2,0,0,1,35H/D,0,Right,No
Ryan O'Hearn*,25,1B,-1.5,105,370,328,32,64,13,1,14,38,0,1,39,99,0.195,0.281,0.369,0.65,69,0.276,62,121,7,1,0,2,1,3H/7D,0,Left,No
Nicky Lopez*,24,MI,-0.2,103,402,379,44,91,22,2,2,30,1,1,18,51,0.24,0.276,0.325,0.601,58,0.266,54,123,5,1,4,0,0,46/HD,0,Left,No
Martín Maldonado,32,C,1.0,74,263,238,26,54,15,0,6,17,0,0,17,55,0.227,0.291,0.366,0.657,72,0.297,75,87,9,5,2,1,0,2/H,0,Right,No
Meibrys Viloria*,22,C,-0.2,42,148,133,7,28,7,0,1,15,0,1,10,44,0.211,0.259,0.286,0.544,44,0.251,45,38,4,0,1,4,0,2/DH,0,Left,No
Lucas Duda*,33,1B,-1.0,39,119,105,7,18,4,0,4,15,0,0,11,32,0.171,0.252,0.324,0.576,50,0.253,44,34,3,1,0,2,1,3D/H,0,Left,No
Bubba Starling,26,RF,-1.1,56,197,186,26,40,7,0,4,12,2,0,9,56,0.215,0.255,0.317,0.572,50,0.248,39,59,4,1,1,0,0,89/7H,0,Right,No
Cam Gallagher,26,C,0.1,45,142,126,14,30,7,0,3,12,0,1,11,28,0.238,0.312,0.365,0.677,78,0.297,78,46,3,3,1,1,0,2/H,0,Right,No
Billy Hamilton,28,CF,0.6,93,305,275,32,58,12,2,0,12,18,5,25,74,0.211,0.275,0.269,0.544,45,0.255,42,74,1,0,3,2,0,8/HD,0,Right,No
Kelvin Gutiérrez,24,3B,0.3,20,79,73,4,19,2,1,1,11,1,0,5,24,0.26,0.304,0.356,0.66,73,0.288,67,26,2,0,0,1,0,5/D,0,Right,No
Chris Owings,27,UT,-1.0,40,145,135,9,18,4,1,2,9,4,1,8,55,0.133,0.193,0.222,0.415,9,0.194,1,30,1,2,0,0,0,45/89617H,0,Right,No
Nick Dini,25,C,0.1,20,64,56,11,11,3,0,2,6,0,0,4,18,0.196,0.27,0.357,0.627,63,0.284,66,20,1,2,1,1,0,2/H,0,Right,No
Ryan McBroom,27,UT,-0.2,23,83,75,8,22,5,0,0,6,0,0,7,25,0.293,0.361,0.36,0.721,92,0.32,91,27,3,1,0,0,0,9/3H7,0,Right,No
Brett Phillips*,25,CF,0.3,30,79,65,7,9,2,0,2,6,3,0,10,23,0.138,0.247,0.262,0.508,35,0.248,33,17,1,0,2,2,0,8/H79D,0,Left,No
Humberto Arteaga,25,SS,-0.7,41,135,122,11,24,4,0,0,4,1,1,8,28,0.197,0.258,0.23,0.487,31,0.254,46,28,2,2,3,0,0,6/4H15,0,Right,No
Erick Mejia#,24,UT,0.0,9,27,22,3,5,1,0,0,4,0,0,4,7,0.227,0.333,0.273,0.606,64,0.273,58,6,1,0,0,1,0,/8H46,0,Both,No
Jorge Bonifacio,26,OF,0.0,5,21,20,3,7,3,0,0,3,0,0,1,7,0.35,0.381,0.5,0.881,130,0.371,127,10,0,0,0,0,0,/97,0,Right,No
Terrance Gore,28,OF,0.1,37,58,51,13,14,2,1,0,1,13,5,6,18,0.275,0.362,0.353,0.715,91,0.319,86,18,0,1,0,0,0,H9/78D,0,Right,No
Brad Keller,23,P,0.0,3,10,8,0,1,0,0,0,1,0,0,1,5,0.125,0.222,0.125,0.347,-4,0.176,-22,1,0,0,1,0,0,1,0,Right,No
Frank Schwindel,27,1B,-0.3,6,15,15,0,1,0,0,0,0,0,0,0,2,0.067,0.067,0.067,0.133,-65,0.171,-13,1,0,0,0,0,0,/3H,0,Right,No
Danny Duffy*,30,P,0.0,2,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,33,0.199,6,1,0,0,0,0,0,1,0,Left,No
Jakob Junis,26,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Right,No
Jorge López,26,P,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-354,0,0,0,1,0,0,1,0,Right,No
Glenn Sparkman,27,P,0.0,3,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Right,No
Mike Montgomery*,29,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,1,0,Left,No
Homer Bailey,33,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,1,0,Right,No
