Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Mike Trout,27,CF,7.9,134,600,470,110,137,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,182,0.444,181,303,5,16,0,4,14,*8D/H,"AS,MVP-1,SS",Right,No,No,No,No,No,No,No
Albert Pujols,39,1B,0.3,131,545,491,55,120,22,0,23,93,3,0,43,68,0.244,0.305,0.43,0.734,92,0.32,92,211,21,3,0,8,1,3D/H5,0,Right,No,No,No,No,No,No,No
Kole Calhoun*,31,RF,1.6,152,632,552,92,128,29,1,33,74,4,1,70,162,0.232,0.325,0.467,0.792,107,0.339,106,258,14,7,0,2,7,*9/H8,0,Left,No,No,No,No,No,No,No
Shohei Ohtani*,24,DH,2.5,106,425,384,51,110,20,5,18,62,12,3,33,110,0.286,0.343,0.505,0.848,121,0.37,127,194,6,2,0,4,1,DH,0,Left,No,No,No,No,No,No,No
David Fletcher,25,3B,3.8,154,653,596,83,173,30,4,6,49,8,3,55,64,0.29,0.35,0.384,0.734,95,0.326,98,229,8,0,1,1,2,5467/9H,0,Right,No,No,No,No,No,No,No
Brian Goodwin*,28,LF,2.2,136,458,413,65,108,29,3,17,47,7,3,38,129,0.262,0.326,0.47,0.796,108,0.34,107,194,3,3,1,3,2,*78H9/D,0,Left,No,No,No,No,No,No,No
Tommy La Stella*,30,IF,1.9,80,321,292,49,86,8,0,16,44,0,0,20,28,0.295,0.346,0.486,0.832,118,0.357,120,142,8,3,0,0,0,45/H3D,AS,Left,No,No,No,No,No,No,No
Justin Upton,31,LF,-0.9,63,256,219,34,47,8,0,12,40,1,1,32,78,0.215,0.309,0.416,0.724,90,0.313,89,91,5,0,0,5,0,7/DH,0,Right,No,No,No,No,No,No,No
Andrelton Simmons,29,SS,1.5,103,424,398,47,105,19,0,7,40,10,2,24,37,0.264,0.309,0.364,0.673,78,0.295,74,145,21,2,0,0,1,6/DH,0,Right,No,No,No,No,No,No,No
Luis Rengifo#,22,2B,1.1,108,406,357,44,85,18,3,7,33,2,5,40,93,0.238,0.321,0.364,0.685,82,0.307,88,130,6,5,1,3,0,46/H,0,Both,No,No,No,No,No,No,No
Jonathan Lucroy,33,C,-0.7,74,268,240,28,58,8,1,7,30,0,0,21,39,0.242,0.31,0.371,0.681,80,0.293,75,89,15,4,0,3,0,2/3DH,0,Right,No,No,No,No,No,No,No
Justin Bour*,31,1B,-0.6,52,170,151,18,26,5,0,8,26,0,0,17,52,0.172,0.259,0.364,0.623,63,0.277,63,55,7,1,0,1,0,3H/D,0,Left,No,No,No,No,No,No,No
Matt Thaiss*,24,3B,0.3,53,164,147,17,31,7,0,8,23,0,0,17,52,0.211,0.293,0.422,0.714,86,0.302,81,62,4,0,0,0,0,53/H,0,Left,No,No,No,No,No,No,No
Kevan Smith,31,C,0.5,67,211,191,21,48,12,0,5,20,2,0,16,37,0.251,0.318,0.393,0.71,87,0.313,87,75,8,3,0,1,0,2/DH,0,Right,No,No,No,No,No,No,No
César Puello,28,LF,0.6,12,50,41,6,16,3,0,3,12,0,0,3,8,0.39,0.5,0.683,1.183,210,0.488,211,28,1,6,0,0,0,7,0,Right,No,No,No,No,No,No,No
Zack Cozart,33,3B,-1.2,38,107,97,4,12,2,0,0,7,0,0,5,16,0.124,0.178,0.144,0.322,-12,0.152,-25,14,2,2,0,3,0,5/6H4,0,Right,No,No,No,No,No,No,No
Dustin Garneau,31,C,0.7,28,82,69,11,16,3,0,2,7,0,0,8,18,0.232,0.346,0.362,0.708,89,0.336,104,25,1,4,0,0,0,2/3H,0,Right,No,No,No,No,No,No,No
Wilfredo Tovar,27,SS,-0.1,31,88,83,5,16,5,0,0,5,0,0,5,15,0.193,0.239,0.253,0.492,31,0.226,27,21,0,0,0,0,0,6/H,0,Right,No,No,No,No,No,No,No
Jared Walsh*,25,1B,-0.3,31,87,79,6,16,5,1,1,5,0,0,6,35,0.203,0.276,0.329,0.605,60,0.26,51,26,0,2,0,0,1,3/H1,0,Left,No,No,No,No,No,No,No
Anthony Bemboom*,29,C,-0.5,22,51,49,2,5,0,0,1,3,0,0,1,19,0.102,0.12,0.163,0.283,-26,0.121,-49,8,0,0,1,0,0,2,0,Left,No,No,No,No,No,No,No
Michael Hermosillo,24,OF,0.0,18,46,36,7,5,1,1,0,3,2,0,5,19,0.139,0.304,0.222,0.527,45,0.266,48,8,1,4,0,1,0,7/89H,0,Right,No,No,No,No,No,No,No
Max Stassi,28,C,-0.8,20,49,42,3,3,0,0,0,2,0,0,5,15,0.071,0.163,0.071,0.235,-33,0.123,-45,3,2,0,0,2,0,2,0,Right,No,No,No,No,No,No,No
Taylor Ward,25,UT,-0.9,20,48,42,4,8,3,0,1,2,0,0,6,23,0.19,0.292,0.333,0.625,66,0.276,63,14,1,0,0,0,0,/7H5D,0,Right,No,No,No,No,No,No,No
Peter Bourjos,32,OF,-0.3,26,46,44,4,4,1,0,0,2,2,0,1,15,0.091,0.109,0.114,0.222,-41,0.107,-63,5,1,0,0,1,0,78/HD45,0,Right,No,No,No,No,No,No,No
Kaleb Cowart#,27,IF,-0.1,9,26,25,1,4,3,0,0,1,1,0,1,7,0.16,0.192,0.28,0.472,23,0.209,10,7,2,0,0,0,0,/54H,0,Both,No,No,No,No,No,No,No
Jarrett Parker*,30,LF,-0.1,5,15,12,1,0,0,0,0,0,0,0,3,8,0.0,0.2,0.0,0.2,-38,0.139,-33,0,0,0,0,0,0,/7,0,Left,No,No,No,No,No,No,No
Kean Wong*,24,2B,-0.1,1,4,4,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,/4H,0,Left,No,No,No,No,No,No,No
Trevor Cahill,31,P,0.0,2,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,79,0.295,76,1,0,0,0,0,0,1/H,0,Right,No,No,No,No,No,No,No
Tyler Skaggs*,27,P,0.0,2,3,2,0,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,3,0.232,32,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Griffin Canning,23,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Félix Peña,29,P,0.0,3,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1/H,0,Right,No,No,No,No,No,No,No
José Suarez*,21,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Jaime Barria,22,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Chris Stratton,28,P,-0.1,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-132,0,1,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No
Patrick Sandoval*,22,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Cody Allen,30,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Adalberto Mejía,26,P,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Hansel Robles,28,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Noé Ramirez,29,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Jake Jewell,26,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Luis García,32,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Taylor Cole,29,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Ty Buttrey*,26,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Cam Bedrosian,27,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Luke Bard,28,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Justin Anderson*,26,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
