Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
DJ LeMahieu,30,2B,5.6,145,655,602,109,197,33,2,26,102,5,2,46,90,0.327,0.375,0.518,0.893,136,0.382,139,312,14,2,1,4,0,453/HD,"AS,MVP-4,SS",Right,No,No,No,No,No,No,No,No,No
Gleyber Torres,22,MI,3.0,144,604,546,96,152,26,0,38,90,5,2,48,129,0.278,0.337,0.535,0.871,128,0.361,124,292,10,3,1,6,3,64/DH,"AS,MVP-17",Right,No,No,No,No,No,No,No,No,No
Gary Sánchez,26,C,3.1,106,446,396,62,92,12,1,34,77,0,1,40,125,0.232,0.316,0.525,0.841,119,0.354,120,208,3,9,0,1,3,2D/H,AS,Right,No,No,No,No,No,No,No,No,No
Brett Gardner*,35,CF,4.3,141,550,491,86,123,26,7,28,74,10,2,52,108,0.251,0.325,0.503,0.829,117,0.352,116,247,6,4,0,3,0,*87/HD,0,Left,No,No,No,No,No,No,No,No,No
Gio Urshela,27,3B,3.8,132,476,442,73,139,34,0,21,74,1,1,25,87,0.314,0.355,0.534,0.889,133,0.372,133,236,13,5,0,4,1,*5H/D37,0,Right,No,No,No,No,No,No,No,No,No
Luke Voit,28,1B,1.3,118,510,429,72,113,21,1,21,62,0,0,71,142,0.263,0.378,0.464,0.842,124,0.364,126,199,12,9,0,1,2,3D/H,0,Right,No,No,No,No,No,No,No,No,No
Didi Gregorius*,29,SS,0.4,82,344,324,47,77,14,2,16,61,2,1,17,53,0.238,0.276,0.441,0.718,87,0.306,86,143,5,1,0,2,1,6/DH,0,Left,No,No,No,No,No,No,No,No,No
Aaron Judge,27,RF,5.6,102,447,378,75,103,18,1,27,55,3,2,64,141,0.272,0.381,0.54,0.921,143,0.393,148,204,11,3,0,1,4,9D/H,0,Right,No,No,No,No,No,No,No,No,No
Mike Tauchman*,28,LF,4.0,87,296,260,46,72,18,1,13,47,6,0,34,71,0.277,0.361,0.504,0.865,128,0.374,130,131,9,1,0,1,0,798/H,0,Left,No,No,No,No,No,No,No,No,No
Clint Frazier,24,RF,-0.1,69,246,225,31,60,14,0,12,38,1,2,16,70,0.267,0.317,0.489,0.806,111,0.337,110,110,2,2,0,3,1,97D/H,0,Right,No,No,No,No,No,No,No,No,No
