Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Bryce Harper*,26,RF,4.4,157,682,573,98,149,36,1,35,114,15,3,99,178,0.26,0.372,0.51,0.882,126,0.373,125,292,10,6,0,4,11,*9/HD,0,Left,No
Rhys Hoskins,26,1B,2.0,160,705,570,86,129,33,5,29,85,2,2,116,173,0.226,0.364,0.454,0.819,111,0.353,112,259,10,11,0,6,6,*3/D,0,Right,No
J.T. Realmuto,28,C,4.5,145,593,538,92,148,36,3,25,83,9,1,41,123,0.275,0.328,0.493,0.82,109,0.355,112,265,12,5,0,8,2,*2H/3D,"AS,MVP-14,GG,SS",Right,No
César Hernández#,29,2B,1.9,161,667,612,77,171,31,3,14,71,9,2,45,100,0.279,0.333,0.408,0.741,92,0.325,91,250,9,6,0,4,4,*4/H,0,Both,No
Jean Segura,29,SS,1.7,144,618,576,79,161,37,4,12,60,10,2,30,73,0.28,0.323,0.42,0.743,91,0.323,89,242,11,8,1,3,1,*6/H,0,Right,No
Maikel Franco,26,3B,-0.2,123,428,389,48,91,17,0,17,56,0,0,36,61,0.234,0.297,0.409,0.705,81,0.297,70,159,14,0,0,3,19,*5H/3,0,Right,No
Scott Kingery,25,CF,2.5,126,500,458,64,118,34,4,19,55,15,4,34,147,0.258,0.315,0.474,0.788,101,0.338,99,217,3,5,1,2,1,85647/H9,0,Right,No
Corey Dickerson*,30,LF,0.4,34,137,133,13,39,10,2,8,34,0,0,3,33,0.293,0.307,0.579,0.886,122,0.367,122,77,1,0,0,1,0,7/H,0,Left,No
Jay Bruce*,32,LF,0.4,51,149,145,16,32,6,0,12,31,0,0,3,29,0.221,0.235,0.51,0.745,85,0.309,80,74,4,0,0,1,0,7H/D,0,Left,No
Andrew McCutchen,32,LF,1.8,59,262,219,45,56,12,1,10,29,2,1,43,55,0.256,0.378,0.457,0.834,116,0.363,120,100,1,0,0,0,0,78/D,0,Right,No
Adam Haseley*,23,OF,1.8,67,242,222,30,59,14,0,5,26,4,0,14,60,0.266,0.324,0.396,0.72,86,0.32,85,88,7,5,1,0,1,879/H,0,Left,No
Brad Miller*,29,UT,1.1,66,130,118,22,31,3,1,12,21,1,0,11,35,0.263,0.331,0.61,0.941,136,0.4,144,72,2,1,0,0,0,H57/69,0,Left,No
Odúbel Herrera*,27,CF,-0.5,39,139,126,12,28,10,1,1,16,2,2,11,33,0.222,0.288,0.341,0.629,63,0.27,55,43,0,1,0,1,0,8/H,0,Left,No
Sean Rodríguez,34,UT,0.6,76,139,112,24,25,5,0,4,12,1,1,19,41,0.223,0.348,0.375,0.723,89,0.331,97,42,2,3,4,1,0,H56/794183D,0,Right,No
Roman Quinn#,26,CF,-0.2,44,122,108,18,23,3,1,4,11,8,0,12,34,0.213,0.298,0.37,0.668,72,0.301,63,40,2,1,1,0,0,8H/1,0,Both,No
Andrew Knapp#,27,C,0.1,74,160,136,12,29,9,0,2,8,0,0,18,51,0.213,0.318,0.324,0.642,68,0.283,61,44,2,3,3,0,2,2H/3,0,Both,No
Phil Gosselin,30,UT,-0.4,44,68,65,5,17,3,0,0,7,0,0,3,16,0.262,0.294,0.308,0.602,57,0.266,49,20,1,0,0,0,0,H/765,0,Right,No
Nick Williams*,25,LF,-1.1,67,112,106,9,16,4,0,2,5,0,0,4,43,0.151,0.196,0.245,0.442,14,0.203,4,26,1,2,0,0,0,H7/9,0,Left,No
Jake Arrieta,33,P,0.1,23,50,45,2,7,1,0,0,4,0,0,1,19,0.156,0.174,0.178,0.352,-8,0.175,-26,8,1,0,4,0,0,1,0,Right,No
Logan Morrison*,31,1B,-0.1,29,38,35,5,7,1,0,2,3,0,0,3,10,0.2,0.263,0.4,0.663,69,0.306,78,14,1,0,0,0,0,H/3D,0,Left,No
Vince Velasquez,27,P,0.6,33,36,30,2,7,0,0,1,3,0,0,2,9,0.233,0.281,0.333,0.615,59,0.268,44,10,1,0,4,0,0,1/H7,0,Right,No
Zach Eflin,25,P,0.1,31,52,50,3,8,1,0,0,2,0,0,0,27,0.16,0.16,0.18,0.34,-12,0.163,-30,9,0,0,2,0,0,1,0,Right,No
Aaron Nola,26,P,0.3,32,70,59,6,7,2,0,0,2,0,0,6,35,0.119,0.2,0.153,0.353,-6,0.211,3,9,0,0,5,0,0,1,0,Right,No
José Pirela,29,OF,0.1,12,19,17,1,4,1,0,1,2,0,0,2,4,0.235,0.316,0.471,0.786,100,0.328,94,8,0,0,0,0,0,/H79,0,Right,No
Deivy Grullón,23,C,-0.2,4,9,9,0,1,1,0,0,1,0,0,0,2,0.111,0.111,0.222,0.333,-17,0.136,-44,2,1,0,0,0,0,/2HD,0,Right,No
Aaron Altherr,28,OF,-0.5,22,30,29,2,1,1,0,0,1,0,0,1,9,0.034,0.067,0.069,0.136,-65,0.093,-75,2,1,0,0,0,0,H/8917,0,Right,No
Rob Brantly*,29,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-142,0,0,0,0,0,0,/H,0,Left,No
Mitch Walding*,26,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-142,0,0,0,0,0,0,/H,0,Left,No
Dylan Cozens*,25,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-142,0,0,0,0,0,0,/H,0,Left,No
Nick Pivetta,26,P,-0.1,29,27,25,1,2,0,0,0,0,0,0,1,19,0.08,0.115,0.08,0.195,-47,0.091,-82,2,0,0,1,0,0,1,0,Right,No
