Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Josh Bell#,26,1B,2.8,143,613,527,94,146,37,3,37,116,0,1,74,118,0.277,0.367,0.569,0.936,142,0.384,139,300,11,5,0,7,13,*3/DH,AS,Both,No,No,No,No,No,No,No
Starling Marte,30,CF,2.9,132,586,539,97,159,31,6,23,82,25,6,25,94,0.295,0.342,0.503,0.845,119,0.364,120,271,15,16,2,4,1,*8/H,0,Right,No,Yes,No,No,No,No,No
Colin Moran*,26,3B,-1.0,149,503,466,46,129,30,1,13,80,0,1,30,117,0.277,0.322,0.429,0.751,96,0.321,94,200,13,3,0,4,4,*5H4/37,0,Left,No,No,No,No,No,No,No
Bryan Reynolds#,24,LF,4.2,134,546,491,83,154,37,4,16,68,3,2,46,121,0.314,0.377,0.503,0.88,130,0.381,137,247,9,6,0,3,0,*798/H,ROY-4,Both,No,No,No,No,No,No,No
Kevin Newman,25,SS,3.0,130,531,493,61,152,20,6,12,64,16,8,28,62,0.308,0.353,0.446,0.8,110,0.357,119,220,5,7,2,1,2,64H/57,0,Right,No,No,No,No,No,No,No
Adam Frazier*,27,2B,2.5,152,608,554,80,154,33,7,10,50,5,5,40,75,0.278,0.336,0.417,0.753,98,0.328,100,231,6,9,4,1,4,*4H,0,Left,No,No,No,No,No,No,No
Melky Cabrera#,34,RF,-1.3,133,397,378,43,106,22,1,7,47,2,0,17,41,0.28,0.313,0.399,0.713,87,0.32,91,151,14,1,1,0,3,9H7/D,0,Both,No,No,No,No,No,No,No
José Osuna,26,UT,-0.2,95,285,261,41,69,20,0,10,36,0,0,18,48,0.264,0.31,0.456,0.766,99,0.326,97,119,6,1,0,4,0,3H95/17,0,Right,No,No,No,No,No,No,No
Elias Díaz,28,C,-1.1,101,332,303,31,73,14,0,2,28,0,0,23,56,0.241,0.296,0.307,0.603,60,0.283,66,93,11,2,1,3,0,2H,0,Right,No,No,No,No,No,No,No
Corey Dickerson*,30,LF,0.5,44,142,127,20,40,18,0,4,25,1,0,13,23,0.315,0.373,0.551,0.924,140,0.374,131,70,3,0,0,2,4,7H,0,Left,No,No,No,No,No,No,No
Jung Ho Kang,32,3B,-0.3,65,185,172,15,29,7,1,10,24,0,0,11,60,0.169,0.222,0.395,0.617,58,0.281,64,68,4,1,0,1,0,5H6,0,Right,No,No,No,No,No,No,No
Pablo Reyes,25,UT,-1.0,71,157,143,18,29,7,2,2,19,1,1,13,36,0.203,0.274,0.322,0.596,57,0.265,54,46,0,1,0,0,0,H798/456,0,Right,No,No,No,No,No,No,No
Gregory Polanco*,27,RF,-0.5,42,167,153,23,37,8,1,6,17,3,1,12,49,0.242,0.301,0.425,0.726,89,0.308,83,65,4,1,0,0,1,9/HD,0,Left,No,No,No,No,No,No,No
Jacob Stallings,29,C,1.5,71,210,191,26,50,5,0,6,13,0,0,16,40,0.262,0.325,0.382,0.708,87,0.306,81,73,3,2,1,0,5,2H/1,0,Right,No,No,No,No,No,No,No
