Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Kolten Wong*,28.0,9,39,34,4,7,3,0,0,4,2,0,4,6,0.206,0.289,0.294,0.584,10,1.0,0,1,0.0,1.0,/*4,
2.0,Marcell Ozuna,28.0,9,39,37,6,12,4,0,2,5,0,0,1,13,0.324,0.359,0.595,0.954,22,1.0,1,0,0.0,0.0,*/7,
3.0,Paul Goldschmidt,31.0,9,39,37,5,10,4,0,2,2,0,0,2,11,0.27,0.308,0.541,0.848,20,0.0,0,0,0.0,1.0,/*3,
4.0,Yadier Molina,36.0,9,37,33,2,5,0,0,1,3,0,0,1,3,0.152,0.216,0.242,0.459,8,2.0,2,0,1.0,1.0,/*2,
5.0,Dexter Fowler#,33.0,9,37,33,4,2,1,0,0,3,0,0,4,10,0.061,0.162,0.091,0.253,3,0.0,0,0,0.0,0.0,*/89H,
6.0,Tommy Edman#,24.0,9,36,33,3,6,3,1,0,3,0,0,3,7,0.182,0.25,0.333,0.583,11,1.0,0,0,0.0,0.0,*/598,
7.0,Paul DeJong,25.0,9,33,30,3,7,1,0,0,2,0,0,3,14,0.233,0.303,0.267,0.57,8,0.0,0,0,0.0,2.0,/*6,
8.0,Matt Carpenter*,33.0,8,17,13,1,1,0,0,0,3,0,0,3,6,0.077,0.235,0.077,0.312,1,0.0,0,0,1.0,0.0,/*5H,
9.0,Harrison Bader,25.0,6,13,12,2,2,0,0,0,1,1,1,1,6,0.167,0.231,0.167,0.397,2,0.0,0,0,0.0,0.0,/8H,
10.0,José Martínez,30.0,7,13,13,1,7,2,0,0,3,0,0,0,3,0.538,0.538,0.692,1.231,9,0.0,0,0,0.0,0.0,/H9,
11.0,Jack Flaherty,23.0,3,7,6,1,0,0,0,0,1,0,0,1,4,0.0,0.143,0.0,0.143,0,0.0,0,0,0.0,0.0,/1,
12.0,Randy Arozarena,24.0,5,5,4,0,0,0,0,0,0,1,0,0,3,0.0,0.2,0.0,0.2,0,0.0,1,0,0.0,0.0,/H89,
13.0,Adam Wainwright,37.0,3,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
14.0,Miles Mikolas,30.0,3,3,2,0,1,1,0,0,0,0,0,0,1,0.5,0.5,1.0,1.5,2,0.0,0,1,0.0,0.0,/1,
15.0,Matt Wieters#,33.0,3,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
16.0,Dakota Hudson,24.0,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
17.0,Carlos Martínez,27.0,4,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/1,
18.0,Yairo Muñoz,24.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
19.0,Giovanny Gallegos,27.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
20.0,Ryan Helsley,24.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
21.0,Andrew Miller*,34.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
22.0,Génesis Cabrera*,22.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
23.0,John Brebbia*,29.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
24.0,Daniel Ponce de Leon,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
25.0,Tyler Webb*,28.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/1,
