Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Charlie Blackmon*,33,RF,0.9,59,247,221,31,67,12,1,6,42,2,1,19,44,0.303,0.356,0.448,0.804,104,0.351,103,99,4,2,0,5,4,*9/D,0,Left,No,No,No,No,No,No,No
Trevor Story,27,SS,2.6,59,259,235,41,68,13,4,11,28,15,3,24,63,0.289,0.355,0.519,0.874,120,0.384,120,122,5,0,0,0,1,*6/D,MVP-11,Right,No,No,No,No,No,No,No
Nolan Arenado,29,3B,1.5,48,201,182,23,46,9,0,8,26,0,0,15,20,0.253,0.303,0.434,0.738,86,0.313,76,79,7,0,0,4,3,*5,GG,Right,No,No,No,No,No,No,No
Ryan McMahon*,25,2B,0.5,52,193,172,23,37,6,1,9,26,0,1,18,66,0.215,0.295,0.419,0.714,80,0.32,83,72,4,2,0,1,0,453/H6,0,Left,No,No,No,No,No,No,No
Matt Kemp,35,DH,0.1,43,132,117,18,28,3,0,6,21,1,0,15,41,0.239,0.326,0.419,0.745,89,0.324,83,49,5,0,0,0,1,DH/7,0,Right,No,No,No,No,No,No,No
Joshua Fuentes,27,1B,0.9,30,103,98,14,30,7,0,2,17,1,0,2,29,0.306,0.32,0.439,0.759,92,0.335,90,43,1,1,0,2,0,3/5H79,0,Right,No,No,No,No,No,No,No
Raimel Tapia*,26,LF,0.8,51,206,184,26,59,8,2,1,17,8,2,14,38,0.321,0.369,0.402,0.772,98,0.35,99,74,3,2,1,3,0,7D/9H,0,Left,No,No,No,No,No,No,No
Daniel Murphy*,35,1B,-1.1,40,132,123,10,29,3,0,3,16,0,0,7,21,0.236,0.275,0.333,0.608,55,0.261,38,41,3,0,0,1,2,3/HD,0,Left,No,No,No,No,No,No,No
Kevin Pillar,31,CF,0.2,24,97,91,14,28,5,1,2,13,4,1,5,18,0.308,0.351,0.451,0.801,103,0.349,98,41,0,1,0,0,1,8/D9H,0,Right,No,No,No,No,No,No,No
Garrett Hampson,25,UT,0.2,53,184,167,25,39,4,3,5,11,6,1,13,60,0.234,0.287,0.383,0.671,70,0.292,57,64,1,0,3,1,0,48/H76D,0,Right,No,No,No,No,No,No,No
Sam Hilliard*,26,OF,0.2,36,114,105,13,22,2,2,6,10,3,0,9,42,0.21,0.272,0.438,0.71,77,0.305,67,46,0,0,0,0,0,798/HD,0,Left,No,No,No,No,No,No,No
Elias Díaz,29,C,0.0,26,73,68,4,16,2,0,2,9,0,0,5,15,0.235,0.288,0.353,0.641,63,0.295,64,24,4,0,0,0,0,2/HD,0,Right,No,No,No,No,No,No,No
David Dahl*,26,CF,-1.0,24,99,93,9,17,2,2,0,9,1,0,4,28,0.183,0.222,0.247,0.47,20,0.221,11,23,0,1,0,1,0,8/79D,0,Left,No,No,No,No,No,No,No
Tony Wolters*,28,C,-0.3,42,109,100,10,23,4,0,0,8,0,0,6,30,0.23,0.28,0.27,0.55,42,0.268,44,27,1,1,2,0,0,2/4H,0,Left,No,No,No,No,No,No,No
Chris Owings,28,UT,0.2,17,44,41,9,11,1,0,2,5,1,0,3,11,0.268,0.318,0.439,0.757,91,0.332,86,18,0,0,0,0,0,/4H57896,0,Right,No,No,No,No,No,No,No
Drew Butera,36,C,-0.2,28,43,39,4,6,2,0,0,4,0,0,2,11,0.154,0.19,0.205,0.396,2,0.197,-7,8,3,0,1,1,0,2/31,0,Right,No,No,No,No,No,No,No
Brendan Rodgers,23,2B,-0.5,7,21,21,1,2,1,0,0,2,0,0,0,6,0.095,0.095,0.143,0.238,-40,0.102,-70,3,0,0,0,0,0,/4H6D,0,Right,No,No,No,No,No,No,No
