Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Eddie Rosario*,28,LF,1.1,57,231,210,31,54,7,0,13,42,3,1,19,34,0.257,0.316,0.476,0.792,116,0.342,115,100,3,0,0,2,2,*7/DH,MVP-17,Left,No,No,No,No,No,No,No
Nelson Cruz,39,DH,1.9,53,214,185,33,56,6,0,16,33,0,0,25,58,0.303,0.397,0.595,0.992,171,0.416,168,110,8,4,0,0,5,*D/H,"MVP-6,SS",Right,No,No,No,No,No,No,No
Byron Buxton,26,CF,2.1,39,135,130,19,33,3,0,13,27,2,1,2,36,0.254,0.267,0.577,0.844,125,0.348,119,75,2,1,0,2,0,8,MVP-16,Right,No,No,No,No,No,No,No
Miguel Sanó,27,1B,-0.1,53,205,186,31,38,12,0,13,25,0,0,18,90,0.204,0.278,0.478,0.757,105,0.317,97,89,3,1,0,0,1,*3/D,0,Right,No,No,No,No,No,No,No
Max Kepler*,27,RF,1.0,48,196,171,27,39,9,0,9,23,3,0,22,36,0.228,0.321,0.439,0.76,109,0.345,115,75,1,2,0,1,0,*9/8HD,0,Left,No,No,No,No,No,No,No
Marwin González#,31,IF,0.2,53,199,175,15,37,4,0,5,22,0,0,17,41,0.211,0.286,0.32,0.606,69,0.274,67,56,1,3,0,4,0,543/9H,0,Both,No,No,No,No,No,No,No
Jorge Polanco#,26,SS,0.2,55,226,209,22,54,8,0,4,19,4,2,13,35,0.258,0.304,0.354,0.658,82,0.292,80,74,7,1,2,1,0,*6/H,0,Both,No,No,No,No,No,No,No
Jake Cave*,27,CF,0.3,42,123,113,17,25,3,2,4,15,0,2,5,44,0.221,0.285,0.389,0.674,85,0.291,85,44,0,5,0,0,0,89H/7D,0,Left,No,No,No,No,No,No,No
Luis Arráez*,23,2B,0.9,32,121,112,16,36,9,0,0,13,0,0,8,11,0.321,0.364,0.402,0.765,113,0.344,116,45,2,0,0,1,0,4/H,0,Left,No,No,No,No,No,No,No
Josh Donaldson,34,3B,0.5,28,102,81,14,18,2,0,6,11,0,0,18,24,0.222,0.373,0.469,0.842,132,0.359,127,38,4,2,0,1,1,5/H,0,Right,No,No,No,No,No,No,No
Ryan Jeffers,23,C,0.4,26,62,55,5,15,0,0,3,7,0,0,5,19,0.273,0.355,0.436,0.791,119,0.362,129,24,0,2,0,0,0,2/DH,0,Right,No,No,No,No,No,No,No
Mitch Garver,29,C,0.0,23,81,72,8,12,1,0,2,5,0,0,7,37,0.167,0.247,0.264,0.511,42,0.242,45,19,1,1,0,1,0,2/H3,0,Right,No,No,No,No,No,No,No
Brent Rooker,25,OF,0.0,7,21,19,4,6,2,0,1,5,0,0,0,5,0.316,0.381,0.579,0.96,162,0.409,162,11,0,2,0,0,0,/9D7,0,Right,No,No,No,No,No,No,No
Ehire Adrianza#,30,IF,0.1,44,101,89,10,17,7,0,0,3,1,0,11,23,0.191,0.287,0.27,0.557,57,0.259,55,24,3,1,0,0,0,5H/641D,0,Both,No,No,No,No,No,No,No
Willians Astudillo,28,C,0.0,8,16,16,4,4,1,0,1,3,0,0,0,2,0.25,0.25,0.5,0.75,101,0.313,94,8,0,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No
Alex Avila*,33,C,0.5,23,62,49,6,9,2,0,1,2,0,0,11,22,0.184,0.355,0.286,0.641,82,0.305,88,14,2,2,0,0,0,2/DH,0,Left,No,No,No,No,No,No,No
Ildemaro Vargas#,28,2B,-0.2,10,24,22,3,5,1,1,0,2,0,0,1,2,0.227,0.25,0.364,0.614,68,0.254,53,8,1,0,0,1,0,/4H5,0,Both,No,No,No,No,No,No,No
LaMonte Wade Jr.*,26,UT,0.0,16,44,39,3,9,3,0,0,1,1,1,4,9,0.231,0.318,0.308,0.626,76,0.276,73,12,0,1,0,0,0,/38H79D,0,Left,No,No,No,No,No,No,No
Travis Blankenhorn*,23,2B,-0.1,1,4,3,0,1,1,0,0,0,0,0,0,0,0.333,0.5,0.667,1.167,221,0.491,218,2,0,1,0,0,0,/4,0,Left,No,No,No,No,No,No,No
Aaron Whitefield,23,CF,0.1,3,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/8H,0,Right,No,No,No,No,No,No,No
