Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Kyle Seager*,32,3B,1.1,60,248,203,35,49,12,0,9,40,5,0,32,33,0.241,0.355,0.433,0.788,121,0.343,115,88,4,7,0,6,3,*5/DH,0,Left,No,No,No,No,No,No,No,
Kyle Lewis,24,CF,1.6,58,242,206,37,54,3,0,11,28,5,1,34,71,0.262,0.364,0.437,0.801,124,0.355,125,90,5,0,0,2,0,*8/DH,"MVP-17,ROY-1",Right,No,No,No,No,No,No,No,
Evan White,24,1B,0.1,54,202,182,19,32,7,0,8,26,1,2,18,84,0.176,0.252,0.346,0.599,66,0.26,63,63,3,1,0,1,0,*3/H,GG,Right,No,No,No,No,No,No,No,
J.P. Crawford*,25,SS,1.6,53,232,204,33,52,7,2,2,24,6,3,23,39,0.255,0.336,0.338,0.674,91,0.31,96,69,4,3,0,2,0,*6,GG,Left,No,No,No,No,No,No,No,
Austin Nola,30,C,0.9,29,110,98,15,30,5,1,5,19,0,0,9,17,0.306,0.373,0.531,0.903,151,0.39,152,52,1,2,0,1,1,2/H35D,0,Right,No,No,No,No,No,No,No,
José Marmolejos*,27,UT,-0.2,35,115,107,12,22,4,0,6,18,0,1,7,32,0.206,0.261,0.411,0.672,85,0.291,85,44,2,1,0,0,0,7D/3H9,0,Left,No,No,No,No,No,No,No,
Dylan Moore,27,UT,1.7,38,159,137,26,35,9,0,8,17,12,5,14,43,0.255,0.358,0.496,0.855,138,0.381,144,68,4,8,0,0,0,794/3658H,0,Right,No,No,No,No,No,No,No,
Tim Lopes,26,LF,-0.2,46,151,143,16,34,12,0,2,15,5,0,6,34,0.238,0.278,0.364,0.642,79,0.291,77,52,2,2,0,0,0,7D9/H15,0,Right,No,No,No,No,No,No,No,
Ty France,25,IF,0.5,23,94,86,10,26,5,1,2,13,0,0,6,22,0.302,0.362,0.453,0.815,128,0.352,125,39,2,2,0,0,0,4/D5,0,Right,No,No,No,No,No,No,No,
Shed Long Jr.*,24,2B,-0.1,34,128,117,10,20,5,0,3,9,4,0,11,37,0.171,0.242,0.291,0.533,49,0.251,49,34,1,0,0,0,0,4/H7D,0,Left,No,No,No,No,No,No,No,
Luis Torrens,24,C,0.0,18,65,59,5,15,4,0,1,6,0,0,6,13,0.254,0.323,0.373,0.696,96,0.308,94,22,1,0,0,0,0,2/HD,0,Right,No,No,No,No,No,No,No,
Sam Haggerty#,26,UT,0.2,13,54,50,7,13,4,0,1,6,4,0,4,16,0.26,0.315,0.4,0.715,100,0.347,109,20,0,0,0,0,0,7/59D,0,Both,No,No,No,No,No,No,No,
Daniel Vogelbach*,27,DH,-0.5,18,64,53,3,5,1,0,2,4,0,0,11,13,0.094,0.25,0.226,0.476,36,0.22,32,12,1,0,0,0,1,D/H,0,Left,No,No,No,No,No,No,No,
Phil Ervin,27,RF,0.2,18,47,39,5,8,3,0,0,4,0,0,8,14,0.205,0.34,0.282,0.622,79,0.293,84,11,1,0,0,0,0,9/H,0,Right,No,No,No,No,No,No,No,
Braden Bishop,26,OF,0.1,12,34,30,2,5,2,0,0,4,1,0,2,10,0.167,0.242,0.233,0.476,35,0.255,51,7,0,1,1,0,0,/987,0,Right,No,No,No,No,No,No,No,
Dee Strange-Gordon*,32,UT,-0.5,33,82,75,12,15,1,0,0,3,3,2,5,13,0.2,0.268,0.213,0.482,39,0.231,43,16,1,2,0,0,0,47/H6D,0,Left,No,No,No,No,No,No,No,
Mallex Smith*,27,OF,-0.5,14,47,45,2,6,2,0,0,3,2,0,2,13,0.133,0.17,0.178,0.348,-2,0.184,1,8,1,0,0,0,0,9/8,0,Left,No,No,No,No,No,No,No,
Donovan Walton*,26,MI,-0.1,5,14,13,0,2,1,0,0,3,0,1,1,5,0.154,0.214,0.231,0.445,26,0.166,21,3,1,0,0,0,0,/64,0,Left,No,No,No,No,No,No,No,
Joseph Odom,28,C,-0.2,18,44,39,2,5,0,0,0,2,0,0,4,20,0.128,0.209,0.128,0.338,-1,0.209,23,5,1,0,1,0,0,2/H,0,Right,No,No,No,No,No,No,No,
Jake Fraley*,25,OF,0.0,7,29,26,3,4,1,1,0,0,2,1,2,11,0.154,0.241,0.269,0.511,44,0.227,39,7,0,1,0,0,0,/97,0,Left,No,No,No,No,No,No,No,
Joe Hudson,29,C,-0.2,9,20,17,0,3,0,0,0,0,0,0,2,5,0.176,0.263,0.176,0.44,28,0.205,18,3,0,0,1,0,0,/2,0,Right,No,No,No,No,No,No,No,
Dan Altavilla,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Taylor Williams#,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Both,No,No,No,No,No,No,No,
