Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,John Means*,28,SP,3.6,6,9,.400,3.62,26,26,0,1,1,0,146.2,125,64,59,30,26,0,134,4,0,3,590,123,4.62,1.030,7.7,1.8,1.6,8.2,5.15,
2,Matt Harvey,32,SP,-0.7,6,14,.300,6.27,28,28,0,0,0,0,127.2,160,96,89,19,37,1,95,5,0,3,582,71,4.60,1.543,11.3,1.3,2.6,6.7,2.57,
3,Jorge López,28,SP,-0.1,3,14,.176,6.07,33,25,2,0,0,0,121.2,142,83,82,21,56,2,112,10,2,9,555,74,5.20,1.627,10.5,1.6,4.1,8.3,2.00,
4,Keegan Akin*,26,SP,-0.4,2,10,.167,6.63,24,17,1,0,0,0,95.0,110,70,70,17,40,1,82,2,1,5,427,67,5.10,1.579,10.4,1.6,3.8,7.8,2.05,
5,Bruce Zimmermann*,26,SP,0.7,4,5,.444,5.04,14,13,0,0,0,0,64.1,75,37,36,14,22,0,56,2,1,0,285,89,5.38,1.508,10.5,2.0,3.1,7.8,2.55,
6,Dean Kremer,25,SP,-0.9,0,7,.000,7.55,13,13,0,0,0,0,53.2,63,46,45,17,25,0,47,1,0,5,245,59,6.99,1.640,10.6,2.9,4.2,7.9,1.88,
7,Cole Sulser,31,CL,2.3,5,4,.556,2.70,60,0,18,0,0,8,63.1,48,20,19,5,23,0,73,0,1,6,257,166,2.98,1.121,6.8,0.7,3.3,10.4,3.17,
8,Dillon Tate,27,RP,0.9,0,6,.000,4.39,62,0,19,0,0,3,67.2,61,35,33,7,23,0,49,7,0,7,287,102,4.40,1.241,8.1,0.9,3.1,6.5,2.13,
9,Tyler Wells,26,RP,0.9,2,3,.400,4.11,44,0,18,0,0,4,57.0,40,27,26,9,12,0,65,1,1,1,224,109,3.63,0.912,6.3,1.4,1.9,10.3,5.42,
10,Tanner Scott*,26,RP,-0.1,5,4,.556,5.17,62,0,12,0,0,0,54.0,48,34,31,6,37,1,70,6,0,10,251,87,4.41,1.574,8.0,1.0,6.2,11.7,1.89,
