Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Rafael Devers*,24,3B,3.7,156,664,591,101,165,37,1,38,113,5,5,62,143,0.279,0.352,0.538,0.89,134,0.373,133,318,13,7,0,4,7,*5/D4H,"AS,MVP-11,SS",Left,No,No,No,No,No,No,No
J.D. Martinez,33,DH,3.1,148,634,570,92,163,42,3,28,99,0,0,55,150,0.286,0.349,0.518,0.867,128,0.369,128,295,18,3,0,5,6,*D7/9,AS,Right,No,No,No,No,No,No,No
Hunter Renfroe,29,RF,2.4,144,572,521,89,135,33,0,31,96,1,2,44,130,0.259,0.315,0.501,0.816,114,0.35,115,261,6,1,0,6,0,*9/8HD,0,Right,No,No,No,No,No,No,No
Xander Bogaerts,28,SS,5.0,144,603,529,90,156,34,1,23,79,5,1,62,113,0.295,0.37,0.493,0.863,129,0.379,134,261,13,5,0,7,2,*6/DH,"AS,MVP-12,SS",Right,No,No,No,No,No,No,No
Bobby Dalbec,26,1B,0.3,133,453,417,50,100,21,5,25,78,2,0,28,156,0.24,0.298,0.494,0.792,107,0.332,101,206,3,7,0,1,1,*35H/6D,0,Right,No,No,No,No,No,No,No
Alex Verdugo*,25,LF,2.3,146,604,544,88,157,32,2,13,63,6,2,51,96,0.289,0.351,0.426,0.777,107,0.334,103,232,11,4,0,5,6,*789/HD,0,Left,No,No,No,No,No,No,No
Kiké Hernández,29,CF,5.0,134,585,508,84,127,35,3,20,60,1,0,61,110,0.25,0.337,0.449,0.786,108,0.344,110,228,4,9,0,7,0,84/6H,0,Right,No,No,No,No,No,No,No
Christian Vázquez,30,C,1.1,138,498,458,51,118,23,1,6,49,8,4,33,84,0.258,0.308,0.352,0.659,77,0.292,74,161,15,2,1,4,0,*2/HD453,0,Right,No,No,No,No,No,No,No
Christian Arroyo,26,2B,1.5,57,181,164,22,43,12,0,6,25,1,0,8,44,0.262,0.324,0.445,0.769,103,0.34,106,73,1,7,1,0,0,4H/6D13,0,Right,No,No,No,No,No,No,No
Marwin González#,32,2B,-0.3,77,271,242,25,49,14,0,2,20,3,2,19,70,0.202,0.281,0.285,0.567,53,0.258,50,69,5,8,1,1,0,4367/H591,0,Both,No,No,No,No,No,No,No
