Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
José Abreu,34,1B,2.9,152,659,566,86,148,30,2,30,117,1,0,61,143,0.261,0.351,0.481,0.831,124,0.358,124,272,28,22,0,10,3,*3D/5,MVP-14
Yasmani Grandal#,32,C,3.7,93,375,279,60,67,9,0,23,62,0,0,87,82,0.24,0.42,0.52,0.939,155,0.406,159,145,15,3,1,5,0,2/D3H,0
Tim Anderson,28,SS,4.7,123,551,527,94,163,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118,0.357,123,247,5,1,0,1,1,*6,AS
Yoán Moncada#,26,3B,4.0,144,616,520,74,137,33,1,14,61,3,2,84,157,0.263,0.375,0.412,0.787,116,0.346,116,214,6,10,0,2,1,*5/D,0
Leury García#,30,UT,2.1,126,474,415,60,111,22,4,5,54,6,2,41,97,0.267,0.335,0.376,0.711,95,0.32,97,156,12,4,9,5,0,497865/H,0
Andrew Vaughn,23,LF,0.1,127,469,417,56,98,22,0,15,48,1,1,41,101,0.235,0.309,0.396,0.705,91,0.322,100,165,14,6,0,5,0,793/HD54,0
Luis Robert Jr.,23,CF,3.6,68,296,275,42,93,22,1,13,43,6,1,14,61,0.338,0.378,0.567,0.946,154,0.408,158,156,4,5,0,2,1,8/D,0
Eloy Jiménez,24,LF,0.6,55,231,213,23,53,10,0,10,37,0,0,16,57,0.249,0.303,0.437,0.74,99,0.331,105,93,8,1,0,1,0,7D,0
Yermín Mercedes,28,DH,0.5,68,262,240,26,65,9,1,7,37,0,1,20,46,0.271,0.328,0.404,0.732,99,0.331,107,97,7,1,0,1,1,D/H213,0
Gavin Sheets*,25,DH,0.2,54,179,160,23,40,8,0,11,34,0,0,16,40,0.25,0.324,0.506,0.83,122,0.36,126,81,4,2,0,1,0,D93/H7,0
Brian Goodwin*,30,OF,-0.5,72,271,235,33,52,10,1,8,29,1,0,33,58,0.221,0.319,0.374,0.693,89,0.309,89,88,2,1,1,1,0,98/7HD,0
Adam Eaton*,32,RF,0.0,58,219,189,33,38,8,2,5,28,2,0,20,55,0.201,0.298,0.344,0.642,75,0.286,72,65,5,6,4,0,0,9/H7,0
Zack Collins*,26,C,-0.5,78,231,195,25,41,13,0,4,26,1,1,34,69,0.21,0.33,0.338,0.669,84,0.298,83,66,4,1,1,0,1,2H/D3,0
Nick Madrigal,24,2B,1.2,54,215,200,30,61,10,4,2,21,1,2,11,17,0.305,0.349,0.425,0.774,111,0.354,124,85,3,3,0,1,0,4/DH,0
Danny Mendick,27,MI,-0.4,71,186,164,14,36,5,0,2,20,0,1,18,42,0.22,0.303,0.287,0.589,63,0.265,61,47,1,2,1,1,0,46/9H5718D,0
Adam Engel,29,CF,1.5,39,140,123,21,31,9,0,7,18,7,1,11,31,0.252,0.336,0.496,0.832,123,0.359,120,61,4,5,0,1,0,89/7HD,0
César Hernández#,31,2B,-0.7,53,217,194,24,45,4,0,3,15,1,1,21,45,0.232,0.309,0.299,0.608,68,0.266,60,58,5,1,0,1,2,4/6,0
Seby Zavala,27,C,-0.3,37,104,93,15,17,3,0,5,15,0,0,6,41,0.183,0.24,0.376,0.616,65,0.264,56,35,1,1,4,0,0,2/HD,0
Jake Lamb*,30,UT,0.0,43,131,113,20,24,2,0,6,13,0,0,17,38,0.212,0.321,0.389,0.71,93,0.325,101,44,4,1,0,0,0,7/9H5D3,0
Billy Hamilton,30,CF,0.3,71,135,127,23,28,8,3,2,11,9,0,4,47,0.22,0.242,0.378,0.62,66,0.277,55,48,1,0,3,1,0,87H/D9,0
Jake Burger,25,3B,0.4,15,42,38,5,10,3,1,1,3,0,0,4,15,0.263,0.333,0.474,0.807,117,0.404,157,18,2,0,0,0,0,/5DH,0
Romy González,24,UT,-0.1,10,33,32,4,8,3,0,0,2,0,0,1,11,0.25,0.273,0.344,0.616,67,0.262,57,11,1,0,0,0,0,/59H1467D,0
Lance Lynn#,34,P,0.0,2,5,5,0,1,0,0,0,2,0,0,0,3,0.2,0.2,0.2,0.4,10,0.178,-2,1,0,0,0,0,0,1,"AS,CYA-3"
Luis González*,25,OF,0.1,6,11,8,2,2,2,0,0,0,0,0,3,2,0.25,0.455,0.5,0.955,162,0.413,163,4,1,0,0,0,0,/97H,0
Nick Williams*,27,LF,-0.3,4,13,10,2,0,0,0,0,0,0,0,1,4,0.0,0.231,0.0,0.231,-28,0.164,-12,0,1,2,0,0,0,/7DH,0
Dylan Cease,25,P,0.1,3,8,8,1,3,1,0,0,0,0,0,0,3,0.375,0.375,0.5,0.875,137,0.365,129,4,1,0,0,0,0,1,0
Lucas Giolito,26,P,0.0,2,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,38,0.223,29,1,0,0,0,0,0,1,CYA-11
Carlos Rodón*,28,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-128,0,0,0,0,0,0,1,"AS,CYA-5"
Dallas Keuchel*,33,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,1,GG
Michael Kopech,25,P,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0
José Ruiz,26,P,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0
Aaron Bummer*,27,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Codi Heuer,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Ryan Tepera,33,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Ryan Burr,27,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Garrett Crochet*,22,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Matt Foster,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Alex McRae,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Reynaldo López,27,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Craig Kimbrel,33,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS
Liam Hendriks,32,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,"AS,CYA-8"
