Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
C.J. Cron,31,1B,3.3,142,547,470,70,132,31,1,28,92,1,0,60,117,0.281,0.375,0.53,0.905,129,0.393,133,249,11,13,0,4,3,*3H/D,0,Right,No,No,No,No,No,No,No,
Ryan McMahon*,26,3B,3.9,151,596,528,80,134,32,1,23,86,6,2,59,147,0.254,0.331,0.449,0.779,98,0.338,94,237,14,4,0,5,2,*54H,0,Left,No,No,No,No,No,No,No,
Charlie Blackmon*,34,RF,1.0,150,582,514,76,139,25,4,13,78,3,0,54,91,0.27,0.351,0.411,0.761,95,0.34,95,211,8,11,0,3,1,*9H/D,0,Left,No,No,No,No,No,No,No,
Trevor Story,28,SS,4.2,142,595,526,88,132,34,5,24,75,20,6,53,139,0.251,0.329,0.471,0.801,102,0.354,104,248,7,11,0,5,2,*6/HD,0,Right,No,Yes,No,No,No,No,No,
Brendan Rodgers,24,2B,1.4,102,415,387,49,110,21,3,15,51,0,0,19,84,0.284,0.328,0.47,0.798,102,0.347,101,182,8,7,0,2,0,46/H,0,Right,No,No,No,No,No,No,No,
Raimel Tapia*,27,LF,0.9,133,533,487,69,133,26,2,6,50,20,6,40,70,0.273,0.327,0.372,0.699,79,0.316,77,181,8,1,1,4,2,*7H/98,0,Left,No,No,No,No,No,No,No,
Elias Díaz,30,C,2.2,106,371,338,52,83,18,1,18,44,0,0,30,60,0.246,0.31,0.464,0.774,95,0.332,90,157,15,2,0,1,1,2H,0,Right,No,No,No,No,No,No,No,
Connor Joe,28,LF,1.6,63,211,179,23,51,9,0,8,35,0,0,26,41,0.285,0.379,0.469,0.848,116,0.378,123,84,1,3,0,3,0,7H3/D,0,Right,No,No,No,No,No,No,No,
Sam Hilliard*,27,CF,0.6,81,238,214,32,46,7,2,14,34,5,0,23,87,0.215,0.294,0.463,0.757,90,0.331,86,99,0,1,0,0,3,8H79/D,0,Left,No,No,No,No,No,No,No,
Garrett Hampson,26,CF,0.6,147,494,453,69,106,21,6,11,33,17,7,33,118,0.234,0.289,0.38,0.669,70,0.294,62,172,6,3,3,2,2,84H/65,0,Right,No,No,No,No,No,No,No,
