Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Salvador Perez,31,C,5.5,161,665,620,88,169,24,0,48,121,1,0,28,170,0.273,0.316,0.544,0.859,128,0.365,129,337,14,13,0,4,4,*2D/H,"AS,MVP-7,SS",Right,No,No,No,No,No,No,No
Whit Merrifield,32,2B,3.8,162,720,664,97,184,42,3,10,74,40,4,40,103,0.277,0.317,0.395,0.711,93,0.321,90,262,12,4,0,12,1,*49/7D,AS,Right,No,No,No,No,No,No,No
Andrew Benintendi*,26,LF,2.6,134,538,493,63,136,27,2,17,73,8,9,36,97,0.276,0.324,0.442,0.766,106,0.329,107,218,2,2,1,6,0,*7/H,GG,Left,No,No,No,No,No,No,No
Carlos Santana#,35,1B,-0.1,158,659,565,66,121,15,0,19,69,2,0,86,102,0.214,0.319,0.342,0.66,81,0.299,81,193,12,3,0,5,3,*3D/H,0,Both,No,No,No,No,No,No,No
Hunter Dozier,29,RF,-2.4,144,543,487,55,105,27,6,16,54,5,4,43,154,0.216,0.285,0.394,0.68,83,0.289,76,192,12,7,0,6,0,9537D/H,0,Right,No,No,No,No,No,No,No
Michael A. Taylor,30,CF,2.6,142,528,483,58,118,16,1,12,54,14,7,33,144,0.244,0.297,0.356,0.653,77,0.29,76,172,9,5,2,5,0,*8/HD,GG,Right,No,No,No,No,No,No,No
Nicky Lopez*,26,SS,4.4,151,565,497,78,149,21,6,2,43,22,1,49,74,0.3,0.365,0.378,0.744,104,0.339,104,188,9,4,12,3,0,*6/4H,0,Left,No,No,No,No,No,No,No
Jorge Soler,29,DH,-1.3,94,360,308,38,59,16,0,13,37,0,0,38,97,0.192,0.288,0.37,0.658,78,0.296,79,114,9,5,0,3,0,9D/H,0,Right,No,No,No,No,No,No,No
Ryan O'Hearn*,27,DH,-0.9,84,254,236,23,53,5,1,9,29,0,0,13,71,0.225,0.268,0.369,0.636,71,0.284,71,87,7,2,0,3,0,D93H/7,0,Left,No,No,No,No,No,No,No
Hanser Alberto,28,3B,0.5,103,255,241,25,65,20,3,2,24,3,1,4,26,0.27,0.291,0.402,0.693,86,0.298,80,97,1,4,4,2,0,54H6D/1,0,Right,No,No,No,No,No,No,No
Adalberto Mondesí#,25,3B,0.4,35,136,126,19,29,8,1,6,17,15,1,6,43,0.23,0.271,0.452,0.723,92,0.328,86,57,2,1,3,0,0,56/DH,0,Both,No,No,No,No,No,No,No
Edward Olivares,25,OF,0.1,39,111,101,14,24,2,0,5,12,2,2,5,19,0.238,0.291,0.406,0.697,87,0.3,86,41,2,3,1,1,0,97H/8D,0,Right,No,No,No,No,No,No,No
Jarrod Dyson*,36,OF,0.2,77,132,122,13,27,7,2,0,10,8,3,6,28,0.221,0.256,0.311,0.567,54,0.246,41,38,1,0,3,1,0,9H87/D,0,Left,No,No,No,No,No,No,No
Kelvin Gutiérrez,26,3B,-0.8,38,142,135,9,29,4,2,1,8,0,1,6,31,0.215,0.254,0.296,0.55,49,0.242,44,40,3,1,0,0,0,5/3H,0,Right,No,No,No,No,No,No,No
Cam Gallagher,28,C,0.5,48,124,112,9,28,6,0,1,7,0,0,8,20,0.25,0.298,0.33,0.628,71,0.292,76,37,2,0,2,1,0,2/H,0,Right,No,No,No,No,No,No,No
Kyle Isbel*,24,OF,0.5,28,83,76,16,21,5,2,1,7,2,0,7,23,0.276,0.337,0.434,0.772,108,0.345,111,33,0,0,0,0,0,9/87HD,0,Left,No,No,No,No,No,No,No
Emmanuel Rivera,25,3B,0.3,29,98,90,13,23,4,0,1,5,2,0,8,21,0.256,0.316,0.333,0.65,78,0.303,81,30,2,0,0,0,0,5/3,0,Right,No,No,No,No,No,No,No
Sebastián Rivero,22,C,-0.2,17,44,40,1,7,2,0,0,3,0,0,3,15,0.175,0.25,0.225,0.475,31,0.221,27,9,1,1,0,0,0,2,0,Right,No,No,No,No,No,No,No
Ryan McBroom,29,DH,0.0,7,9,8,1,2,0,0,0,0,0,0,1,6,0.25,0.333,0.25,0.583,63,0.265,57,2,0,0,0,0,0,/HD,0,Right,No,No,No,No,No,No,No
Brad Keller,25,P,-0.1,3,7,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-220,0,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No
Mike Minor,33,P,-0.1,3,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Kris Bubic*,23,P,-0.1,2,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-128,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Carlos Hernández,24,P,-0.1,1,4,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Jakob Junis,28,P,0.0,1,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-358,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No
Tyler Zuber,26,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Jake Brentz*,26,P,0.1,6,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0.693,358,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
Joel Payamps,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
Richard Lovelady*,25,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No
