Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Shohei Ohtani*,26,DH,4.9,155,639,537,103,138,26,8,46,100,26,10,96,189,0.257,0.372,0.592,0.965,157,0.399,153,318,7,4,0,2,20,*D1/H97,"AS,MVP-1,SS",Left,No
Jared Walsh*,27,1B,2.8,144,585,530,70,147,34,1,29,98,2,1,48,152,0.277,0.34,0.509,0.85,127,0.359,124,270,7,4,0,3,6,*39/H,AS,Left,No
David Fletcher,27,2B,1.8,157,665,626,74,164,27,3,2,47,15,3,31,60,0.262,0.297,0.324,0.622,70,0.276,63,203,10,1,6,1,1,*46/H,0,Right,No
Phil Gosselin,32,UT,-0.4,104,373,345,40,90,14,0,7,47,4,2,24,81,0.261,0.314,0.362,0.676,84,0.301,83,125,3,3,0,1,0,753H/4D9,0,Right,No
Justin Upton,33,LF,-0.8,89,362,318,47,67,12,0,17,41,4,1,39,107,0.211,0.296,0.409,0.705,90,0.309,88,130,11,1,0,3,0,7/8DH,0,Right,No
Jose Iglesias,31,SS,-1.1,114,447,424,57,110,23,1,8,41,5,2,18,66,0.259,0.295,0.375,0.67,81,0.291,76,159,10,4,0,1,0,*6/H,0,Right,No
Juan Lagares,32,OF,-0.3,112,327,309,39,73,20,2,6,38,1,2,12,76,0.236,0.266,0.372,0.638,71,0.269,62,115,8,1,4,1,0,*897/H,0,Right,No
Jack Mayfield,30,3B,0.3,75,258,232,28,52,14,0,10,36,5,0,16,58,0.224,0.282,0.414,0.696,86,0.311,87,96,4,3,3,1,0,56/H,0,Right,No
Max Stassi,30,C,1.8,87,319,282,45,68,11,1,13,35,0,0,28,101,0.241,0.326,0.426,0.752,103,0.331,105,120,8,8,0,1,0,2/H,0,Right,No
Anthony Rendon,31,3B,0.0,58,249,217,24,52,13,0,6,34,0,0,29,41,0.24,0.329,0.382,0.712,94,0.318,95,83,11,1,0,2,2,5/D,0,Right,No
Taylor Ward,27,RF,0.5,65,237,208,33,52,15,0,8,33,1,1,20,55,0.25,0.332,0.438,0.769,107,0.342,113,91,4,6,2,1,0,978/2H,0,Right,No
Jo Adell,22,OF,0.3,35,140,130,17,32,5,2,4,26,2,1,8,32,0.246,0.295,0.408,0.703,89,0.311,91,53,3,1,1,0,0,79,0,Right,No
Brandon Marsh*,23,CF,0.2,70,260,236,27,60,12,3,2,19,6,1,20,91,0.254,0.317,0.356,0.673,83,0.3,80,84,3,2,1,1,0,8,0,Left,No
Mike Trout,29,CF,1.8,36,146,117,23,39,8,1,8,18,2,0,27,41,0.333,0.466,0.624,1.09,194,0.45,189,73,0,2,0,0,5,8,AS,Right,No
Luis Rengifo#,24,SS,-0.4,54,190,174,22,35,1,0,6,18,1,0,9,38,0.201,0.246,0.31,0.556,50,0.248,44,54,3,2,3,2,0,695/H47,0,Both,No
Kurt Suzuki,37,C,-0.5,72,247,219,17,49,8,0,6,16,0,0,12,44,0.224,0.294,0.342,0.636,73,0.283,70,75,7,11,2,3,0,2/H,0,Right,No
Jose Rojas*,28,UT,-0.6,61,184,168,26,35,14,0,6,15,2,1,15,50,0.208,0.277,0.399,0.676,81,0.3,83,67,2,1,0,0,0,945H/73D,0,Left,No
Albert Pujols,41,1B,-0.7,24,92,86,9,17,0,0,5,12,1,0,3,13,0.198,0.25,0.372,0.622,66,0.267,57,32,4,3,0,0,1,3/DH5,0,Right,No
Kean Wong*,26,UT,-0.6,32,66,60,3,10,2,1,0,6,0,1,2,17,0.167,0.194,0.233,0.427,16,0.177,-5,14,0,0,4,0,0,H4/579,0,Left,No
Drew Butera,37,C,-0.5,12,36,32,1,3,1,0,0,5,0,0,0,16,0.094,0.091,0.125,0.216,-42,0.091,-79,4,0,0,3,1,0,2,0,Right,No
Adam Eaton*,32,RF,-0.7,25,69,65,5,13,2,0,1,2,1,0,2,16,0.2,0.232,0.277,0.509,38,0.223,26,18,1,1,0,1,0,9/H137,0,Left,No
Anthony Bemboom*,31,C,-0.2,8,28,27,2,6,0,0,0,2,0,0,1,10,0.222,0.25,0.222,0.472,31,0.209,19,6,1,0,0,0,0,/217,0,Left,No
Dexter Fowler#,35,RF,-0.2,7,21,20,3,5,0,0,0,1,1,0,1,6,0.25,0.286,0.25,0.536,49,0.252,41,5,0,0,0,0,0,/9,0,Both,No
Jon Jay*,36,LF,0.1,5,14,14,2,5,0,0,0,1,0,0,0,2,0.357,0.357,0.357,0.714,96,0.298,82,5,0,0,0,0,0,/7,0,Left,No
Scott Schebler*,30,OF,-0.4,14,34,34,3,5,3,0,0,0,0,0,0,17,0.147,0.147,0.235,0.382,2,0.158,-17,8,0,0,0,0,0,/89H7,0,Left,No
Matt Thaiss*,26,1B,-0.1,3,8,7,1,1,0,0,0,0,0,0,1,1,0.143,0.25,0.143,0.393,12,0.198,11,1,0,0,0,0,0,/3H,0,Left,No
Jack Kruger,26,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/2,0,Right,No
Dylan Bundy#,28,P,0.0,3,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,37,0.223,29,1,0,0,0,0,0,1/H,0,Both,No
Patrick Sandoval*,24,P,0.0,2,4,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,37,0.223,29,1,0,0,0,0,0,1,0,Left,No
Jaime Barria,24,P,0.0,1,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-128,0,0,0,0,0,0,1,0,Right,No
Andrew Heaney*,30,P,0.1,1,3,2,1,1,0,0,0,0,0,0,1,1,0.5,0.667,0.5,1.167,227,0.528,244,1,0,0,0,0,0,1,0,Left,No
Junior Guerra,36,P,0.0,5,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,1/H,0,Right,No
Reid Detmers*,21,P,0.0,1,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,56,0.346,117,0,0,0,0,0,0,/1,0,Left,No
Alex Cobb,33,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No
Tony Watson*,36,P,0.0,9,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Left,No
Griffin Canning,25,P,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,1/7H,0,Right,No
José Suarez*,23,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Left,No
Packy Naughton,25,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/1,0,Right,No
Steve Cishek,35,P,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Raisel Iglesias,31,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,CYA-11,Right,No
Austin Warren,25,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
James Hoyt,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Andrew Wantz,25,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Mike Mayers,29,P,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Jimmy Herget,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Kyle Tyler,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Oliver Ortega,24,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
AJ Ramos,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Jake Petricka,33,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Hunter Strickland,32,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Álex Claudio*,29,P,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Aaron Slegers,28,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Sam Selman,30,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
