Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Max Muncy*,30,1B,4.6,144,592,497,95,124,26,2,36,94,2,1,83,120,0.249,0.368,0.527,0.895,135,0.385,137,262,7,11,0,1,5,*34/5HD,"AS,MVP-10",Left,No,No,No,No,No,No,No,No,No
Justin Turner,36,3B,3.5,151,612,533,87,148,22,0,27,87,3,0,61,98,0.278,0.361,0.471,0.832,120,0.37,125,251,12,12,0,6,0,*5H/D1,AS,Right,No,No,No,No,No,No,No,No,No
Will Smith,26,C,3.3,130,501,414,71,107,19,2,25,76,3,0,58,101,0.258,0.365,0.495,0.86,127,0.374,128,205,11,18,0,11,4,*2H/D35,0,Right,No,No,No,No,No,No,No,No,No
Chris Taylor,30,UT,2.5,148,582,507,92,129,25,4,20,73,13,1,63,167,0.254,0.344,0.438,0.782,107,0.349,108,222,5,8,1,3,2,84765/H9,AS,Right,No,No,No,No,No,No,No,No,No
AJ Pollock,33,LF,3.0,117,422,384,53,114,27,1,21,69,9,1,30,80,0.297,0.355,0.536,0.892,134,0.383,133,206,4,6,0,2,4,7H/8,0,Right,No,No,No,No,No,No,No,No,No
Mookie Betts,28,RF,4.1,122,550,466,93,123,29,3,23,58,10,5,68,86,0.264,0.367,0.487,0.854,126,0.38,133,227,5,11,0,5,2,*98/4H,AS,Right,No,No,No,No,No,No,No,No,No
Corey Seager*,27,SS,3.4,95,409,353,54,108,22,3,16,57,1,1,48,66,0.306,0.394,0.521,0.915,142,0.394,143,184,8,5,0,3,2,6/H,0,Left,No,No,No,No,No,No,No,No,No
Gavin Lux*,23,MI,1.5,102,381,335,49,81,12,4,7,46,4,1,41,83,0.242,0.328,0.364,0.692,85,0.322,91,122,3,3,0,2,3,647/8H59,0,Left,No,No,No,No,No,No,No,No,No
Matt Beaty*,28,UT,0.0,120,234,204,35,55,4,1,7,40,2,2,20,44,0.27,0.363,0.402,0.765,104,0.35,114,82,3,10,0,0,0,H739/5D,0,Left,No,No,No,No,No,No,No,No,No
Albert Pujols,41,1B,0.1,85,204,189,20,48,3,0,12,38,1,0,11,32,0.254,0.299,0.46,0.759,99,0.322,91,87,10,2,0,2,2,3H,0,Right,No,No,No,No,No,No,No,No,No
Cody Bellinger*,25,CF,-1.6,95,350,315,39,52,9,2,10,36,3,1,31,94,0.165,0.24,0.302,0.542,44,0.241,34,95,2,1,0,3,2,8/9H3,0,Left,No,No,No,No,No,No,No,No,No
Zach McKinstry*,26,UT,-0.7,60,172,158,19,34,9,0,7,29,1,1,10,50,0.215,0.263,0.405,0.668,75,0.282,65,64,3,1,1,2,1,9475/H,0,Left,No,No,No,No,No,No,No,No,No
Trea Turner,28,2B,2.4,52,226,207,41,70,17,0,10,28,11,2,15,33,0.338,0.385,0.565,0.95,149,0.406,147,117,5,2,0,2,2,4/6H,"AS,MVP-5",Right,No,No,No,No,No,No,No,No,No
Austin Barnes,31,C,0.3,77,225,200,28,43,8,0,6,23,1,0,20,56,0.215,0.299,0.345,0.644,72,0.292,70,69,6,4,1,0,1,2H/4D,0,Right,No,No,No,No,No,No,No,No,No
Julio Urías*,24,P,0.3,30,70,59,5,12,2,0,0,9,0,0,0,22,0.203,0.217,0.237,0.454,21,0.2,-10,14,1,1,10,0,0,1,CYA-7,Left,No,No,No,No,No,No,No,No,No
Billy McKinney*,26,RF,-0.4,37,98,82,8,12,2,1,1,7,0,0,14,24,0.146,0.276,0.232,0.507,38,0.236,31,19,1,1,0,1,1,9H/3,0,Left,No,No,No,No,No,No,No,No,No
Luke Raley*,26,OF,-0.5,33,72,66,5,12,1,0,2,4,0,0,2,25,0.182,0.25,0.288,0.538,43,0.235,29,19,1,4,0,0,1,97/H,0,Left,No,No,No,No,No,No,No,No,No
DJ Peters,25,OF,0.1,18,34,26,5,5,2,0,1,4,0,0,8,14,0.192,0.382,0.385,0.767,106,0.303,75,10,0,0,0,0,4,8/H9,0,Right,No,No,No,No,No,No,No,No,No
Sheldon Neuse,26,UT,-0.5,33,66,65,6,11,1,0,3,4,1,1,1,26,0.169,0.182,0.323,0.505,31,0.221,24,21,2,0,0,0,0,4H/579D,0,Right,No,No,No,No,No,No,No,No,No
Walker Buehler,26,P,0.0,34,82,69,5,7,2,0,0,3,0,0,5,45,0.101,0.162,0.13,0.293,-20,0.14,-52,9,0,0,8,0,0,1/H,"AS,CYA-4",Right,No,No,No,No,No,No,No,No,No
Steven Souza Jr.,32,OF,-0.2,17,36,33,2,5,1,1,1,3,0,0,2,14,0.152,0.222,0.333,0.556,46,0.237,32,11,2,1,0,0,0,/9H7,0,Right,No,No,No,No,No,No,No,No,No
Clayton Kershaw*,33,P,0.2,21,39,36,2,8,0,0,0,3,0,0,1,11,0.222,0.243,0.222,0.465,26,0.232,24,8,0,0,2,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
Yoshi Tsutsugo*,29,LF,-0.1,12,31,25,2,3,0,0,0,2,0,0,6,12,0.12,0.29,0.12,0.41,16,0.222,21,3,0,0,0,0,0,/7H3,0,Left,No,No,No,No,No,No,No,No,No
David Price*,35,P,0.2,37,18,15,1,4,1,0,0,2,0,0,0,3,0.267,0.25,0.333,0.583,54,0.24,26,5,0,0,2,1,0,1,0,Left,No,No,No,No,No,No,No,No,No
Edwin Ríos*,27,UT,-0.8,25,60,51,4,4,0,0,1,1,0,0,7,18,0.078,0.217,0.137,0.354,-2,0.182,-7,7,3,2,0,0,0,3H/59D,0,Left,No,No,No,No,No,No,No,No,No
Trevor Bauer,30,P,-0.3,14,34,30,0,1,0,0,0,1,0,0,1,11,0.033,0.065,0.033,0.098,-73,0.051,-119,1,0,0,3,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Max Scherzer,36,P,-0.3,11,26,24,0,0,0,0,0,1,0,0,0,15,0.0,0.0,0.0,0.0,-100,0.0,-145,0,0,0,1,1,0,1,"AS,CYA-3,MVP-14",Right,No,No,No,No,No,No,No,No,No
Keibert Ruiz#,22,C,0.0,6,7,7,1,1,0,0,1,1,0,0,0,5,0.143,0.143,0.571,0.714,77,0.287,67,4,0,0,0,0,0,/H2,0,Both,No,No,No,No,No,No,No,No,No
Andy Burns,30,IF,0.0,9,15,11,2,3,1,0,0,0,0,0,3,1,0.273,0.467,0.364,0.83,127,0.384,136,4,1,1,0,0,0,/H4351,0,Right,No,No,No,No,No,No,No,No,No
Zach Reks*,27,OF,-0.1,6,10,10,2,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.09,-73,0,0,0,0,0,0,/H79,0,Left,No,No,No,No,No,No,No,No,No
Tony Gonsolin,27,P,0.1,17,19,17,2,3,1,0,0,0,0,0,1,8,0.176,0.222,0.235,0.458,23,0.197,-2,4,0,0,1,0,0,1/H,0,Right,No,No,No,No,No,No,No,No,No
Mitch White,26,P,-0.1,20,16,15,1,0,0,0,0,0,0,0,1,11,0.0,0.063,0.0,0.063,-81,0.043,-105,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Edwin Uceta,23,P,0.0,14,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,8,0.16,-22,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Alex Vesia*,25,P,0.0,41,4,3,0,0,0,0,0,0,0,0,1,3,0.0,0.25,0.0,0.25,-24,0.174,-13,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
