Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Bryce Harper*,28,RF,5.9,141,599,488,101,151,42,1,35,84,13,3,100,134,0.309,0.429,0.615,1.044,179,0.438,178,300,12,5,2,4,14,*9/D3,"MVP-1,SS",Left,No,No,No,No,No,No,No
Andrew McCutchen,34,LF,1.4,144,574,482,78,107,24,1,27,80,6,1,81,132,0.222,0.334,0.444,0.778,109,0.342,109,214,10,4,0,7,2,*7H/D,0,Right,No,No,No,No,No,No,No
J.T. Realmuto,30,C,3.5,134,537,476,64,125,25,4,17,73,13,3,48,129,0.263,0.343,0.439,0.782,110,0.347,111,209,8,11,0,2,5,*23/HD,AS,Right,No,No,No,No,No,No,No
Rhys Hoskins,28,1B,1.9,107,443,389,64,96,29,0,27,71,3,2,47,108,0.247,0.334,0.53,0.864,129,0.378,136,206,7,5,0,2,0,3/HD,0,Right,No,No,No,No,No,No,No
Jean Segura,31,2B,3.7,131,567,514,76,149,27,3,14,58,9,3,39,78,0.29,0.348,0.436,0.784,111,0.35,115,224,16,9,1,4,3,*4/H6,0,Right,No,No,No,No,No,No,No
Didi Gregorius*,31,SS,-0.8,103,408,368,35,77,16,2,13,54,3,0,25,67,0.209,0.27,0.37,0.639,71,0.279,64,136,8,8,0,7,1,6/H,0,Left,No,No,No,No,No,No,No
Odúbel Herrera*,29,CF,1.8,124,492,450,59,117,27,2,13,51,6,1,29,77,0.26,0.31,0.416,0.726,95,0.327,98,187,6,6,1,5,0,*87/H9,0,Left,No,No,No,No,No,No,No
Brad Miller*,31,1B,0.4,140,377,331,53,75,9,3,20,49,3,0,45,112,0.227,0.321,0.453,0.774,107,0.334,103,150,7,1,0,0,2,3H94/57D,0,Left,No,No,No,No,No,No,No
Alec Bohm,24,3B,-1.3,115,417,380,46,94,15,0,7,47,4,0,31,111,0.247,0.305,0.342,0.647,75,0.298,77,130,12,2,0,4,0,5/H3,0,Right,No,No,No,No,No,No,No
Ronald Torreyes,28,IF,0.3,111,344,318,30,77,10,1,7,41,2,1,19,41,0.242,0.286,0.346,0.632,71,0.281,66,110,7,1,5,1,2,56H4/18,0,Right,No,No,No,No,No,No,No
Nick Maton*,24,MI,0.2,52,131,117,16,30,7,1,2,14,2,0,10,39,0.256,0.323,0.385,0.708,91,0.323,94,45,0,2,1,1,0,46H/1,0,Left,No,No,No,No,No,No,No
Freddy Galvis#,31,IF,0.3,32,120,107,17,24,3,0,5,14,0,0,9,19,0.224,0.292,0.393,0.684,84,0.312,89,42,1,2,0,2,0,56/H43,0,Both,No,No,No,No,No,No,No
Andrew Knapp#,29,C,-1.5,62,159,145,13,22,3,0,2,11,0,0,10,61,0.152,0.215,0.214,0.429,17,0.2,9,31,1,2,1,1,0,2H/314,0,Both,No,No,No,No,No,No,No
