Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Brandon Crawford*,34,SS,6.1,138,549,483,79,144,30,3,24,90,11,3,56,105,0.298,0.373,0.522,0.895,141,0.389,143,252,8,5,0,5,6,*6/H,"AS,MVP-4,GG",Left,No,No,No,No,No,No,No,No,No
Mike Yastrzemski*,30,RF,2.5,139,532,468,75,105,28,3,25,71,4,0,51,131,0.224,0.311,0.457,0.768,106,0.332,103,214,3,9,1,3,4,*98H,0,Left,No,No,No,No,No,No,No,No,No
Brandon Belt*,33,1B,2.7,97,381,325,65,89,14,2,29,59,3,2,48,103,0.274,0.378,0.597,0.975,160,0.409,159,194,9,7,0,1,3,3H,0,Left,No,No,No,No,No,No,No,No,No
Buster Posey,34,C,3.5,113,454,395,68,120,23,0,18,56,0,0,56,87,0.304,0.39,0.499,0.889,140,0.386,142,197,15,1,0,2,5,2H/D,"AS,MVP-21,SS",Right,No,No,No,No,No,No,No,No,No
LaMonte Wade Jr.*,27,UT,1.2,109,381,336,52,85,17,3,18,56,6,1,33,89,0.253,0.326,0.482,0.808,117,0.349,115,162,3,5,4,3,1,973H/8,MVP-21,Left,No,No,No,No,No,No,No,No,No
Wilmer Flores,29,IF,1.7,139,436,389,57,102,16,1,18,53,1,0,41,56,0.262,0.335,0.447,0.782,111,0.348,115,174,11,3,0,3,0,5H34/D,0,Right,No,No,No,No,No,No,No,No,No
Evan Longoria,35,3B,1.8,81,291,253,45,66,17,0,13,46,1,1,35,68,0.261,0.351,0.482,0.833,124,0.368,131,122,9,1,0,2,4,5/H,0,Right,No,No,No,No,No,No,No,No,No
Darin Ruf,34,UT,2.9,117,312,262,41,71,13,2,16,43,2,0,46,87,0.271,0.385,0.519,0.904,143,0.403,154,136,8,3,0,1,2,H37/9D1,0,Right,No,No,No,No,No,No,No,No,No
Alex Dickerson*,31,LF,-0.1,111,312,283,37,66,10,2,13,38,1,0,23,76,0.233,0.304,0.42,0.725,95,0.318,93,119,7,6,0,0,1,7H/D,0,Left,No,No,No,No,No,No,No,No,No
Steven Duggar*,27,CF,2.2,107,297,268,45,69,14,5,8,35,7,0,27,88,0.257,0.33,0.437,0.767,107,0.34,106,117,4,2,0,0,3,8H/79,0,Left,No,No,No,No,No,No,No,No,No
Austin Slater,28,CF,1.4,129,306,274,39,66,12,1,12,32,15,2,28,84,0.241,0.32,0.423,0.744,101,0.336,101,116,7,4,0,0,2,*8H79/1D,0,Right,No,No,No,No,No,No,No,No,No
Donovan Solano,33,2B,1.1,101,344,307,35,86,17,0,7,31,2,0,25,58,0.28,0.344,0.404,0.748,103,0.344,112,124,8,7,1,4,2,4H/6,0,Right,No,No,No,No,No,No,No,No,No
Tommy La Stella*,32,2B,0.3,76,242,220,26,55,11,1,7,27,0,0,18,26,0.25,0.308,0.405,0.713,92,0.317,93,89,4,1,0,1,1,4H/5D,0,Left,No,No,No,No,No,No,No,No,No
Curt Casali,32,C,0.7,77,231,200,20,42,11,1,5,26,0,0,26,66,0.21,0.313,0.35,0.663,81,0.299,80,70,3,4,1,0,4,2H/3,0,Right,No,No,No,No,No,No,No,No,No
Kris Bryant,29,UT,1.1,51,212,187,28,49,13,0,7,22,6,0,23,46,0.262,0.344,0.444,0.788,113,0.359,118,83,3,1,0,1,3,579/8H,AS,Right,No,No,No,No,No,No,No,No,No
Mauricio Dubón,26,UT,0.4,74,187,175,20,42,9,0,5,22,2,1,9,41,0.24,0.278,0.377,0.655,76,0.289,73,66,5,1,0,2,2,864H5,0,Right,No,No,No,No,No,No,No,No,No
Thairo Estrada,25,MI,0.7,52,132,121,19,33,4,0,7,22,1,0,9,23,0.273,0.333,0.479,0.813,118,0.355,119,58,2,2,0,0,1,6H4/579,0,Right,No,No,No,No,No,No,No,No,No
Mike Tauchman*,30,LF,0.0,64,175,152,21,27,4,0,4,15,1,3,22,52,0.178,0.286,0.283,0.569,56,0.257,56,43,0,1,0,0,0,7H98/1,0,Left,No,No,No,No,No,No,No,No,No
Jason Vosler*,27,3B,-0.8,41,82,73,12,13,4,0,3,9,2,0,7,21,0.178,0.256,0.356,0.612,65,0.268,54,26,5,1,0,1,1,5H/3479D,0,Left,No,No,No,No,No,No,No,No,No
Logan Webb,24,P,0.2,26,53,46,7,6,2,1,1,7,0,0,2,21,0.13,0.167,0.283,0.449,19,0.193,-4,13,1,0,5,0,0,1/H,0,Right,No,No,No,No,No,No,No,No,No
Kevin Gausman*,30,P,0.2,31,62,54,6,10,0,0,0,4,0,0,2,31,0.185,0.211,0.185,0.396,10,0.18,-12,10,0,0,5,1,0,1/H,"AS,CYA-6,MVP-21",Left,No,No,No,No,No,No,No,No,No
Chadwick Tromp,26,C,-0.2,9,18,18,1,4,0,0,1,2,0,0,0,4,0.222,0.222,0.389,0.611,62,0.256,50,7,1,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,No,No
Anthony DeSclafani,31,P,-0.2,33,62,51,2,2,1,0,0,1,0,0,4,33,0.039,0.109,0.059,0.168,-52,0.106,-76,3,0,0,7,0,0,1/H,0,Right,No,No,No,No,No,No,No,No,No
Joey Bart,24,C,0.0,2,6,6,1,2,0,0,0,1,0,0,0,2,0.333,0.333,0.333,0.667,83,0.283,70,2,0,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,No,No
Jaylin Davis,26,OF,-0.1,5,9,9,1,1,1,0,0,0,0,0,0,1,0.111,0.111,0.222,0.333,-12,0.138,-33,2,1,0,0,0,0,/H79,0,Right,No,No,No,No,No,No,No,No,No
Skye Bolt#,27,LF,-0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/7H,0,Both,No,No,No,No,No,No,No,No,No
Alex Wood,30,P,-0.3,24,47,38,0,0,0,0,0,0,0,1,5,26,0.0,0.116,0.0,0.116,-64,0.069,-90,0,0,0,4,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Johnny Cueto,35,P,0.0,21,37,29,1,2,0,0,0,0,1,0,3,9,0.069,0.156,0.069,0.225,-35,0.123,-73,2,0,0,5,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Sam Long*,25,P,0.0,11,11,10,0,1,0,0,0,0,0,0,0,4,0.1,0.1,0.1,0.2,-45,0.09,-85,1,0,0,1,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Aaron Sanchez,28,P,-0.1,9,10,10,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
José Álvarez*,32,P,0.1,63,5,2,1,0,0,0,0,0,0,0,2,2,0.0,0.5,0.0,0.5,55,0.348,119,0,0,0,1,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Zack Littell,25,P,0.0,60,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,37,0.225,28,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Scott Kazmir*,37,P,0.0,5,4,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-209,0,0,0,1,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Caleb Baragar,27,P,0.0,24,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-135,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
