Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Ronald Acuña Jr.,24.0,4,17,15,2,5,1,0,0,0,0,0,1,5,0.333,0.412,0.4,0.812,6,0,1,0,0,0,*/9,
2.0,Dansby Swanson,28.0,4,17,16,3,2,1,0,0,0,0,0,1,7,0.125,0.176,0.188,0.364,3,0,0,0,0,0,/*6,
3.0,Matt Olson*,28.0,4,17,12,4,4,0,0,2,5,0,0,5,4,0.333,0.529,0.833,1.363,10,0,0,0,0,0,/*3,
4.0,Travis d'Arnaud,33.0,4,16,16,2,6,3,0,2,5,0,0,0,4,0.375,0.375,0.938,1.313,15,0,0,0,0,0,/*2,
5.0,Austin Riley,25.0,4,16,15,0,1,0,0,0,1,0,0,1,5,0.067,0.125,0.067,0.192,1,0,0,0,0,0,/*5,
6.0,Michael Harris II*,21.0,4,14,14,0,1,0,0,0,1,1,0,0,2,0.071,0.071,0.071,0.143,1,0,0,0,0,0,*/8,
7.0,Orlando Arcia,27.0,4,12,10,1,3,0,0,1,1,0,0,2,2,0.3,0.417,0.6,1.017,6,0,0,0,0,0,/*4H,
8.0,William Contreras,24.0,3,9,8,1,1,1,0,0,0,0,0,1,4,0.125,0.222,0.25,0.472,2,1,0,0,0,0,/DH,
9.0,Eddie Rosario*,30.0,4,8,8,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,*/7,
10.0,Marcell Ozuna,31.0,3,8,8,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/D7H,
11.0,Vaughn Grissom,21.0,2,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/4H,
12.0,Robbie Grossman#,32.0,2,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/7,
13.0,Kyle Wright,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
14.0,Spencer Strider,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Jackson Stephens,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,Jake Odorizzi,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Charlie Morton,38.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,A.J. Minter*,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Collin McHugh,35.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Dylan Lee*,27.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
21.0,Kenley Jansen#,34.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Raisel Iglesias,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,Max Fried*,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
24.0,Jesse Chavez,38.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
