Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Kyle Tucker*,25,RF,5.5,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,129,0.356,127,260,11,1,0,2,4,*9/DH,"AS,MVP-15,GG",Left,No,Yes,No,No,No,No,No,No,No
Yordan Alvarez*,25,DH,6.8,135,561,470,95,144,29,2,37,97,1,1,78,106,0.306,0.406,0.613,1.019,188,0.426,184,288,12,6,0,7,9,D7/H,"AS,MVP-3,SS",Left,No,No,No,No,No,No,No,No,No
Alex Bregman,28,3B,4.5,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,134,0.358,133,249,18,11,0,10,1,*5/H,MVP-19,Right,No,No,No,No,No,No,No,No,No
Jeremy Peña,24,SS,5.0,136,558,521,72,132,20,2,22,63,11,2,22,135,0.253,0.289,0.426,0.715,102,0.319,102,222,5,6,1,5,0,*6/H,"ROY-5,GG",Right,No,No,No,No,No,No,No,No,No
Jose Altuve,32,2B,5.2,141,604,527,103,158,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,161,0.405,163,281,13,10,0,1,2,*4/HD,"AS,MVP-5,SS",Right,No,No,No,No,No,No,No,No,No
Yuli Gurriel,38,1B,-0.2,146,584,545,53,132,40,0,8,53,8,0,30,73,0.242,0.288,0.36,0.647,85,0.293,83,196,13,6,0,3,0,*3/DH,0,Right,No,No,No,No,No,No,No,No,No
Martín Maldonado,35,C,0.4,113,379,344,40,64,12,0,15,45,0,0,22,116,0.186,0.248,0.352,0.6,70,0.268,67,121,6,7,4,2,0,*2,0,Right,No,No,No,No,No,No,No,No,No
Chas McCormick,27,CF,1.7,119,407,359,47,88,12,2,14,44,4,3,46,106,0.245,0.332,0.407,0.738,111,0.326,111,146,5,1,0,1,0,*789/HD,0,Right,No,No,No,No,No,No,No,No,No
Aledmys Díaz,31,UT,1.1,92,327,305,35,74,13,0,12,38,1,1,18,53,0.243,0.287,0.403,0.691,96,0.307,96,123,7,2,0,2,0,746H5/D39,0,Right,No,No,No,No,No,No,No,No,No
Michael Brantley*,35,LF,1.2,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,126,0.345,124,101,1,1,1,1,2,D7,0,Left,No,No,No,No,No,No,No,No,No
Trey Mancini,30,UT,-0.5,51,186,165,17,29,7,0,8,22,0,0,18,49,0.176,0.258,0.364,0.622,76,0.274,72,60,8,1,0,2,0,D73/H9,0,Right,No,No,No,No,No,No,No,No,No
Mauricio Dubón,27,CF,-0.2,83,216,197,21,41,8,0,3,16,2,3,12,26,0.208,0.254,0.294,0.548,57,0.239,49,58,7,1,3,3,0,864/7H9,0,Right,No,No,No,No,No,No,No,No,No
Jake Meyers,26,CF,0.6,52,160,150,13,34,6,2,1,15,2,1,7,54,0.227,0.269,0.313,0.582,67,0.268,68,47,1,2,0,1,0,8/HD,0,Right,No,No,No,No,No,No,No,No,No
Jose Siri,26,CF,0.8,48,147,135,18,24,4,2,3,10,6,1,9,48,0.178,0.238,0.304,0.542,54,0.247,48,41,2,2,0,1,0,8/9H7D,0,Right,No,No,No,No,No,No,No,No,No
Christian Vázquez,31,C,-0.1,35,108,104,8,26,3,0,1,10,0,2,4,18,0.25,0.278,0.308,0.585,68,0.252,62,32,3,0,0,0,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
J.J. Matijevic*,26,DH,-0.1,32,71,67,7,14,2,0,2,5,1,0,2,25,0.209,0.254,0.328,0.582,66,0.286,78,22,1,2,0,0,0,HD3/7,0,Left,No,No,No,No,No,No,No,No,No
David Hensley,26,UT,0.3,16,34,29,7,10,2,1,1,5,0,0,5,6,0.345,0.441,0.586,1.027,192,0.439,191,17,3,0,0,0,0,/D45H67,0,Right,No,No,No,No,No,No,No,No,No
Korey Lee,23,C,-0.5,12,26,25,1,4,2,0,0,4,0,0,1,9,0.16,0.192,0.24,0.432,23,0.189,10,6,1,0,0,0,0,2/H,0,Right,No,No,No,No,No,No,No,No,No
Jason Castro*,35,C,-0.6,34,88,78,6,9,2,0,1,3,1,0,8,40,0.115,0.205,0.179,0.384,12,0.187,7,14,1,1,0,1,0,2/H,0,Left,No,No,No,No,No,No,No,No,No
Niko Goodrum#,30,IF,-0.2,15,45,43,2,5,2,0,0,1,1,0,2,23,0.116,0.156,0.163,0.318,-8,0.17,-8,7,0,0,0,0,0,4/3DH,0,Both,No,No,No,No,No,No,No,No,No
Yainer Diaz,23,DH,-0.1,6,9,8,0,1,1,0,0,1,0,0,1,2,0.125,0.222,0.25,0.472,36,0.216,30,2,0,0,0,0,0,/D2H,0,Right,No,No,No,No,No,No,No,No,No
Taylor Jones,28,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-127,0,0,0,0,0,0,/H,0,Right,No,No,No,No,No,No,No,No,No
Joe Perez,22,3B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-127,0,0,0,0,0,0,/5H,0,Right,No,No,No,No,No,No,No,No,No
