Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Bobby Witt Jr.,22,SS,0.9,150,632,591,82,150,31,6,20,80,30,7,30,135,0.254,0.294,0.428,0.722,102,0.319,97,253,12,6,0,5,2,65/DH,ROY-4,Right,No,Yes,No,No,No,No,No,No,No
Salvador Perez,32,C,2.7,114,473,445,48,113,23,1,23,76,0,0,18,109,0.254,0.292,0.465,0.757,110,0.336,114,207,9,7,0,3,2,2D,0,Right,No,No,No,No,No,No,No,No,No
MJ Melendez*,23,UT,0.5,129,534,460,57,100,21,3,18,62,2,3,66,131,0.217,0.313,0.393,0.706,99,0.311,97,181,2,1,0,7,1,27D9/H,0,Left,No,No,No,No,No,No,No,No,No
Michael A. Taylor,31,CF,3.2,124,456,414,49,105,10,3,9,43,4,2,35,109,0.254,0.313,0.357,0.67,90,0.301,89,148,6,2,2,3,0,*8/H1D,0,Right,No,No,No,No,No,No,No,No,No
Whit Merrifield,33,UT,-0.2,95,420,383,51,92,23,1,6,42,15,3,30,61,0.24,0.29,0.352,0.643,82,0.289,76,135,8,0,0,7,0,49/8D,0,Right,No,No,No,No,No,No,No,No,No
Hunter Dozier,30,UT,-1.2,128,500,462,51,109,26,4,12,41,4,3,34,125,0.236,0.292,0.387,0.679,91,0.305,92,179,14,3,0,1,0,395D/7H1,0,Right,No,No,No,No,No,No,No,No,No
Andrew Benintendi*,27,LF,2.5,93,390,347,40,111,14,2,3,39,4,2,39,52,0.32,0.387,0.398,0.785,124,0.358,130,138,6,1,0,3,0,7/HD,AS,Left,No,No,No,No,No,No,No,No,No
Kyle Isbel*,25,RF,0.4,106,278,256,32,54,10,4,5,28,9,6,16,75,0.211,0.264,0.34,0.603,70,0.262,62,87,5,3,1,2,0,987H/D,0,Left,No,No,No,No,No,No,No,No,No
Vinnie Pasquantino*,24,DH,1.4,72,298,258,25,76,10,0,10,26,1,0,35,34,0.295,0.383,0.45,0.832,135,0.372,140,116,5,3,0,2,1,3D,0,Left,No,No,No,No,No,No,No,No,No
Emmanuel Rivera,26,3B,0.8,63,211,198,24,47,8,3,6,22,0,0,11,46,0.237,0.284,0.399,0.683,91,0.303,90,79,7,2,0,0,0,5/HD3,0,Right,No,No,No,No,No,No,No,No,No
Carlos Santana#,36,1B,0.6,52,212,176,17,38,10,0,4,21,0,0,36,28,0.216,0.349,0.341,0.69,97,0.317,100,60,1,0,0,0,1,3D/H,0,Both,No,No,No,No,No,No,No,No,No
Nicky Lopez*,27,2B,-0.3,141,480,436,51,99,12,4,0,20,13,3,29,63,0.227,0.281,0.273,0.554,58,0.264,58,119,8,4,10,1,0,465H/D1,0,Left,No,No,No,No,No,No,No,No,No
Nick Pratto*,23,1B,-0.2,49,182,158,18,29,9,1,7,20,0,0,19,66,0.184,0.271,0.386,0.657,84,0.292,82,61,6,1,1,3,0,3/7H9,0,Left,No,No,No,No,No,No,No,No,No
Drew Waters#,23,OF,0.4,32,109,96,14,23,6,1,5,18,0,0,12,40,0.24,0.324,0.479,0.803,124,0.346,121,46,1,0,0,0,0,98/7HD,0,Both,No,No,No,No,No,No,No,No,No
Michael Massey*,24,2B,0.8,52,194,173,16,42,9,1,4,17,3,0,9,46,0.243,0.307,0.376,0.683,93,0.318,98,65,1,8,2,2,0,4/HD5,0,Left,No,No,No,No,No,No,No,No,No
Ryan O'Hearn*,28,UT,-0.5,67,145,134,14,32,6,1,1,16,0,0,8,35,0.239,0.29,0.321,0.611,73,0.273,68,43,2,2,0,1,0,HD39,0,Left,No,No,No,No,No,No,No,No,No
Edward Olivares,26,RF,0.1,53,174,161,24,46,8,0,4,15,2,3,10,36,0.286,0.333,0.41,0.743,110,0.324,109,66,1,2,0,1,0,97H/D8,0,Right,No,No,No,No,No,No,No,No,No
