Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Brady Singer,25,SP,4.5,10,5,.667,3.23,27,24,2,0,0,0,153.1,140,58,55,18,35,0,150,11,1,3,621,127,3.58,1.141,8.2,1.1,2.1,8.8,4.29,
2,Brad Keller,26,SP,0.2,6,14,.300,5.09,35,22,4,0,0,1,139.2,153,86,79,17,57,1,102,2,0,11,617,80,4.50,1.504,9.9,1.1,3.7,6.6,1.79,
3,Zack Greinke,38,SP,2.5,4,9,.308,3.68,26,26,0,0,0,0,137.0,157,65,56,14,27,0,73,3,0,7,585,111,4.03,1.343,10.3,0.9,1.8,4.8,2.70,
4,Daniel Lynch IV*,25,SP,0.6,4,13,.235,5.13,27,27,0,0,0,0,131.2,155,79,75,21,52,2,122,5,2,7,600,80,4.63,1.572,10.6,1.4,3.6,8.3,2.35,
5,Kris Bubic*,24,SP,-0.3,3,13,.188,5.58,28,27,1,0,0,0,129.0,156,87,80,18,63,0,110,4,1,4,587,73,4.78,1.698,10.9,1.3,4.4,7.7,1.75,
6,Jonathan Heasley,25,SP,-0.1,4,10,.286,5.28,21,21,0,0,0,0,104.0,108,67,61,19,47,0,70,6,0,9,465,78,5.67,1.490,9.3,1.6,4.1,6.1,1.49,
7,Scott Barlow,29,CL,2.8,7,4,.636,2.18,69,0,47,0,0,24,74.1,52,23,18,9,22,1,77,3,0,5,290,188,3.62,0.996,6.3,1.1,2.7,9.3,3.50,
8,Dylan Coleman,25,RP,1.6,5,2,.714,2.78,68,0,9,0,0,0,68.0,47,26,21,5,37,1,71,6,0,7,289,148,3.88,1.235,6.2,0.7,4.9,9.4,1.92,
9,Taylor Clarke,29,RP,0.6,3,1,.750,4.04,47,0,8,0,0,3,49.0,50,25,22,6,8,0,48,1,0,3,203,102,3.30,1.184,9.2,1.1,1.5,8.8,6.00,
10,Amir Garrett*,30,RP,0.0,3,1,.750,4.96,60,0,3,0,0,0,45.1,28,26,25,0,32,0,49,5,1,7,196,83,3.40,1.324,5.6,0.0,6.4,9.7,1.53,
11,José Cuas,28,RP,0.4,4,2,.667,3.58,47,0,4,0,0,1,37.2,39,18,15,2,24,2,34,6,0,1,180,115,4.39,1.673,9.3,0.5,5.7,8.1,1.42,
12,Carlos Hernández,25,,-1.3,0,5,.000,7.39,27,7,4,0,0,0,56.0,72,48,46,7,31,1,35,1,0,3,266,56,5.20,1.839,11.6,1.1,5.0,5.6,1.13,
13,Joel Payamps,28,,0.8,2,3,.400,3.16,29,0,14,0,0,0,42.2,46,19,15,5,16,2,33,2,0,2,188,130,4.35,1.453,9.7,1.1,3.4,7.0,2.06,
14,Josh Staumont,28,,-0.7,3,3,.500,6.45,42,0,15,0,0,3,37.2,37,28,27,3,29,0,43,1,1,5,176,64,4.25,1.752,8.8,0.7,6.9,10.3,1.48,
15,Collin Snider,26,,-0.6,4,2,.667,6.55,42,0,2,0,0,0,34.1,40,25,25,3,15,0,22,2,0,0,151,63,4.45,1.602,10.5,0.8,3.9,5.8,1.47,
16,Wyatt Mills,27,,0.1,0,1,.000,4.79,19,0,2,0,0,0,20.2,21,11,11,1,10,2,20,3,0,2,94,87,3.69,1.500,9.1,0.4,4.4,8.7,2.00,
17,Gabe Speier*,27,,0.7,0,1,.000,2.33,17,1,5,0,0,0,19.1,16,5,5,2,5,0,14,0,0,1,77,179,3.78,1.086,7.4,0.9,2.3,6.5,2.80,
18,Luke Weaver,28,,-0.2,0,0,,5.59,14,0,11,0,0,0,19.1,28,15,12,0,8,0,19,2,0,2,95,74,2.70,1.862,13.0,0.0,3.7,8.8,2.38,
19,Max Castillo,23,,-0.7,0,2,.000,9.16,5,4,0,0,0,0,18.2,23,19,19,4,10,0,17,2,0,1,89,45,6.00,1.768,11.1,1.9,4.8,8.2,1.70,
20,Ronald Bolaños,25,,0.2,0,0,,4.42,8,0,4,0,0,0,18.1,20,9,9,2,12,1,12,3,0,1,87,94,5.68,1.745,9.8,1.0,5.9,5.9,1.00,
21,Jackson Kowar,25,,-0.6,0,0,,9.77,7,0,3,0,0,0,15.2,27,17,17,4,11,0,17,0,0,0,82,43,6.37,2.426,15.5,2.3,6.3,9.8,1.55,
22,Anthony Misiewicz*,27,,0.2,1,1,.500,4.11,15,0,7,0,0,0,15.1,13,8,7,3,4,2,19,0,0,1,64,102,3.96,1.109,7.6,1.8,2.3,11.2,4.75,
23,Ángel Zerpa*,22,,0.5,2,1,.667,1.64,3,2,0,0,0,0,11.0,9,3,2,2,3,0,3,0,0,1,44,258,5.75,1.091,7.4,1.6,2.5,2.5,1.00,
24,Matt Peacock,28,,0.0,0,0,,4.91,7,0,5,0,0,0,7.1,9,4,4,0,2,0,4,0,0,1,33,87,2.84,1.500,11.0,0.0,2.5,4.9,2.00,
25,Daniel Mengden,29,,0.0,0,1,.000,5.14,5,1,1,0,0,1,7.0,10,5,4,1,1,0,8,0,0,1,32,84,3.11,1.571,12.9,1.3,1.3,10.3,8.00,
26,Arodys Vizcaíno,31,,-0.1,0,0,,6.35,7,0,1,0,0,0,5.2,4,4,4,1,7,0,3,0,0,0,29,68,8.05,1.941,6.4,1.6,11.1,4.8,0.43,
27,Jake Brentz*,27,,-1.3,0,3,.000,23.63,8,0,1,0,0,0,5.1,11,15,14,1,10,0,9,1,0,2,38,18,8.36,3.938,18.6,1.7,16.9,15.2,0.90,
28,Albert Abreu,26,,0.1,0,0,,4.15,4,0,3,0,0,0,4.1,6,2,2,1,4,0,3,1,0,1,22,107,8.19,2.308,12.5,2.1,8.3,6.2,0.75,
29,Foster Griffin*,26,,-0.3,0,0,,12.46,5,0,3,0,0,0,4.1,6,7,6,0,4,0,2,1,0,0,24,36,5.65,2.308,12.5,0.0,8.3,4.2,0.50,
30,Michael A. Taylor,31,,0.0,0,0,,9.00,1,0,1,0,0,0,2.0,5,2,2,1,2,0,2,0,0,0,13,54,10.61,3.500,22.5,4.5,9.0,9.0,1.00,
31,Nicky Lopez,27,,-0.1,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,2,0,0,0,0,0,0,6,31,29.11,3.000,27.0,18.0,0.0,0.0,,
32,Hunter Dozier,30,,-0.1,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,1,1,0,0,0,0,0,6,31,19.11,3.000,18.0,9.0,9.0,0.0,0.00,
