Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Freddie Freeman*,32,1B,6.2,159,708,612,117,199,47,2,21,100,13,3,84,102,0.325,0.407,0.511,0.918,156,0.403,159,313,6,5,0,7,12,*3,"AS,MVP-4",Left,No
Trea Turner,29,SS,5.2,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124,0.356,121,304,9,3,0,6,1,*6,"AS,MVP-11,SS",Right,No
Will Smith,27,C,4.4,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,124,0.355,125,236,11,10,0,4,4,*2D/H,0,Right,No
Mookie Betts,29,RF,6.7,142,639,572,117,154,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,140,0.384,144,305,8,8,0,4,0,*9/4HD,"AS,MVP-5,GG,SS",Right,No
Justin Turner,37,DH,2.2,128,532,468,61,130,36,0,13,81,3,0,50,89,0.278,0.35,0.438,0.788,120,0.346,118,205,13,6,0,8,1,5D/H,0,Right,No
Max Muncy*,31,3B,3.0,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384,0.713,100,0.322,101,178,2,5,0,6,1,54D/H3,0,Left,No
Cody Bellinger*,26,CF,1.4,144,550,504,70,106,27,3,19,68,14,3,38,150,0.21,0.265,0.389,0.654,81,0.296,80,196,7,2,0,6,0,*8/H,0,Left,No
Chris Taylor,31,LF,0.7,118,454,402,45,89,25,3,10,43,10,1,44,160,0.221,0.304,0.373,0.677,89,0.31,90,150,4,5,0,3,2,7489/HD56,0,Right,No
Gavin Lux*,24,2B,2.8,129,471,421,66,116,20,7,6,42,7,2,47,95,0.276,0.346,0.399,0.745,109,0.33,107,168,3,0,0,3,0,47/6HD,0,Left,No
Trayce Thompson,31,OF,2.1,74,239,205,35,55,14,1,13,39,4,0,30,86,0.268,0.364,0.537,0.901,149,0.387,145,110,2,2,0,2,0,798H/D,0,Right,No
Austin Barnes,32,C,0.7,62,212,179,31,38,6,0,8,26,2,1,27,37,0.212,0.324,0.38,0.704,97,0.315,97,68,5,3,2,1,0,2/DH4,0,Right,No
Joey Gallo*,28,LF,0.3,44,137,117,16,19,4,1,7,23,1,0,16,57,0.162,0.277,0.393,0.671,86,0.297,83,46,0,3,0,1,0,79/DH3,0,Left,No
Edwin Ríos*,28,DH,0.1,27,92,86,12,21,1,0,7,17,0,1,5,36,0.244,0.293,0.5,0.793,117,0.332,113,43,2,1,0,0,1,D/H35,0,Left,No
Hanser Alberto,29,IF,0.0,73,159,156,13,38,9,2,2,15,0,1,3,25,0.244,0.258,0.365,0.623,73,0.282,75,57,7,0,0,0,0,45H1/6D39,0,Right,No
Miguel Vargas,22,UT,-0.5,18,50,47,4,8,1,0,1,8,1,0,2,13,0.17,0.2,0.255,0.455,27,0.221,25,12,0,0,0,1,0,/37D5H,0,Right,No
Jake Lamb*,31,DH,0.2,25,77,67,10,16,5,1,2,4,0,1,8,24,0.239,0.338,0.433,0.77,115,0.344,122,29,4,2,0,0,0,D/7H3,0,Left,No
Eddy Alvarez*,32,UT,-0.5,14,27,25,1,4,0,0,0,3,1,0,0,9,0.16,0.154,0.16,0.314,-12,0.148,-35,4,1,0,1,1,0,/59HD67,0,Left,No
James Outman*,25,OF,0.4,4,16,13,6,6,2,0,1,3,0,0,2,7,0.462,0.563,0.846,1.409,289,0.585,290,11,0,1,0,0,0,/79D,0,Left,No
Zach McKinstry*,27,UT,0.1,10,14,11,4,1,0,0,1,2,0,0,3,4,0.091,0.286,0.364,0.649,81,0.295,82,4,0,0,0,0,0,/94DH567,0,Left,No
Kevin Pillar,33,OF,-0.2,4,13,12,1,1,1,0,0,0,0,0,1,4,0.083,0.154,0.167,0.321,-10,0.15,-22,2,1,0,0,0,0,/78,0,Right,No
Tony Wolters*,30,UT,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0,0,0,0,0,/24DH,0,Left,No
Evan Phillips,27,P,0.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0.693,373,0,0,0,0,0,0,1,0,Right,No
Tyler Anderson*,32,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1/H,AS,Left,No
David Price*,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Jake Reed,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Chris Martin,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Craig Kimbrel,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Justin Bruihl*,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Phil Bickford,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
