Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Pete Alonso,27,1B,4.4,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146,0.371,143,309,17,12,0,9,16,*3D,"AS,MVP-8",Right,No
Francisco Lindor#,28,SS,5.6,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,125,0.351,128,283,11,10,0,7,2,*6/D,MVP-9,Both,No
Eduardo Escobar#,33,3B,1.2,136,542,495,58,119,26,4,20,69,0,2,40,129,0.24,0.295,0.43,0.726,106,0.31,101,213,4,1,0,6,3,*5/DH4,0,Both,No
Brandon Nimmo*,29,CF,5.1,151,673,580,102,159,30,7,16,64,3,2,71,116,0.274,0.367,0.433,0.8,130,0.361,136,251,9,16,3,3,0,*8,0,Left,No
Starling Marte,33,RF,3.9,118,505,466,76,136,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,132,0.36,135,218,18,13,0,0,0,*9/8HD,"AS,MVP-19",Right,No
Jeff McNeil*,30,2B,5.7,148,589,533,73,174,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,140,0.365,137,242,6,11,0,5,1,479/DH5,"AS,MVP-15,SS",Left,No
Mark Canha,33,LF,2.5,140,542,462,71,123,24,0,13,61,3,1,48,97,0.266,0.367,0.403,0.77,122,0.346,124,186,3,28,0,4,1,*7H8/9D35,0,Right,No
Tomás Nido,28,C,0.3,98,313,284,31,68,15,0,3,28,0,0,14,76,0.239,0.276,0.324,0.6,72,0.269,69,92,14,1,12,2,0,2/H,0,Right,No
Daniel Vogelbach*,29,DH,0.9,55,183,149,18,38,9,0,6,25,0,0,33,47,0.255,0.393,0.436,0.83,139,0.369,142,65,3,1,0,0,1,D/H,0,Left,No
J.D. Davis,29,DH,-0.2,66,207,181,26,43,8,1,4,21,1,1,20,66,0.238,0.324,0.359,0.683,97,0.307,98,65,9,4,0,2,0,DH5/3,0,Right,No
James McCann,32,C,-0.1,61,191,174,19,34,6,0,3,18,3,0,11,46,0.195,0.257,0.282,0.538,55,0.256,58,49,5,4,0,2,0,2/3H,0,Right,No
Luis Guillorme*,27,IF,1.5,102,335,297,33,81,12,1,2,17,1,0,34,46,0.273,0.351,0.34,0.691,101,0.316,103,101,15,2,2,0,1,456/HD,0,Left,No
Dominic Smith*,27,1B,-0.4,58,152,134,11,26,10,1,0,17,0,0,12,37,0.194,0.276,0.284,0.56,62,0.261,64,38,0,4,0,2,0,3DH,0,Left,No
Tyler Naquin*,31,OF,-0.4,49,130,123,18,25,7,2,4,13,1,0,6,40,0.203,0.246,0.39,0.636,80,0.277,74,48,2,1,0,0,0,97H/D8,0,Left,No
Darin Ruf,35,UT,-1.0,28,74,66,6,10,3,0,0,7,0,0,5,20,0.152,0.216,0.197,0.413,20,0.203,23,13,3,1,0,2,0,DH/3917,0,Right,No
Patrick Mazeika*,28,C,-0.3,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294,0.508,45,0.219,32,20,0,0,2,0,0,2/H3,0,Left,No
Nick Plummer*,25,OF,-0.1,14,31,29,4,4,1,0,2,6,0,0,1,12,0.138,0.194,0.379,0.573,60,0.247,54,11,1,1,0,0,0,/9D7H,0,Left,No
Brett Baty*,22,3B,-0.3,11,42,38,4,7,0,0,2,5,0,0,2,8,0.184,0.244,0.342,0.586,67,0.261,63,13,0,1,0,0,0,5,0,Left,No
Mark Vientos,22,DH,-0.2,16,41,36,3,6,1,0,1,3,0,0,5,12,0.167,0.268,0.278,0.546,58,0.253,58,10,1,0,0,0,0,D/H5,0,Right,No
Robinson Canó*,39,2B,-0.5,12,43,41,3,8,0,0,1,3,0,0,2,11,0.195,0.233,0.268,0.501,44,0.222,36,11,0,0,0,0,0,/4DH,0,Left,No
Michael Pérez*,29,C,0.2,6,16,14,2,2,0,0,0,3,0,0,2,6,0.143,0.25,0.143,0.393,18,0.199,20,2,0,0,0,0,0,/2,0,Left,No
Khalil Lee*,24,CF,0.0,2,2,2,1,1,0,0,1,3,0,0,0,0,0.5,0.5,2.0,2.5,574,1.023,600,4,0,0,0,0,0,/8,0,Left,No
Travis Jankowski*,31,OF,-0.1,43,63,54,11,9,0,0,0,2,3,0,8,9,0.167,0.286,0.167,0.452,35,0.248,46,9,0,1,0,0,0,7H98/D,0,Left,No
Francisco Alvarez,20,DH,0.0,5,14,12,3,2,1,0,1,1,0,0,2,4,0.167,0.286,0.5,0.786,121,0.335,117,6,1,0,0,0,0,/D2H,0,Right,No
Terrance Gore,31,OF,-0.1,10,8,7,1,1,0,0,0,0,3,0,0,3,0.143,0.143,0.143,0.286,-17,0.235,-48,1,0,0,1,0,0,/H78D,0,Right,No
Ender Inciarte*,31,OF,0.0,11,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-28,0.1,-52,1,0,0,0,0,0,/7H89D,0,Left,No
